P26436	Q9NRM0
Q15329	Q99708
Q15468	Q9NVI1
Q15796	Q9Y618
Q16352	Q9H2X9
Q16667	Q9NSP4
Q2NKX8	Q9BPX3
Q4L180	Q9BX67
Q53EZ4	Q8IX90
Q59EK9	Q99784
Q5VWX1	Q96PU8
Q63HR2	Q9Y490
Q6DT37	Q9Y5S2
Q6PCD5	Q96EQ8
Q6TCH4	Q9BWQ8
Q7L1I2	Q9NZU7
Q7LBR1	Q92783
Q7LBR1	Q9UQN3
Q7Z2E3	Q9Y4K3
Q7Z6Z7	Q9UI26
Q86X27	Q92974
Q86X29	Q9UDY2
Q86Y07	Q99986
Q8IWU6	Q9BXN1
O00165	Q9NVI1
Q8IZP0	Q8TCU6
Q8IZT6	Q99728
Q8N668	Q92905
Q8NC96	Q9BXS5
O00193	P09001
O00198	O15304
O00214	P48509
Q8TAX7	Q99935
Q8TDB6	Q96EQ8
Q92466	Q9Y4B6
Q92608	Q92918
Q92610	Q9Y4H2
Q92831	Q9UBN7
Q92905	Q99816
Q92918	Q9ULW0
Q93008	Q9HAU4
Q96BD5	Q9Y232
O00308	Q8N2W9
O00311	Q14691
O00311	Q9NZJ0
O00444	P00374
O00453	Q8N423
O00459	P42224
Q96GD4	Q99741
Q96GD4	Q9HBM1
Q96L34	Q99683
Q96RE7	Q9NSC2
Q96S21	Q9UK73
Q99661	Q9BTX1
Q9BYB0	Q9UPX8
O00629	P52294
Q9GZZ7	Q9UKR3
Q9HB29	Q9NPH3
Q9HBM1	Q9Y6A5
Q9NPD8	Q9NS87
Q9NQW6	Q9NZJ0
Q9NRD1	Q9Y3I1
Q9P0K7	Q9Y4H2
Q9P2U7	Q9UPR5
Q9UHI5	Q9UM01
Q9UI95	Q9UKT4
Q9UM54	Q9Y265
Q9UPA5	Q9UPR5
Q9UPX8	Q9Y4H2
Q9UQB3	Q9UQM7
O00762	Q8NI77
O14492	Q04912
O14493	Q14508
O14503	Q16665
O14543	P46108
O14576	P42262
O14594	Q8IZD9
O14654	P29597
O14654	P43403
O14654	P58107
O14786	P35916
O14817	Q9P2B2
O14879	Q9UL46
O14920	P16104
O14929	O60762
O14965	Q16763
O15031	Q9Y6C2
O15056	O75914
O15068	P52565
O15105	Q8WUH2
O15105	Q9H160
O15111	P08670
O15111	Q9BQE3
O15117	Q9NQ25
O15264	P45985
O15360	P07437
O15379	P27540
O15379	P46531
O15379	P50750
O15379	P52630
O15379	Q13761
O15446	P52434
O15553	Q00653
O43143	Q71UI9
O43172	Q9BZJ0
O43187	Q15750
O43278	Q14406
O43294	P06213
O43318	O95619
O43318	O95757
O43318	O95816
O43353	Q16543
O43390	Q8TEQ6
O43516	P19397
O43541	P10275
O43557	O43734
O43561	P08631
O43592	P61970
O43639	Q9Y490
O43707	P07437
O43734	P63261
O43914	P07858
O60234	P08567
O60391	P48058
O60641	P31946
O60674	Q9BRG2
O75083	P63261
O75112	Q05655
O75122	P42262
O75145	Q9UQ26
O75182	Q9BTC8
O75190	Q9UQL6
O75251	O95299
O75419	O95997
O75420	P40763
O75436	Q92769
O75446	Q13422
O75530	P20671
O75530	Q00688
O75530	Q32MZ4
O75530	Q8NHZ7
O75554	Q8WXD5
O75569	Q9UL18
O75582	P05412
O75582	Q8WYK2
O75586	Q9UBK2
O75688	P51617
O75688	Q9UHD2
O75691	Q14204
O75891	P31946
O75909	Q13309
O75925	P41212
O75925	Q13772
O75925	Q8IZL8
O75935	Q9UBQ7
O75937	P09661
O75943	Q92547
O94782	P23921
O94826	P31946
O95049	Q15149
O95067	P30291
O95150	P19438
O95210	Q13501
O95292	P27361
O95347	Q5TB30
O95379	P19397
O95382	Q8WTR2
O95425	P63267
O95425	Q03135
O95471	Q96J92
O95478	Q9Y3U8
O95670	Q9NY72
O95777	Q969L4
O95816	P62258
O95944	Q9Y3X0
O95967	P54852
O95997	P54132
O96013	P10809
O96017	P16220
O96017	Q9HAW4
P00367	P62280
P00519	Q9NRY4
P00738	P80511
P00973	P23497
P01008	P04196
P01023	Q9HCB6
P01033	P05121
P01042	P02675
P01106	Q15418
P01112	Q04917
P01574	Q00978
P02545	P05783
P02745	Q9NSI8
P03372	P18615
P03372	Q92750
P04053	Q9UGP5
P04196	P11509
P04233	P33241
P04350	P62277
P04350	Q71UM5
P04406	P62241
P04439	P68104
P04554	Q9Y615
P04626	Q14980
P04637	P23458
P04637	Q8IW19
P05106	P12814
P05106	P29323
P05129	P68400
P05141	P09651
P05141	Q15758
P05556	P62258
P05771	P68400
P06213	P42338
P06239	P32455
P06241	P29317
P06400	P42772
P06454	Q04206
P06729	P11049
P06729	Q07108
P06753	P31946
P06753	Q8WZ42
P07197	Q99784
P07437	Q92985
P07814	P62263
P07858	Q13571
P07900	P14373
P07900	Q92922
P08047	P24468
P08047	Q96T58
P08069	P16591
P08069	P42345
P08123	P08493
P08133	P63104
P08138	Q9BVA1
P08235	P10276
P08237	P63104
P08253	Q6NZI2
P08514	P10909
P08567	P15311
P08567	Q9NSI8
P08574	P30049
P08575	Q8NHJ6
P08581	P19022
P08603	P17927
P08631	P22607
P08648	P20701
P08670	P25705
P08670	Q71UM5
P08708	P47897
P09382	P12111
P09382	Q08397
P09486	Q96AC1
P09669	P48047
P09693	Q12929
P09874	P61088
P09912	P40763
P10242	P15923
P10244	Q12815
P10275	P12830
P10275	P36897
P10275	Q12873
P10275	Q9Y6K1
P10276	P15976
P10636	P46527
P10696	P26998
P10809	P50990
P10826	Q92753
P10912	Q92918
P10914	P49715
P10914	P51617
P11021	P62277
P11021	P62701
P11142	P26373
P11217	Q9NP98
P11274	Q13177
P11388	P30291
P11388	Q9NQB0
P11717	Q92673
P11802	P51532
P12236	P84077
P12236	Q9BSJ8
P12318	P12931
P12814	P31949
P12931	P35240
P12931	P78527
P12956	P28360
P13051	P49005
P13056	P48443
P13164	Q53G44
P13501	Q9P0V8
P13611	P40261
P13611	Q92743
P13984	P21675
P13995	P33552
P14317	P19320
P14618	P30613
P14625	Q13546
P14635	Q8TAT5
P14672	P26038
P14784	P41240
P14859	P40763
P15036	Q13469
P15104	P78352
P15153	Q92619
P15336	Q00613
P15880	P61978
P15924	P48643
P15924	Q96FX8
P15976	P37231
P16104	Q04206
P16104	Q71UI9
P16144	P35222
P17066	P50914
P17066	P54136
P17096	P49795
P17174	P32119
P17252	Q9BYG5
P17600	P51693
P17661	P63316
P17676	P19532
P17987	P18124
P17987	Q16531
P18124	Q16543
P18433	Q14118
P18848	Q15788
P18859	P99999
P19235	P78314
P19338	P62906
P19338	P63261
P19438	Q9H0R8
P19793	Q15406
P19793	Q9NWA0
P19838	Q99731
P20061	P80511
P20138	P40189
P20248	P30281
P20290	P60866
P20290	P61313
P20749	P41182
P20929	Q14896
P21397	P31946
P21579	P30531
P21580	Q12802
P21731	P26436
P21810	P35442
P21860	Q8TF42
P22459	Q14957
P22460	Q92796
P22692	Q15113
P23246	Q09472
P23468	P31946
P23497	Q9UIS9
P23528	P39019
P23528	P62258
P24394	Q9UM73
P24593	Q16270
P24941	Q14191
P25054	Q8TEW0
P25098	P31946
P25445	P42768
P25774	P35408
P25789	P61604
P25963	P62249
P25963	Q6ZNA4
P27348	Q15382
P27361	P35968
P27361	P37802
P27361	Q15691
P27361	Q9Y6R4
P27448	Q6WCQ1
P27448	Q9BYG4
P27708	P49411
P27708	P61247
P27708	Q01813
P27986	Q12913
P28347	Q13164
P28749	P39748
P28908	P34931
P29083	P36954
P29083	Q9HAW0
P29323	Q13322
P29353	Q9UPX8
P29590	Q16576
P29597	P36888
P30153	P49720
P30153	Q8IVT5
P30153	Q99640
P30281	Q13619
P30291	Q7KZI7
P30307	Q8IW41
P30622	P31946
P31150	P51784
P31689	P53618
P31946	Q00325
P31946	Q06187
P31946	Q13415
P31946	Q5TF21
P31946	Q6IQ19
P31946	Q9UQB3
P31946	Q9Y5S2
P31947	Q05516
P33176	Q6WCQ1
P34931	P43489
P34931	Q93009
P35052	Q9Y6N7
P35222	Q9NV56
P35240	Q15843
P35249	Q9NTJ3
P35659	Q6PGP7
P36955	Q92743
P38398	P62993
P38398	Q15233
P38398	Q8NEM2
P38646	Q92616
P38646	Q9NR30
P40305	Q8IVU3
P40818	P46527
P41240	Q9Y490
P41279	Q13114
P41279	Q99759
P41597	Q16627
P41743	Q15831
P42081	P55160
P42229	Q02156
P42338	Q6PIZ9
P42680	P78347
P42680	Q15139
P42684	Q8TEW6
P42685	P51451
P42768	Q03135
P43235	Q9NR99
P43246	Q14566
P43354	Q14686
P46013	Q9H211
P46779	P61313
P46783	Q12905
P46783	Q99623
P47756	P62879
P48023	Q13224
P48050	Q9UQM7
P48052	P55259
P48552	Q9HCU9
P49005	Q9UGP5
P49116	Q15596
P49407	Q9Y2U5
P49736	Q9NRZ9
P49848	P52657
P50213	Q5VYK3
P50395	P84103
A0JLT2	P35269
P50613	Q00526
P50613	Q9Y2W1
P50990	Q96EY1
P51571	P62263
P51587	Q16594
P51693	Q9HBZ2
P51991	P84103
P52333	Q13651
P53618	Q14257
P53667	Q96S53
P53779	P60880
P54259	Q16630
P54284	Q9NZU7
P55001	Q6FHJ7
P55010	Q14152
P55211	Q13177
P55287	Q8IUX7
P60033	Q13797
P60880	Q9P2S2
P60880	Q9UPV7
P61247	Q12905
P61247	Q5JTH9
P61604	Q15185
P61619	Q13200
P61619	Q9NVI7
P61966	Q9NVZ3
P61978	Q9NYF8
P62258	P78352
P62266	Q9NZM5
P62273	Q9Y3U8
P62280	Q2NL82
P62487	Q15370
P62736	P63261
P62736	Q9BRK3
P62760	Q13554
P62805	Q99623
P62829	P68371
P62910	Q00653
P62993	P78347
P62993	Q9H6Q3
P63027	Q7L0J3
P63104	Q00613
P63151	Q14BN4
P63165	Q13315
P63267	Q9BX67
P63279	Q9Y2X8
P68133	Q9BYX7
P68431	Q08211
P78352	Q15393
P78352	Q9H936
P84022	Q15759
P84243	Q92878
P84243	Q99525
Q00536	Q8TEW0
Q00653	Q99684
Q00653	Q9H2X6
Q01201	Q16594
Q01814	Q9UI15
Q01970	Q8ND90
Q02078	Q02447
Q02221	Q96A32
Q02241	Q99741
Q02750	Q13224
Q03135	Q9UQC2
Q04637	Q13263
Q04864	Q13568
Q05193	Q16352
Q05193	Q9BVA1
Q05195	Q9UK53
Q05397	Q8TF42
Q05513	Q13418
Q05655	Q13163
Q05655	Q9UM73
Q05682	Q9P0V9
Q06124	Q9GZY6
Q06187	Q99759
Q07817	Q13546
Q07889	Q13177
Q07889	Q13322
Q07890	Q13177
Q08050	Q8NBT2
Q08881	Q9H204
Q08881	Q9NR97
A7KAX9	O15068
A7KAX9	Q15700
Q09472	Q9UIS9
Q12778	Q15596
Q12802	Q9Y2J2
Q12841	Q9BRK3
Q12879	Q9BTT6
Q12933	Q96FA3
Q12972	Q9UKA4
Q13042	Q92905
Q13094	Q9UM73
Q13136	Q5FBB7
Q13315	Q9UKI8
Q13325	Q8IY21
Q13404	Q9NYJ8
Q13418	Q92574
Q13485	Q8WYK2
Q13485	Q99497
Q13526	Q9Y297
Q13547	Q14209
Q13547	Q9HCK8
Q13557	Q15700
Q13882	Q92625
Q14566	Q16667
Q14653	Q9H4P4
Q14680	Q5TB30
Q14839	Q969S8
Q14919	Q6P1X5
Q15021	Q6IBW4
Q15080	Q9NY15
Q15208	Q15910
Q15306	Q9UHD2
Q15596	Q99814
Q15768	Q8TEW0
Q15843	Q9NX09
Q15843	Q9UBF6
Q16531	Q8IWV7
Q16576	Q9UQ80
Q16611	Q9H2V7
Q5FBB7	Q5VSL9
Q5TB30	Q9BTX1
Q5TB30	Q9BZD4
Q66K89	Q7LG56
Q6NZ67	Q96HE9
C9JL84	O95813
Q8N0X7	Q9NYJ8
Q8N5S9	Q8TEW0
Q8NF91	Q9UPN3
O00186	Q16181
O00255	O15111
Q8TB45	Q9NQL2
Q8WYH8	Q9H160
Q92547	Q9Y4A5
Q92750	Q92831
Q92750	Q9Y2P0
Q92769	Q99728
Q92793	Q9GZV5
Q92851	Q9HB75
Q92974	Q9NZQ3
Q92993	Q969G3
Q93009	Q9NQC7
Q96BH1	Q99496
Q96C24	Q9UNE2
O00308	P12757
O00327	O15534
O00327	Q10586
O00410	P13807
O00453	Q13094
O00463	P32121
Q96EF6	Q9UKT7
Q96QC0	Q9C0D0
Q99570	Q9C0C7
Q99618	Q9NTJ3
Q99661	Q9H211
Q99661	Q9H8V3
Q9BRR3	Q9UJ04
Q9BVP2	Q9UNH5
Q9BXW6	Q9C040
Q9BYJ9	Q9NWU2
O00571	O43432
O00571	P62263
Q9H1R3	Q9UL15
Q9H7L9	Q9UBL3
Q9H992	Q9NYJ8
Q9NQ94	Q9NR48
Q9NRD1	Q9Y297
Q9NX09	Q9NZJ0
Q9NY15	Q9Y6Y9
Q9NYF8	Q9Y2H1
Q9UK39	Q9UKR3
Q9UNL4	Q9Y6Q9
O14490	Q7Z6J2
O14594	Q14832
O14654	P10721
O14654	P63261
O14654	Q13480
O14727	Q92851
O14757	Q9BSJ6
O14782	Q01082
O14791	P32456
O14920	P24941
O14920	P26038
O14920	Q86WV6
O14929	Q6NXT2
O14933	Q15646
O14939	P27986
O15069	O95970
O15085	P42684
O15116	Q969L4
O15162	P62993
O15259	Q5TCZ1
O15304	Q13489
O15379	P16220
O15392	P10144
O15392	Q16763
O15455	O43734
O15524	Q01201
O15530	P09874
O15530	P41279
O43143	P0C0S5
O43150	P53365
O43187	P04049
O43283	P53779
O43353	Q04864
O43424	Q9NRD5
O43427	Q8NCQ8
O43464	Q13114
O43482	Q5TB30
O43516	Q13094
O43516	Q16555
O43541	Q9UNE7
O43592	P35580
O43592	Q9BVA1
O43639	P54760
O43683	Q99618
O43707	P05783
O43707	P16284
O43736	Q01453
O43808	P33897
O60234	P02746
O60238	Q13794
O60264	Q9UJW3
O60315	Q15583
O60315	Q9NRX5
O60359	P21579
O60496	P29323
O60583	Q03164
O60603	Q9Y616
O60664	Q9Y6W5
O60674	Q04206
O60674	Q13153
O60716	P16144
O60716	P31946
O60825	P15056
O60828	O95400
O60934	P35659
O75081	Q7L2E3
A6NCE7	P46821
O75306	P31946
O75419	Q9NVP2
O75436	P40925
O75530	P07900
O75582	P17275
O75593	O95405
O75643	Q86X27
O75679	P26436
O75688	P23396
O75694	P78406
O75791	P18031
O75899	O95196
O75925	Q00403
O75925	Q15648
O75928	Q92769
O94782	Q9UKT4
O94830	Q9UBL3
O94888	Q96LJ8
O95049	P17302
O95139	O95298
O95352	Q9BQS8
O95373	P23396
O95379	P21580
O95425	Q12778
O95670	Q9BT88
O95813	Q76N89
O95816	P01375
O95831	Q13158
O96017	Q13547
O96028	Q13330
O96028	Q96L73
P00533	P18206
P01023	P08670
P01040	P04083
P01100	P15172
P01112	P19174
P0DML2	Q9NZP6
P0DML3	Q9NZP6
P01375	P19838
P01574	Q92831
P02042	P04075
P02452	Q15063
P02549	Q9NRC6
P02778	P17676
P03372	P18146
P03372	Q96B97
P03372	Q9H204
P04049	Q9Y4H2
P04075	P27361
P04150	P24941
P04150	Q92925
P04183	Q9NZJ0
P04350	P12931
P04637	P56945
P04839	P17947
P04899	P50148
P05106	P26010
P05107	P13747
P05107	Q8IY34
P05114	P36578
P05121	Q99574
P05412	P22736
P05412	P23458
P05412	P51692
P05412	Q14653
P05496	P10606
P06213	P16234
P06239	Q92888
P06241	Q9BZX2
P06396	P10523
P06400	P23497
P06400	Q15583
P06400	Q9C0K0
P06400	Q9Y232
P06493	P12956
P06576	P10176
P06576	P68871
P06729	Q96F15
P06748	Q16667
P07196	Q9NYX4
P07333	Q07666
P07814	P46940
P07814	P51398
P07900	P20333
P07900	P54253
P07900	Q7Z434
P07949	P21802
P08047	Q9Y2N7
P08069	Q7L591
P08069	Q9ULV8
P0DMV9	P30153
P0DMV8	Q00839
P0DMV9	Q00839
P08238	P27824
P08571	Q9UM01
P08575	Q9BV40
P08581	P20138
P08631	Q14155
P08631	Q14185
P08631	Q9BV40
P08670	P61586
P08670	Q6NZI2
P08758	Q15811
P09382	P47914
P09382	Q01453
P09496	P25105
P09543	P51693
P09543	Q6TCH4
P09874	Q3ZCQ8
P09912	P29728
P10070	P10071
P10144	P49810
P10145	P43490
P10275	P11388
P10276	Q9NX70
P10523	P68366
P10721	Q15303
P10721	Q9Y4K4
P10809	Q92734
P10909	Q13813
P10914	P23458
P10914	P35354
P10914	Q9NPI1
P11021	P98170
P11142	P43246
P11142	Q01082
P11142	Q05655
P11217	Q9UDY4
P11309	Q13263
P11387	P14921
P11387	P46060
P11387	P49407
P11387	Q9Y572
P11473	P43694
P11473	Q9H2X6
P11802	P39748
P11802	Q9NZJ0
P12036	P37840
P12110	Q9NR99
P12111	Q9BXN1
P12236	P26373
P12236	P26641
P12318	P17676
P12814	P63104
P12830	Q9Y6K9
P12931	P42338
P13569	P19838
P13861	P14672
P14672	P18085
P14784	P35568
P14859	Q05516
P14921	P42224
P14923	Q14526
P15056	P27708
P15056	P49796
P15172	Q15717
P15173	P19793
P15173	P23511
P15498	P37840
P15498	Q9H204
P15822	P28482
P15880	Q15906
P15884	Q9UH73
P15923	Q9H2X6
P16035	P80098
P16452	Q02161
P17066	Q00325
P17066	Q14257
P17096	P33991
P17252	P42680
P17275	Q9BPZ7
P17542	Q9UKG1
P17600	Q12791
P17661	P62736
P17677	P35611
P17931	Q92752
P17947	P98082
P17948	Q13239
P17987	Q16543
P17987	Q99471
P18124	P67809
P18146	P52630
P18847	Q96EB6
P19174	P63104
P19235	P43403
P19235	P48023
P19784	P63104
P19784	Q00610
P19838	Q15029
P20248	P23258
P20592	Q96AZ6
P20701	P26038
P21145	Q92482
P21333	P29536
P21333	P49023
P21397	Q99683
P21579	Q9UBL0
P21580	Q9P0K7
P21918	Q15784
P22234	P49366
P22455	P35968
P22626	Q9NS56
P22681	P55196
P22681	Q6PIZ9
P23246	P62888
P23246	Q13546
P23458	P51813
P23511	P25490
P23515	P51693
P23528	P62424
P24844	Q12841
P24855	Q9HCX4
P24928	Q9Y6Q9
P24941	Q15131
P25398	P63261
P25774	Q9BXN2
P25963	P62805
P25963	Q13485
P26038	P27361
P26038	P43403
P26358	Q9UKL0
P26373	Q05639
P26436	Q02127
P27361	P31946
P27361	P63167
P27361	Q15139
P27361	Q15431
P27448	P40818
P27708	Q16643
P27824	P34931
P28062	Q13571
P28482	P61244
P28482	Q92993
P29475	P31749
P29590	Q14686
P29692	P62280
P30291	Q00537
P30872	P32745
P31146	Q92608
P31483	Q05397
P31749	Q15349
P31751	Q05586
P31943	Q07021
P31946	P61163
P31946	P78559
P31946	Q13505
P31946	Q16698
P31946	Q8TB96
P31946	Q9BQI5
P31946	Q9Y4D1
P31947	Q14814
P32969	P61769
P33176	Q12846
P33176	Q6ICG6
P33992	Q12834
P33993	P51587
P34932	Q02447
P35222	Q14511
P35222	Q15532
P35222	Q96ST3
P35232	Q09472
P35251	Q9UGP5
P35268	Q15208
P35590	P62993
P35749	Q15847
P36955	Q15113
P37173	Q99683
P37231	Q9NVC6
P37231	Q9Y6B2
P37275	P48552
P38435	Q96IY4
P38646	P62979
P40227	Q8WU90
P40261	Q99969
P40692	Q9H9A7
P40763	P41743
P40763	Q15418
P40818	Q9H0B6
P41182	Q92922
P41252	Q9BVA1
P41567	Q14240
P42226	Q07812
P42229	P78347
P42229	Q15418
P42677	Q9UHB6
P42680	P51692
P42768	Q00587
P42830	P80098
P43354	Q07869
P43489	Q8IUC6
P46108	Q9UKS6
P46527	P53350
P46527	Q14974
P46777	Q00653
P46783	P51398
P46821	Q7L576
P46934	Q8TDB6
P46937	Q13043
P0DPH7	P46940
P0DPH8	P46940
P47755	Q02156
P49023	Q07890
P49368	P62306
P49454	P53350
P49761	Q00536
P49815	Q8TEW0
P49901	Q9NTU4
P50238	P52943
P50553	P61296
P50990	P62753
P50990	Q16543
P51451	Q13882
P51532	Q9NPF5
P51571	Q71UM5
P51587	Q16667
P51665	P55072
P51687	Q9Y6Q6
P51692	Q07890
P51692	Q99683
P52333	P54753
P52732	Q9BX63
P53634	Q9BV40
P53634	Q9H2W1
P53680	P62316
P54132	Q7L590
P54136	P63261
P54257	Q07866
P54753	P54762
P54762	Q14289
P55055	Q9Y5X4
P55196	P61224
P56192	Q92600
P56279	Q16539
P60660	P61247
P60866	P61978
P60880	Q15818
P61024	Q9NS87
P61024	Q9NYZ3
P61077	Q9UKY7
P61224	P62424
P61247	Q01780
P61769	P62945
P61964	Q12933
P61981	Q06124
P62136	P62879
P0DP23	Q01082
P0DP24	Q01082
P0DP25	Q01082
P0DP23	Q8IUC6
P0DP24	Q8IUC6
P0DP25	Q8IUC6
P62263	Q93008
P62328	Q9Y613
P62508	Q9Y466
P62753	Q9BY77
P62805	Q9BVA1
P62873	Q99832
P62888	Q08211
P62913	P62987
P62913	Q92922
P62993	Q92556
P62993	Q9NYJ8
P63165	Q04837
P63165	Q9ULJ6
P68400	Q8NEU8
P83916	Q96EB6
P98175	Q13523
Q00403	Q15572
Q00839	Q92769
Q01094	Q8N2W9
Q01094	Q9Y6K9
Q01196	Q03181
Q01826	Q03112
Q04206	Q9NTG7
Q04323	Q8N668
Q04864	Q13576
Q04864	Q8NI08
Q04864	Q92598
Q04864	Q92844
Q05397	Q14155
Q05513	Q9HCE7
Q05516	Q15788
Q05586	Q9H0B6
Q05901	Q15825
Q06124	Q12866
Q06413	Q15759
Q06418	Q92569
Q07002	Q9Y2K2
Q07011	Q13546
Q07157	Q9Y572
Q07666	Q9NRF2
Q07890	Q12929
Q07954	Q92870
Q08380	Q16543
Q08881	Q13322
A7KAX9	P00519
A7KAX9	Q06124
Q08999	Q13363
Q10567	Q9UPM8
Q12791	Q9UGJ1
Q12802	Q6WCQ1
Q12802	Q9UDY2
Q12933	Q13451
Q12933	Q16531
Q13009	Q9UQM7
Q13042	Q13526
Q13111	Q96KB5
Q13136	Q16537
Q13153	Q92918
Q13158	Q14257
Q13185	Q13564
Q13233	Q96L21
Q13263	Q9UIS9
Q13309	Q14999
Q13315	Q93009
Q13330	Q8NEU8
Q13404	Q9UKV5
Q13433	Q6ZT07
Q13490	Q9UQE7
Q13571	Q8NHJ6
Q13627	Q9UKV3
Q13642	Q9BX67
Q13651	Q14242
Q13651	Q6P9H5
P0DPH7	Q99832
P0DPH8	Q99832
Q13765	Q99471
Q13905	Q15654
Q14511	Q9Y4K4
Q14653	Q9Y6Q9
Q14691	Q9NTJ3
Q14738	Q5VSL9
Q14790	Q15750
Q15011	Q8NHG7
Q15047	Q99496
Q15047	Q9NVP2
Q15326	Q16539
Q15398	Q8TAT5
Q15418	Q92831
Q15464	Q16620
Q15596	Q96KQ7
Q15645	Q9NYZ3
Q15648	Q92831
Q15788	Q93074
Q16186	Q9Y4K3
Q16512	Q9Y243
Q16543	Q92985
Q16799	Q9BT88
Q53G44	Q9UL46
Q562F6	Q9BZD4
Q59EK9	Q96F07
Q59EK9	Q9H169
Q59EK9	Q9UBS5
Q5MJ70	Q9H211
Q5TB30	Q9H0H5
Q5TB30	Q9NVI1
Q5VYK3	Q9P2J5
B7U540	Q15700
Q6PKG0	Q92974
Q6WCQ1	Q9Y2U5
Q6ZU15	Q8IYM1
Q7L0J3	Q9UPA5
Q7L2E3	Q9UKG1
Q7L590	Q8NI77
Q7Z5R6	Q8N8S7
Q86UL8	Q8WXI2
Q8IX90	Q9HBM1
O00141	O15111
O00165	P23396
Q8N163	Q96EY1
Q8N5C8	Q99558
O00213	P02549
O00255	P78527
O00273	O43524
O00303	P62249
Q8WUI4	Q9H4A3
Q8WX92	Q9ULV3
Q92667	Q9Y6D5
O00327	Q8N2W9
O00339	P49407
O00408	P61764
O00410	Q5JVF3
O00422	P51532
O00453	Q14314
O00459	P21802
Q96C86	Q9NQT5
Q96CQ1	Q9NYF8
Q96JC9	Q9UBU8
Q96KR7	Q9C0D0
Q99801	Q9Y6X6
Q9BSJ6	Q9Y6A5
Q9BTC8	Q9C0K0
Q9BXF6	Q9ULV0
O00487	O14980
Q9H160	Q9UBB5
Q9H4M3	Q9UKT7
Q9NP60	Q9NPH3
Q9NRG0	Q9UIF9
Q9NS91	Q9UNA4
Q9UKD1	Q9UKJ3
Q9ULH1	Q9Y4K4
Q9UM01	Q9Y6Y9
Q9UPM8	Q9Y678
O00762	O96020
O14492	Q07912
O14561	O14949
O14613	Q15642
O14625	Q53G44
O14654	Q8WU20
O14733	Q13224
O14733	Q9Y6K9
O14777	P38398
O14818	O75832
O14828	Q15303
O14836	P36941
O14836	Q96RJ3
O14893	Q99717
O14920	P12236
O14920	P19338
O14920	P42229
O14965	Q9BSJ6
O14980	P33993
O14986	Q99755
O15079	P61764
O15105	P61956
O15105	P0DPH7
O15105	P0DPH8
O15111	P15336
O15111	P42677
O15111	Q08211
O15111	Q96Q89
O15151	P25490
O15151	P49459
O15350	Q15759
O15360	P04637
O15372	P62851
O15519	P51617
O15524	Q8WXH5
O15530	Q99759
O43143	Q00526
O43155	P34741
O43157	Q13017
O43157	Q5T124
O43175	Q9H1R3
O43294	O75928
O43294	P07951
O43294	Q13772
O43294	Q9Y6C2
O43307	P61586
O43318	P35568
O43353	Q56P42
O43426	Q13177
O43426	Q13444
O43504	P07919
O43520	Q7L7X3
O43521	P49768
O43524	Q92934
O43524	Q96F86
O43541	O75925
O43586	P06239
O43593	O94776
O43639	P07948
O43678	Q9BU61
O60282	Q9BZQ4
O60404	Q9NZD1
O60496	P16591
O60506	P22626
O60516	Q13542
O60602	P58753
O60613	P25787
O60613	Q13162
O60674	P01308
O60674	P10914
O60716	P17931
O60716	P29353
O60716	P43405
O60716	P62993
O60762	Q92769
O60869	Q15544
O60907	P37231
O75030	P15923
O75081	Q8TAQ2
O75122	O94967
O75326	P21918
O75326	P48023
O75330	Q15468
O75369	P42684
O75398	Q13144
O75444	P63165
O75486	Q92793
O75530	P05198
O75643	Q6PKG0
O75688	Q13523
O75791	P51451
O75832	P28074
O75899	P27986
O75940	Q16637
O76021	P62847
O76075	P06748
O76096	P25774
O94875	Q06187
O94921	P24864
O95071	Q9Y263
O95163	P19525
O95352	Q92636
O95373	Q13535
O95379	Q13571
O95619	Q9H981
O95813	Q8TCE9
O95813	Q9Y5Y9
O95816	P62280
O95967	P62736
O95967	Q99435
O95972	P11712
O96017	P27694
P00374	P04183
P00519	P10398
P00533	P35869
P00533	Q05193
P00533	Q14315
P01008	P19823
P01112	Q92963
P09923	P0DML2
P09923	P0DML3
P01375	P49662
P02751	P08962
P03372	P48023
P04049	P51813
P04049	Q9UQ35
P04150	Q14764
P04183	Q9BZX2
P04350	P20916
P04406	P78352
P04439	P62244
P04440	Q15080
P04626	P25054
P04626	P45984
P04637	P23246
P04637	P42684
P04637	P49840
P04792	Q12933
P05026	P78352
P05067	Q9Y6K9
P05107	P06756
P05107	P23458
P05362	Q03169
P05387	Q93008
P05412	P49918
P05412	Q07325
P05412	Q14116
P05783	P33176
P05783	P46937
P05787	Q13115
P06213	P35236
P06213	P42768
P06213	P84022
P06239	P24394
P06239	Q14005
P06239	Q9H3Y6
P06241	P61981
P06241	Q9H3Y6
P06400	Q15466
P06400	Q99728
P06730	P38919
P06748	P46527
P06748	Q05195
P06748	Q14978
P07196	Q9GZM8
P07197	P84022
P07333	Q12866
P07437	Q92956
P07858	Q9Y6Y9
P07900	P19105
P07900	P22626
P07900	P42684
P07919	Q9UBQ5
P07948	P10636
P07948	P42081
P08047	Q8N488
P08069	P42338
P08069	Q15369
P08247	Q9UI14
P08493	Q9BRK3
P08571	P25774
P08575	P14923
P08575	P19174
P08670	Q16643
P08700	P15509
P08962	P21333
P09001	Q9NSE4
P09327	P50053
P09327	Q9Y613
P09382	P62263
P09471	Q9Y328
P09471	Q9Y6Y1
P09603	Q9UBC5
P09619	Q8WV28
