Q96RS0	Q9UI43
A6NMU1	Q8NGS0
Q6IEY1	Q8NGS0
Q8NGB9	Q8NGS0
Q8NGC4	Q8NGS0
Q8NGH5	Q8NGS0
A6NMU1	Q8NGS3
Q8NGE5	Q8NGS3
Q8NGR8	Q8NGS3
A6NMU1	Q8NGS4
P58170	Q8NGS4
Q8NGS0	Q8NGS4
A4D2G3	Q8NGS5
A6NF89	Q8NGS5
A6NMS3	Q8NGS5
P0C7N1	Q8NGS5
Q8N127	Q8NGS5
Q8N148	Q8NGS5
Q8NG81	Q8NGS5
Q8NG83	Q8NGS5
Q8NGA8	Q8NGS5
Q8NGB4	Q8NGS5
Q8NGB9	Q8NGS5
Q8NGD1	Q8NGS5
Q8NGD2	Q8NGS5
Q8NGD4	Q8NGS5
Q8NGD5	Q8NGS5
Q8NGE1	Q8NGS5
Q8NGE3	Q8NGS5
Q8NGF6	Q8NGS5
Q8NGF9	Q8NGS5
Q8NGG2	Q8NGS5
Q8NGH5	Q8NGS5
Q8NGJ2	Q8NGS5
Q8NGL4	Q8NGS5
Q8NGP0	Q8NGS5
Q8NGS4	Q8NGS5
A6NET4	Q8NGV6
A6NMU1	Q8NGV6
Q6IEY1	Q8NGV6
Q8NGD2	Q8NGV6
Q8NGG2	Q8NGV6
Q8NGH5	Q8NGV6
Q8NGN8	Q8NGV6
Q8NGQ5	Q8NGV6
A6ND48	Q8NGV7
A6NF89	Q8NGV7
A6NIJ9	Q8NGV7
A6NMS3	Q8NGV7
A6NMU1	Q8NGV7
O95007	Q8NGV7
P47888	Q8NGV7
Q15617	Q8NGV7
Q6IFN5	Q8NGV7
Q8N349	Q8NGV7
Q8NG81	Q8NGV7
Q8NGA8	Q8NGV7
Q8NGB4	Q8NGV7
Q8NGC4	Q8NGV7
Q8NGE1	Q8NGV7
Q8NGE3	Q8NGV7
Q8NGE5	Q8NGV7
Q8NGE8	Q8NGV7
Q8NGF9	Q8NGV7
Q8NGI4	Q8NGV7
Q8NGI9	Q8NGV7
Q8NGK0	Q8NGV7
Q8NGL4	Q8NGV7
Q8NGP0	Q8NGV7
Q8NGQ4	Q8NGV7
Q8NGR8	Q8NGV7
Q8NGS0	Q8NGV7
Q8NGS5	Q8NGV7
A4D2G3	Q8NGW6
A6NKK0	Q8NGW6
P0C7N1	Q8NGW6
P58170	Q8NGW6
P58181	Q8NGW6
Q15615	Q8NGW6
Q8N148	Q8NGW6
Q8NGD1	Q8NGW6
Q8NGD2	Q8NGW6
Q8NGD4	Q8NGW6
Q8NGF6	Q8NGW6
Q8NGG2	Q8NGW6
Q8NGG4	Q8NGW6
Q8NGQ1	Q8NGW6
A6ND48	Q8NGX3
A6NMU1	Q8NGX3
O95007	Q8NGX3
P47881	Q8NGX3
P58170	Q8NGX3
Q15617	Q8NGX3
Q8NGC7	Q8NGX3
Q8NGC9	Q8NGX3
Q8NGE1	Q8NGX3
Q8NGE8	Q8NGX3
Q8NGF3	Q8NGX3
Q8NGG4	Q8NGX3
Q8NGI0	Q8NGX3
Q8NGK0	Q8NGX3
Q8NGK1	Q8NGX3
Q8NGS5	Q8NGX3
Q8NGV7	Q8NGX3
A6NMU1	Q8NGX6
Q6IEY1	Q8NGX6
Q8NGH5	Q8NGX6
Q8NGQ5	Q8NGX6
A6NKK0	Q8NGX8
A6NMS3	Q8NGX8
O95007	Q8NGX8
P47881	Q8NGX8
Q15617	Q8NGX8
Q8NGD5	Q8NGX8
Q8NGE1	Q8NGX8
Q8NGF9	Q8NGX8
Q8NGK0	Q8NGX8
Q8NGV7	Q8NGX8
A6NET4	Q8NGY1
A6NMU1	Q8NGY1
O95221	Q8NGY1
Q6IEY1	Q8NGY1
Q8NGD2	Q8NGY1
Q8NGE5	Q8NGY1
Q8NGH5	Q8NGY1
Q8NGQ5	Q8NGY1
Q8NGS5	Q8NGY1
A6NMS3	Q8NGY6
O95007	Q8NGY6
P47881	Q8NGY6
Q15617	Q8NGY6
Q8NG81	Q8NGY6
Q8NGE1	Q8NGY6
Q8NGE3	Q8NGY6
Q8NGF9	Q8NGY6
Q8NGK1	Q8NGY6
Q8NGL4	Q8NGY6
Q8NGP0	Q8NGY6
Q8NGR8	Q8NGY6
Q8NGS5	Q8NGY6
A6NKK0	Q8NGZ3
A6NMS3	Q8NGZ3
O95007	Q8NGZ3
P47881	Q8NGZ3
Q15615	Q8NGZ3
Q8NG81	Q8NGZ3
Q8NGD5	Q8NGZ3
Q8NGE1	Q8NGZ3
Q8NGF9	Q8NGZ3
Q8NGG4	Q8NGZ3
Q8NGI0	Q8NGZ3
Q8NGK0	Q8NGZ3
Q8NGV7	Q8NGZ3
Q8NGX3	Q8NGZ3
Q8NGX8	Q8NGZ3
Q8NGY6	Q8NGZ3
A6NF89	Q8NGZ5
P0C7N5	Q8NGZ5
Q6IFH4	Q8NGZ5
Q8N127	Q8NGZ5
Q8NGA8	Q8NGZ5
Q8NGB4	Q8NGZ5
Q8NGB9	Q8NGZ5
Q8NGC4	Q8NGZ5
Q8NGD5	Q8NGZ5
Q8NGG4	Q8NGZ5
Q8NGJ2	Q8NGZ5
Q8NGL7	Q8NGZ5
Q8NGQ4	Q8NGZ5
Q8NGW6	Q8NGZ5
Q8NGX3	Q8NGZ5
Q8NGY6	Q8NGZ5
A4D2G3	Q8NGZ6
A6NET4	Q8NGZ6
A6NKK0	Q8NGZ6
P0C7N1	Q8NGZ6
P58181	Q8NGZ6
Q15615	Q8NGZ6
Q6IEY1	Q8NGZ6
Q8N148	Q8NGZ6
Q8NG83	Q8NGZ6
Q8NGA6	Q8NGZ6
Q8NGD1	Q8NGZ6
Q8NGD2	Q8NGZ6
Q8NGF4	Q8NGZ6
Q8NGG2	Q8NGZ6
Q8NGG3	Q8NGZ6
Q8NGG8	Q8NGZ6
Q8NGH5	Q8NGZ6
Q8NGQ1	Q8NGZ6
Q8NGQ5	Q8NGZ6
Q8NGR1	Q8NGZ6
Q8NGV6	Q8NGZ6
Q8NGY1	Q8NGZ6
A4D2G3	Q8NH03
A6ND48	Q8NH03
A6NKK0	Q8NH03
P0C7N1	Q8NH03
Q15615	Q8NH03
Q8N148	Q8NH03
Q8NGD4	Q8NH03
Q8NGG2	Q8NH03
Q8NGV7	Q8NH03
A6NCV1	Q8NH16
Q6IFH4	Q8NH16
Q8NGC4	Q8NH16
Q8NGL7	Q8NH16
Q8NGN8	Q8NH16
Q8NGW6	Q8NH16
A4D2G3	Q8NH37
A6NDL8	Q8NH37
P0C7N1	Q8NH37
P47888	Q8NH37
P58181	Q8NH37
Q6IFH4	Q8NH37
Q8N127	Q8NH37
Q8N148	Q8NH37
Q8NG83	Q8NH37
Q8NGA8	Q8NH37
Q8NGB4	Q8NH37
Q8NGC4	Q8NH37
Q8NGD2	Q8NH37
Q8NGE3	Q8NH37
Q8NGF6	Q8NH37
Q8NGF9	Q8NH37
Q8NGG2	Q8NH37
Q8NGG8	Q8NH37
Q8NGH5	Q8NH37
Q8NGJ2	Q8NH37
Q8NGL4	Q8NH37
Q8NGN2	Q8NH37
Q8NGP0	Q8NH37
Q8NGS4	Q8NH37
Q8NGV7	Q8NH37
Q8NGX3	Q8NH37
Q8NGX6	Q8NH37
Q8NGY1	Q8NH37
A4D2G3	Q8NH42
A6NET4	Q8NH42
O95221	Q8NH42
P0C7N5	Q8NH42
P58181	Q8NH42
Q6IEY1	Q8NH42
Q8NG83	Q8NH42
Q8NGA6	Q8NH42
Q8NGD1	Q8NH42
Q8NGD2	Q8NH42
Q8NGE5	Q8NH42
Q8NGE8	Q8NH42
Q8NGF4	Q8NH42
Q8NGG2	Q8NH42
Q8NGG3	Q8NH42
Q8NGG8	Q8NH42
Q8NGH5	Q8NH42
Q8NGK9	Q8NH42
Q8NGL7	Q8NH42
Q8NGQ4	Q8NH42
Q8NGR1	Q8NH42
Q8NGS5	Q8NH42
Q8NGV6	Q8NH42
Q8NGW6	Q8NH42
Q8NGY1	Q8NH42
Q8NGZ3	Q8NH42
Q8NGZ6	Q8NH42
A6NMU1	Q8NH43
O95007	Q8NH43
Q8NG81	Q8NH43
Q8NGC4	Q8NH43
Q8NGF3	Q8NH43
Q8NGG4	Q8NH43
Q8NGX8	Q8NH43
Q8NGZ3	Q8NH43
A6NF89	Q8NH48
A6NMS3	Q8NH48
A6NMU1	Q8NH48
O95007	Q8NH48
Q8N127	Q8NH48
Q8NGA8	Q8NH48
Q8NGB4	Q8NH48
Q8NGD5	Q8NH48
Q8NGE1	Q8NH48
Q8NGF9	Q8NH48
Q8NGG2	Q8NH48
Q8NGG4	Q8NH48
Q8NGH5	Q8NH48
Q8NGI0	Q8NH48
Q8NGK0	Q8NH48
Q8NGL4	Q8NH48
Q8NGQ4	Q8NH48
Q8NGV7	Q8NH48
Q8NGX8	Q8NH48
Q8NGZ3	Q8NH48
Q8NH43	Q8NH48
A4D2G3	Q8NH49
A6NF89	Q8NH49
A6NMS3	Q8NH49
O95007	Q8NH49
P0C7N1	Q8NH49
P58181	Q8NH49
Q6IFH4	Q8NH49
Q8N127	Q8NH49
Q8N148	Q8NH49
Q8NGA8	Q8NH49
Q8NGB4	Q8NH49
Q8NGC4	Q8NH49
Q8NGD2	Q8NH49
Q8NGF4	Q8NH49
Q8NGF6	Q8NH49
Q8NGF9	Q8NH49
Q8NGG2	Q8NH49
Q8NGG8	Q8NH49
Q8NGH5	Q8NH49
Q8NGJ2	Q8NH49
Q8NGN2	Q8NH49
Q8NGQ4	Q8NH49
Q8NGR1	Q8NH49
Q8NGS4	Q8NH49
Q8NGX3	Q8NH49
Q8NGX6	Q8NH49
A6NET4	Q8NH53
A6NMU1	Q8NH53
P0C7N5	Q8NH53
P58181	Q8NH53
Q15615	Q8NH53
Q6IEY1	Q8NH53
Q6IFH4	Q8NH53
Q8N127	Q8NH53
Q8NGA6	Q8NH53
Q8NGB4	Q8NH53
Q8NGB9	Q8NH53
Q8NGD2	Q8NH53
Q8NGD5	Q8NH53
Q8NGG2	Q8NH53
Q8NGH5	Q8NH53
Q8NGK9	Q8NH53
Q8NGL7	Q8NH53
Q8NGN8	Q8NH53
Q8NGQ1	Q8NH53
Q8NGQ5	Q8NH53
Q8NGX3	Q8NH53
Q8NGZ6	Q8NH53
Q8NH42	Q8NH53
A6NF89	Q8NH59
A6NMS3	Q8NH59
A6NMU1	Q8NH59
O95007	Q8NH59
Q15615	Q8NH59
Q6IFH4	Q8NH59
Q8N127	Q8NH59
Q8NG81	Q8NH59
Q8NGB4	Q8NH59
Q8NGC1	Q8NH59
Q8NGC4	Q8NH59
Q8NGD5	Q8NH59
Q8NGE3	Q8NH59
Q8NGF9	Q8NH59
Q8NGG4	Q8NH59
Q8NGH5	Q8NH59
Q8NGI0	Q8NH59
Q8NGJ2	Q8NH59
Q8NGK0	Q8NH59
Q8NGQ4	Q8NH59
Q8NGR8	Q8NH59
Q8NGX3	Q8NH59
Q8NGX8	Q8NH59
Q8NGY6	Q8NH59
Q8NGZ3	Q8NH59
Q8NH43	Q8NH59
A6NF89	Q8NH72
A6NMS3	Q8NH72
A6NMU1	Q8NH72
O95007	Q8NH72
Q6IFH4	Q8NH72
Q7Z3T1	Q8NH72
Q8N127	Q8NH72
Q8NGA8	Q8NH72
Q8NGB4	Q8NH72
Q8NGB9	Q8NH72
Q8NGC4	Q8NH72
Q8NGE3	Q8NH72
Q8NGF9	Q8NH72
Q8NGJ2	Q8NH72
Q8NGL7	Q8NH72
Q8NGQ4	Q8NH72
Q8NGR8	Q8NH72
Q8NGS4	Q8NH72
Q8NGW6	Q8NH72
Q8NGX3	Q8NH72
A4D2G3	Q8NH79
A6NF89	Q8NH79
A6NKK0	Q8NH79
A6NMS3	Q8NH79
O95007	Q8NH79
P0C7N1	Q8NH79
Q15615	Q8NH79
Q8N127	Q8NH79
Q8N148	Q8NH79
Q8NG81	Q8NH79
Q8NGA8	Q8NH79
Q8NGD4	Q8NH79
Q8NGE3	Q8NH79
Q8NGF6	Q8NH79
Q8NGF9	Q8NH79
Q8NGG4	Q8NH79
Q8NGJ2	Q8NH79
Q8NGL4	Q8NH79
Q8NGL9	Q8NH79
Q8NGP0	Q8NH79
Q8NGQ1	Q8NH79
Q8NGV7	Q8NH79
Q8NGX3	Q8NH79
Q8NGX8	Q8NH79
Q8NGY6	Q8NH79
Q8NGZ3	Q8NH79
Q8NH42	Q8NH79
Q8NH43	Q8NH79
A6NMU1	Q8NH87
O76099	Q8NH87
O95007	Q8NH87
P47881	Q8NH87
P58170	Q8NH87
Q15617	Q8NH87
Q8NGE8	Q8NH87
Q8NGF3	Q8NH87
Q8NGG4	Q8NH87
Q8NGH5	Q8NH87
Q8NGK1	Q8NH87
Q8NGS5	Q8NH87
Q8NGV7	Q8NH87
Q8NGZ3	Q8NH87
Q8NGZ5	Q8NH87
Q8NH37	Q8NH87
Q8NH49	Q8NH87
Q8NH59	Q8NH87
Q8NH72	Q8NH87
Q8NH79	Q8NH87
A6NF89	Q8NH92
A6NMS3	Q8NH92
A6NMU1	Q8NH92
O95007	Q8NH92
P47881	Q8NH92
Q15617	Q8NH92
Q8NG81	Q8NH92
Q8NGB4	Q8NH92
Q8NGC1	Q8NH92
Q8NGD5	Q8NH92
Q8NGE1	Q8NH92
Q8NGF9	Q8NH92
Q8NGG4	Q8NH92
Q8NGI0	Q8NH92
Q8NGK0	Q8NH92
Q8NGL4	Q8NH92
Q8NGV7	Q8NH92
Q8NGX3	Q8NH92
Q8NGX8	Q8NH92
Q8NGZ3	Q8NH92
Q8NH43	Q8NH92
Q8NH59	Q8NH92
Q8NH79	Q8NH92
Q8NH87	Q8NH92
A6NKK0	Q8NHB8
O76099	Q8NHB8
Q15615	Q8NHB8
Q8N148	Q8NHB8
Q8NGD4	Q8NHB8
Q8NGK9	Q8NHB8
Q8NGS3	Q8NHB8
Q8NH16	Q8NHB8
Q8NH53	Q8NHB8
A6ND48	Q8WZ94
A6NIJ9	Q8WZ94
Q8NGE1	Q8WZ94
Q8NGK1	Q8WZ94
Q8NGS0	Q8WZ94
Q8NGY6	Q8WZ94
Q8NH37	Q8WZ94
Q8NH49	Q8WZ94
Q8NH59	Q8WZ94
Q8NH72	Q8WZ94
Q8NH79	Q8WZ94
A4D2G3	Q96R09
A6NET4	Q96R09
A6NKK0	Q96R09
O95221	Q96R09
P58181	Q96R09
Q15615	Q96R09
Q6IEY1	Q96R09
Q8N148	Q96R09
Q8NG83	Q96R09
Q8NGA6	Q96R09
Q8NGD2	Q96R09
Q8NGF4	Q96R09
Q8NGG2	Q96R09
Q8NGG3	Q96R09
Q8NGG8	Q96R09
Q8NGH5	Q96R09
Q8NGI4	Q96R09
Q8NGK9	Q96R09
Q8NGQ1	Q96R09
Q8NGQ5	Q96R09
Q8NGR1	Q96R09
Q8NGV6	Q96R09
Q8NGY1	Q96R09
Q8NGZ6	Q96R09
Q8NH37	Q96R09
Q8NH42	Q96R09
A6NET4	Q96R30
A6NMU1	Q96R30
Q6IEY1	Q96R30
Q8NGH5	Q96R30
Q8NGN8	Q96R30
Q8NGQ5	Q96R30
Q8NGW6	Q96R30
Q8NGZ6	Q96R30
Q8NH42	Q96R30
A4D2G3	Q96R69
A6NET4	Q96R69
O76099	Q96R69
P0C7N1	Q96R69
P58181	Q96R69
Q6IEY1	Q96R69
Q8N148	Q96R69
Q8NG83	Q96R69
Q8NGA6	Q96R69
Q8NGC4	Q96R69
Q8NGD1	Q96R69
Q8NGD2	Q96R69
Q8NGE5	Q96R69
Q8NGE8	Q96R69
Q8NGF4	Q96R69
Q8NGG2	Q96R69
Q8NGG3	Q96R69
Q8NGG8	Q96R69
Q8NGH5	Q96R69
Q8NGK9	Q96R69
Q8NGR1	Q96R69
Q8NGV6	Q96R69
Q8NGX6	Q96R69
Q8NGY1	Q96R69
Q8NGZ6	Q96R69
Q96R09	Q96R69
Q96R30	Q96R69
A6NCV1	Q96RD1
A6NET4	Q96RD1
A6NMU1	Q96RD1
P58181	Q96RD1
Q6IEY1	Q96RD1
Q8NGA6	Q96RD1
Q8NGC4	Q96RD1
Q8NGD2	Q96RD1
Q8NGG2	Q96RD1
Q8NGH5	Q96RD1
Q8NGN8	Q96RD1
Q8NGQ5	Q96RD1
Q8NGZ6	Q96RD1
Q8NH42	Q96RD1
Q8NH53	Q96RD1
Q8NHB8	Q96RD1
Q96R09	Q96RD1
Q96R69	Q96RD1
A6NF89	Q9GZK4
A6NMS3	Q9GZK4
A6NMU1	Q9GZK4
Q8NG81	Q9GZK4
Q8NGA8	Q9GZK4
Q8NGB4	Q9GZK4
Q8NGD5	Q9GZK4
Q8NGE1	Q9GZK4
Q8NGF9	Q9GZK4
Q8NGG4	Q9GZK4
Q8NGI0	Q9GZK4
Q8NGK0	Q9GZK4
Q8NGK1	Q9GZK4
Q8NGL4	Q9GZK4
Q8NGV7	Q9GZK4
Q8NGX3	Q9GZK4
Q8NGX8	Q9GZK4
Q8NGZ3	Q9GZK4
Q8NH59	Q9GZK4
Q8NH79	Q9GZK4
Q8NH87	Q9GZK4
Q8NH92	Q9GZK4
Q6IEY1	Q9GZK7
Q8NGC9	Q9GZK7
Q8NGD2	Q9GZK7
Q8NGK1	Q9GZK7
Q8NGR1	Q9GZK7
Q8NGZ5	Q9GZK7
Q8NH42	Q9GZK7
Q8NH43	Q9GZK7
Q96R09	Q9GZK7
O76099	Q9H205
P47881	Q9H205
P58170	Q9H205
Q15617	Q9H205
Q8NGC7	Q9H205
Q8NGE8	Q9H205
Q8NGF3	Q9H205
Q8NGS5	Q9H205
Q8NGZ5	Q9H205
Q8NH37	Q9H205
Q8NH48	Q9H205
Q8NH49	Q9H205
Q8NH59	Q9H205
Q8NH72	Q9H205
Q8NH79	Q9H205
A6NMU1	Q9H210
Q8NGR8	Q9H210
A4D2G3	Q9H255
P0C7N1	Q9H255
Q8N148	Q9H255
Q8NG83	Q9H255
Q8NGD1	Q9H255
Q8NGD2	Q9H255
Q8NGD4	Q9H255
Q8NGF6	Q9H255
Q8NGG4	Q9H255
Q8NGG8	Q9H255
Q8NGI0	Q9H255
Q8NGK1	Q9H255
Q8NGN2	Q9H255
Q8NGQ1	Q9H255
Q8NGR1	Q9H255
Q8NGY1	Q9H255
Q8NGZ3	Q9H255
Q8NH42	Q9H255
Q8NH43	Q9H255
Q8NH48	Q9H255
Q8NH59	Q9H255
Q8NH92	Q9H255
Q96R09	Q9H255
Q96R30	Q9H255
A6NET4	Q9H2C5
A6NF89	Q9H2C5
A6NKK0	Q9H2C5
O95007	Q9H2C5
P58181	Q9H2C5
Q15615	Q9H2C5
Q8N148	Q9H2C5
Q8NG81	Q9H2C5
Q8NGA6	Q9H2C5
Q8NGD1	Q9H2C5
Q8NGD2	Q9H2C5
Q8NGE8	Q9H2C5
Q8NGF3	Q9H2C5
Q8NGF4	Q9H2C5
Q8NGG2	Q9H2C5
Q8NGG3	Q9H2C5
Q8NGG4	Q9H2C5
Q8NGH5	Q9H2C5
Q8NGI4	Q9H2C5
Q8NGK9	Q9H2C5
Q8NGQ1	Q9H2C5
Q8NGQ4	Q9H2C5
Q8NGV6	Q9H2C5
Q8NGX8	Q9H2C5
Q8NGY1	Q9H2C5
Q8NGZ3	Q9H2C5
Q8NGZ6	Q9H2C5
Q8NH37	Q9H2C5
Q8NH42	Q9H2C5
Q8NH48	Q9H2C5
Q8NH49	Q9H2C5
Q8NH59	Q9H2C5
Q8NH72	Q9H2C5
Q96R30	Q9H2C5
Q96R69	Q9H2C5
Q96RD1	Q9H2C5
Q9GZK4	Q9H2C5
Q9GZK7	Q9H2C5
A6NF89	Q9NZP2
A6NMS3	Q9NZP2
O95007	Q9NZP2
Q8NGA8	Q9NZP2
Q8NGD5	Q9NZP2
Q8NGE1	Q9NZP2
Q8NGE8	Q9NZP2
Q8NGF9	Q9NZP2
Q8NGG4	Q9NZP2
Q8NGS5	Q9NZP2
Q8NGV7	Q9NZP2
Q8NGX8	Q9NZP2
Q8NGY6	Q9NZP2
Q8NGZ3	Q9NZP2
Q8NH79	Q9NZP2
Q8NH92	Q9NZP2
Q9GZK4	Q9NZP2
A6NMU1	Q9Y5P0
Q6IEY1	Q9Y5P0
Q8NGD5	Q9Y5P0
Q8NGE1	Q9Y5P0
Q8NGE5	Q9Y5P0
Q8NGH5	Q9Y5P0
Q8NGQ5	Q9Y5P0
Q8NGR8	Q9Y5P0
Q8NGW6	Q9Y5P0
Q8NH03	Q9Y5P0
Q8NH37	Q9Y5P0
Q8NH42	Q9Y5P0
Q8NH49	Q9Y5P0
Q8NH79	Q9Y5P0
Q96R69	Q9Y5P0
P62820	Q9NYS0
O94804	P30291
O76036	Q00888
P49840	Q8IU85
Q15375	Q8N4C8
Q8N423	Q92956
Q8WUP2	Q93052
Q8TAS1	Q96PY6
P54578	Q9HAU5
Q15418	Q9NSY1
O75015	Q9NZC2
P05129	Q9UEW8
O94779	P55286
P11215	Q9UGN4
P35626	Q9Y5P4
Q96NX5	Q9Y5P4
P08100	P25089
O95136	P46089
P41586	P47900
P35346	P51685
Q13203	Q13449
P20701	Q8NFZ8
P08100	Q99788
O43506	Q9BZ11
Q16566	Q9UQ07
O14492	Q9Y3P9
O75832	P42773
O95235	Q6ZMV9
Q99466	Q9NYJ7
Q8NFT8	Q9UQ52
P57735	Q5HYI8
P26368	Q9Y5S9
P16333	P98174
O75962	Q96M96
P15813	Q8IUL8
P32927	Q8IUL8
Q8N145	Q8N967
O94983	Q9ULH0
Q14766	Q9ULI3
Q13043	Q13555
Q13043	Q13557
P00736	P06239
O43639	Q6ZV73
Q13177	Q8TAS1
Q13464	Q9UQB8
P42772	Q02447
Q96J02	Q9NNX6
O75716	P50613
Q15418	Q15746
P42679	Q96RR4
O95661	Q9HCE6
Q8N9W6	Q92804
P07766	P55290
Q6PIU1	Q9BSF8
O14788	P05362
P19793	Q14774
O95947	Q4KMG0
P07949	Q9H2W2
Q9UJU2	Q9UPN3
P03951	P08567
P08246	Q16602
Q9H1Y0	Q9H8T0
Q8TEY7	Q9Y6I4
P50570	P61925
Q14596	Q8WYN0
P02751	P78504
Q9NPG1	Q9UKW4
Q13427	Q9H2H8
P15374	Q14CS0
Q08722	Q5TFQ8
Q7Z7D3	Q9NZQ7
P31942	Q76FK4
P52597	Q76FK4
P31483	Q9Y3B4
P11215	Q9H6X2
O43390	P09012
P10586	Q05707
Q12849	Q15287
P15538	Q6VVX0
P49703	Q8IXI1
P62330	Q8IXI1
P40616	Q8IYK8
P60763	Q8IYK8
P60953	Q8IYK8
Q15771	Q8IYK8
Q15382	Q8WUD1
Q12849	Q96J87
P61225	Q9NX57
Q9H4E5	Q9NX57
P41146	Q99705
P61106	Q07960
P51157	Q13009
P11362	Q14116
O43182	Q15286
P40337	Q6JEL2
P31943	Q96A72
Q14183	Q9Y4C0
P04233	Q16584
Q96Q42	Q9Y2I1
P00519	Q9Y5J5
Q5JXB2	Q8IWR1
P41240	Q8TEJ3
Q00341	Q9UNW9
O15392	P58012
P13501	Q9BXN2
P08246	P81534
Q13418	Q9Y2U5
P61956	Q92997
Q16512	Q99558
P37058	Q13268
O75191	Q6ZS86
P14061	Q9BPX1
P51659	Q9BY49
Q9BUT1	Q9BY49
O60500	P08887
O15146	P35968
P00533	Q495A1
P61769	Q5VST9
Q86YR7	Q92737
Q93009	Q96S82
O60543	P46531
Q96Q42	Q9UKW4
Q9NYI0	Q9ULH1
P08246	P49767
O95319	P11940
A6NEQ0	Q13148
A6NEQ0	Q14103
P33240	Q14498
P07910	Q16560
P26368	Q6NXG1
O60506	Q9BRL6
P31943	Q9BRL6
Q13243	Q9BZB8
Q13243	Q9H0L4
O95319	Q9H361
Q9BRL6	Q9Y5S9
P10911	Q7L0Q8
O95235	Q9NY65
P09936	Q02750
P02753	Q6W4X9
O00213	P15311
P51148	P51157
O95759	Q0IIM8
P63244	Q86W42
P26378	Q96H35
Q96H35	Q9BZC1
P01574	Q9HBE4
O15357	O95271
Q8NBS9	Q9H1E5
O15020	O60229
O95819	P00519
P04899	P08134
P11308	P29317
P03999	P32239
P03999	P34972
P12111	P40200
P20138	P40200
P31997	P40200
P34925	P41240
P04201	P48039
P46094	P50391
P50391	P51685
P11308	P54760
P14921	P54760
Q07912	Q15772
P29322	Q5VT25
P25090	Q6U736
O15018	Q8TDM6
P17301	Q96RW7
P10915	Q9HBG7
O14931	Q9HCN6
P10966	Q9UIB8
Q8WTQ7	Q9Y243
O75962	Q15080
P15498	Q5TCZ1
P11362	P55082
O00194	Q9NXU5
P10301	Q8IW00
Q96DU9	Q9H361
O60566	Q16512
Q7Z6E9	Q8WY64
O14965	Q9HC98
P10747	Q29980
P62166	P84074
P04626	Q3C1V8
O43281	Q5VST9
P04216	P13500
A1IGU5	P51149
P11940	Q14966
P10911	Q6IQ22
P05981	Q9UKQ9
P07949	Q7Z2Y5
O43566	Q9NZM3
O75581	P11047
P11047	Q14114
O75093	Q13253
P09016	P40426
O43186	P78411
Q8NB66	Q9H426
Q14500	Q99712
P53671	Q07912
P62995	Q5SZQ8
P98174	Q6ZUM4
Q6ZUM4	Q7Z6J4
P14317	P36897
P28827	P55289
O00482	Q03014
P28827	Q13634
O15409	P14653
O00421	O60755
O75019	P02751
O60755	P25089
O60755	P25090
P18084	P32942
P08100	P51686
P35346	P51686
P78324	Q15223
P04201	Q7Z5H5
P40200	Q86YT9
P40200	Q8N423
Q6UWB1	Q8N423
O95429	Q96AQ7
P20701	Q96LC7
P12111	Q96S86
P12111	Q99062
P19235	Q9BWV1
P41145	Q9H1Y3
P46094	Q9H1Y3
P11215	Q9HBG7
Q8NET5	Q9NZC2
Q12860	Q9UMF0
P20701	Q9Y286
O14492	O60890
O60784	O95166
O43567	P62253
O75940	Q06187
O96017	Q06187
P62995	Q13148
O95758	Q16629
P31943	Q16629
P05455	Q86V81
Q86U06	Q86V81
P29322	Q969H4
O43567	Q969M7
P40617	Q96HU8
O00762	Q9H6Y7
Q16763	Q9H6Y7
Q6ZWJ1	Q9HD26
Q9NS23	Q9NYR9
P10114	Q9UHV5
Q12829	Q9UHV5
P27037	Q9UL54
Q15303	Q9UL54
P62834	Q9Y689
P0C7M7	Q08AH1
P0C7M7	Q08AH3
P0C7M7	Q53FZ2
P0C7M7	Q68CK6
Q08AH1	Q68CK6
Q08AH3	Q68CK6
Q53FZ2	Q68CK6
Q68CK6	Q6NUN0
Q96Q42	Q9UBK7
Q96Q42	Q9UNT1
P34130	Q15465
P07550	P32418
Q7L0Q8	Q8N4Z0
Q8IYK8	Q92737
P61106	Q9BW83
P55040	Q9HBH0
P53667	Q9Y2U5
P51157	Q9Y689
P08246	P50453
Q01974	Q8IVH8
P41182	Q5XUX0
Q92565	Q969Q5
Q92538	Q9NZQ0
Q14289	Q9UMX0
Q969Q5	Q9BQI7
A5PKW4	Q9BW83
Q12849	Q9BZB8
Q15771	Q9Y6D5
O14786	Q03014
P15151	Q99698
P10914	Q9HC29
Q8N135	Q9UHC6
P00736	Q8IUD6
P09871	Q8IUD6
O75604	Q04323
O75604	Q7Z6E9
P10911	P11233
Q71U36	Q9Y496
Q02962	Q9HCM4
P45379	Q9H6I2
P52564	Q9UK32
Q15109	Q16602
P78406	Q96J01
A1IGU5	O95755
P51151	P52565
P40616	P62873
P43034	P63092
P50148	Q12834
P10911	Q13637
O43390	Q86U06
P10114	Q8WYP3
Q13637	Q8WYP3
Q8WUD1	Q8WYP3
Q13796	Q96HC4
O75628	Q99418
Q99418	Q9NYN1
Q08170	Q9Y3B4
P35754	Q86SX6
O14983	Q8TF62
P16615	Q8TF62
O43306	P43220
Q99684	Q9P2D1
P01023	P32121
P51955	Q13554
P11277	P42345
P42345	Q9NRC6
O75832	P00533
O75592	Q9UHD9
O15020	O95631
P08172	P32241
P31391	P34998
P24821	Q5SZK8
