O00273	Q9GZV5
Q14315	Q6WCQ1
Q5T5U3	Q9BQE3
Q7L8J4	Q86X27
Q7Z6B7	Q96RU3
Q86W92	Q9GZV5
Q8N6R0	Q9Y678
Q8WX92	Q9Y580
Q9BUE6	Q9UKB1
Q9BYM8	Q9NQC7
Q9NSE2	Q9UQF2
Q9NYX4	Q9Y6Y1
O14492	P29597
O14964	Q15276
O15162	Q8WUM4
O43257	P49758
O43353	Q05513
O43390	P04637
O43505	P04350
O43592	P43003
O60239	Q8WV28
O60890	Q7Z6J0
O75390	Q96EX3
O75533	Q15233
O75643	Q96T76
O96017	Q8TDN4
P00533	Q8TC17
P01023	Q99523
P04040	Q99704
P04637	P23528
P06733	Q12778
P07197	Q14832
P07333	P13591
P09496	Q12933
P11766	Q8TF01
P13688	P14784
P16278	P39656
P17858	P27701
P20749	Q9H257
P21333	P43243
P21580	P52907
P22087	P48552
P22736	Q96MA1
P25789	Q15003
P26447	Q14764
P29350	P63208
P29350	Q9HAT8
P29374	P30279
P30556	Q8N752
P31946	Q16665
P32246	Q9NS37
P35221	P51153
P38432	Q9GZM8
P46531	Q13616
P49450	Q15021
P49642	Q99741
P52179	Q9UKX2
P62995	Q8NEM2
P63261	Q05397
P78527	Q15831
Q03112	Q9H0M0
Q05513	Q8IUQ4
Q07954	Q8IUX7
Q14974	Q92499
Q15349	Q15796
Q6PIL6	Q92542
Q86T65	Q96DZ5
Q86WI3	Q99558
Q92529	Q9UBC2
Q92581	Q9BRR3
O00470	P09493
Q96RS0	Q9H4Z2
Q99615	Q9H254
Q9BSN7	Q9H0B8
Q9H0D6	Q9UPN3
Q9UQ80	Q9Y6D6
O14595	Q05066
O14745	Q8IZE3
O14975	P51659
O14981	P21675
O15117	Q15746
O15211	P48736
O15357	O43609
O43150	P23469
O43312	P54257
O43432	O95793
O43525	Q03431
O43541	Q14511
O43896	Q9UMS4
O60282	Q13547
O60506	P16152
O60832	Q04837
O60890	Q15811
O75586	P37231
O75592	P32121
O75943	Q13564
O94989	Q8TCN5
O95544	P20941
O95622	P41594
O95714	P43243
P01570	Q9Y2P0
P02511	P56693
P04150	P48729
P04626	P52757
P06213	Q13136
P09326	Q14761
P12004	Q13761
P13010	P40939
P15336	Q16534
P17600	Q9ULP0
P18858	Q92598
P19784	P46934
P20807	P68133
P21333	Q08722
P24534	Q99543
P25024	P81274
P25788	P49458
P27448	Q96Q42
P29508	Q15758
P33176	Q9BZJ0
P33552	Q9BTX1
P46736	Q99816
P49407	Q9Y2Y9
P51610	Q96M61
P51948	Q86Z02
P52272	Q92522
P53539	Q13469
P55211	Q7Z4I7
P56524	Q99570
P61247	P63267
P61619	Q5VWQ8
P61764	Q9UPU3
P62136	Q9P286
P62263	Q16514
P62899	Q9GZX5
P63165	Q7Z2E3
P63165	Q9NQC7
P63244	Q8WUM4
P63267	Q13094
P68366	Q9NYL9
P68400	Q9UJU2
P83731	Q9UNX3
Q00403	Q9NVW2
Q02750	Q8TD08
Q05519	Q8IYH5
Q13043	Q13535
Q13185	Q6FI13
Q13424	Q969F2
Q13683	Q14515
Q14449	Q92793
Q15466	Q9H0E9
Q38SD2	Q4KMG0
Q53GS9	Q9Y5V3
Q7Z444	Q8IVF5
Q8IZL8	Q9HCK8
Q8NCD3	Q99873
O00192	Q5T750
Q8WZA2	Q9Y6Y1
Q92547	Q92560
Q92734	Q9HC62
Q969D9	Q9UGK3
O00418	Q8TF40
Q96EN9	Q9HB75
Q96IF1	Q9Y243
Q96IF1	Q9Y6K9
Q9BQ50	Q9Y3X0
Q9BUB5	Q9BV47
O00506	Q13501
O00560	P26374
O00750	O75083
Q9H2K8	Q9H4A3
Q9H3L0	Q9Y6G3
Q9H4A3	Q9Y4B6
Q9H8V3	Q9ULD4
Q9NQH7	Q9NVI1
Q9NYL9	Q9UHV9
Q9NZP6	Q9UDY6
Q9UQE7	Q9Y294
O14493	Q9BV40
O14544	Q13588
O14974	O60934
O14974	P53667
O15069	P20336
O43143	Q15185
O43175	Q7Z3U7
O43301	P28223
O43303	P35611
O43439	Q04724
O43491	Q5VTL8
O43524	Q14498
O43609	P62750
O43676	P53999
O60229	Q03001
O60341	P62136
O60602	Q13045
O75398	P17612
O75475	Q8NDI1
O76096	P19793
O94875	P78545
O95163	P38936
O95196	Q99784
O95347	Q9P016
O95996	Q9NSA3
O95999	Q13098
P01584	P61201
P01911	P01920
P01911	P20036
P02533	P14136
P02585	Q15560
P02671	P06727
P04150	P42858
P04183	Q5TB30
P04264	P14136
P04350	Q7L0J3
P04406	P24864
P04440	P79483
P05067	Q8WUI4
P05387	P28482
P05388	P06702
P05388	Q6P3W7
P06241	Q15464
P06734	P17947
P07900	Q99623
P08590	P14649
P08590	P17540
P09923	Q01970
P0C0S8	Q93077
P10124	P15153
P10145	Q15025
P10276	Q12772
P10412	P62917
P10747	Q02763
P10809	P98170
P10914	P45973
P11021	P17706
P11509	P21731
P12644	Q14192
P12883	Q9UL68
P12931	Q02153
P13164	P24864
P15172	Q03181
P15918	Q01201
P18564	P46695
P19875	P45452
P20749	P22736
P23458	P98077
P24347	Q9BRK3
P27487	P80075
P28482	Q14643
P28482	Q92785
P28702	Q13363
P28715	Q9UQE7
P29323	Q8TBB1
P29353	P78368
P30040	Q9NPQ8
P31946	Q9BQD3
P33076	Q15349
P33993	Q9Y266
P34931	Q9BUZ4
P35080	P50402
P35228	Q14185
P36578	Q15758
P38159	Q12905
P38398	Q8IZT6
P39060	Q6NZI2
P40763	Q96RU7
P42677	Q15233
P42766	Q9BQ67
P45973	P78527
P46108	Q13287
P46527	Q13562
P46821	Q93045
P48059	Q8IYI6
P49459	Q92905
P51532	Q99816
P51571	Q13630
P51813	Q14161
P51888	Q01995
P53611	Q9Y3A6
P53675	Q96AG4
P54253	Q9NRI5
P54762	Q13163
P54826	Q14195
P54920	P62136
P62837	Q14974
P62888	Q12851
P62995	Q96AE4
P63104	Q92529
P68133	Q9NSN8
P78559	Q9BQS8
Q00610	Q00987
Q04721	Q96BR1
Q04917	Q96NX5
Q07021	Q9Y5U5
A8MQ11	P54132
Q12846	Q15811
Q13191	Q9UQF2
Q13319	Q9UMD9
Q13426	Q9NQB0
Q14151	Q92636
Q14956	Q9Y6Y9
Q15004	Q9UBU7
Q15139	Q9UM54
Q15464	Q96JZ2
Q16621	Q16655
Q16665	Q96GM8
Q16720	Q9UPV7
Q3YEC7	Q99988
Q4VCS5	Q96S59
Q6PL18	Q9H8V3
Q7KZ85	Q9UBN7
Q7RTV3	Q9HBM1
Q86XK2	Q96PM5
Q8N163	Q9P0U4
O00206	P12318
O00273	Q16613
O00292	P37173
Q8NHQ1	Q9HAU5
Q8WY54	Q96D09
Q93045	Q9HC16
O00443	P16333
Q96CS3	Q9UKT8
Q9BV47	Q9NRI5
Q9H9Q2	Q9NX09
Q9UI14	Q9UKG1
Q9UL42	Q9Y328
O14490	P78536
O14654	Q9H0K1
O14818	O43818
O14828	Q92625
O15069	P20916
O15162	Q01201
O15198	Q14653
O15379	P11309
O43150	Q05209
A4D0V7	P05015
O43390	P33316
O43749	O95670
O60238	P28482
O60282	O75044
O60282	Q7Z460
O60285	Q96RR4
O75154	Q16537
O75167	O75914
O75369	P27635
O75626	P05161
O75679	Q14093
O75688	P19438
O75791	P98077
O94941	P98170
O95819	Q9Y2H0
O95931	P48995
P00441	P07910
P00533	Q9P1A6
P01106	Q12913
P01308	Q12931
P02452	Q8TF66
P02751	P08567
P03372	Q9UK39
P04083	P40121
P04637	Q9NQC3
P06400	Q13043
P06729	Q9NSI8
P06748	Q15633
P07437	Q14680
P07585	Q13347
P07686	P26447
P07900	Q58FF6
P08247	P16519
P08476	Q8IUX7
P08588	P17081
P09067	Q86UU1
P10124	P55957
P10276	P51610
P10828	P55789
P10828	Q15759
P10914	P46060
P11388	Q9Y265
P11473	P27694
P13612	P16885
P14317	P32121
P16104	Q9ULZ3
P17482	Q96GV9
P17931	Q96A00
P20963	Q07108
P22674	P51587
P25054	Q14155
P25098	Q06124
P27694	Q9P016
P27986	Q7Z569
P29083	Q92750
P29374	Q9Y676
P29475	Q9UPX8
P29597	Q8N6T7
P30307	Q53ET0
P32121	Q9ULR3
P32246	P50281
P35125	Q96HB5
P35222	Q9Y463
P35232	Q9H1K1
P35249	P50990
P38432	P38936
P38919	Q96D46
P38936	Q14980
P41134	Q9ULB1
P41240	P46940
P46531	P51692
P49757	Q13501
P50502	Q719I0
P51532	Q8IW41
P51608	Q08999
P51843	Q13642
P52943	Q96CW1
P53673	Q99726
P53680	Q9H0H5
P61088	Q15041
P61289	Q9UL45
P61604	Q13794
P62136	Q07021
P62244	Q12789
P62306	Q15004
P62310	P84103
P63151	Q15118
P63165	Q99683
P78545	Q15052
P84157	Q01453
P98161	Q9NSA3
Q00325	Q01813
Q00536	Q8NEB9
Q00536	Q9UQ35
Q00610	Q9UBK9
Q08499	Q9Y561
A6ZKI3	P09382
Q13002	Q14289
Q13163	Q8WV28
Q13177	Q9C0H9
Q13315	Q5UIP0
Q13347	Q96G21
Q13501	Q9HAV5
Q13523	Q9UKV3
Q14315	Q9NZQ3
Q14686	Q15759
Q15369	Q8IWV7
Q15797	Q9P1Z2
Q16513	Q9UQC2
Q5XPI4	Q9H0R3
Q6P597	Q9H4L5
Q7Z2D5	Q9H2J7
Q7Z4V5	Q96QK1
Q7Z7G1	Q96B97
Q86W92	Q9Y2K2
Q8N423	Q92619
O00255	Q92831
O00273	O75643
Q92569	Q9UQ80
Q93009	Q99460
O00410	Q13443
O00422	Q96EP1
O00459	O95147
Q96CW5	Q9UK53
Q96G74	Q9Y6Q6
Q99081	Q9NR56
Q99832	Q9Y285
Q9BR01	Q9Y2H2
Q9H1R3	Q9H857
Q9H3Q1	Q9UPA5
Q9NP62	Q9UHL9
Q9NZV8	Q9Y371
O00763	P48163
O14558	P04637
O14595	P82094
O14965	P51946
O14974	P53355
O14980	Q05397
O15105	Q16630
O15294	Q9NR56
O15303	Q96EF0
O43236	Q02246
O43318	Q99704
O43353	P10809
O43586	P78352
O60268	P09471
O60716	Q9HCS4
O60907	P13056
O75167	Q8IZD9
O75167	Q9H8V3
O75293	P13051
O75293	P68400
O75578	Q15027
O75582	P30305
O75909	Q03111
O94782	Q9BXS6
O94907	Q96HB5
O95613	Q9H254
P00533	Q16674
P01106	Q9Y2Y9
P01374	Q9Y3M8
P02792	P29353
P03372	P43268
P04075	P30050
P04234	Q93091
P04637	Q92837
P05015	Q96KN7
P05106	Q13905
P05231	P32927
P05546	P08709
P05556	P63000
P06454	P33993
P06454	Q53T94
P07101	P50549
P07948	Q9UNN5
P07951	Q14195
P08133	P16333
P08779	Q14164
P09012	Q68DV7
P09211	Q9Y6W6
P09619	P52799
P10809	Q9NVI1
P11137	Q12879
P11509	Q9NR48
P11802	Q92966
P12757	Q8TEW8
P12956	P14598
P13639	Q02833
P0DPH7	P15056
P0DPH8	P15056
P15169	Q9GZK3
P19838	Q9NV56
P20290	Q02447
P22307	P48995
P22314	P68400
P22736	P57059
P23396	P55212
P23396	Q9UN86
P24588	P29475
P24723	Q96HC4
P24941	Q8NHY2
P27348	Q9BYG4
P27448	Q14C86
P27694	Q96SD1
P30530	P55083
P30622	P40763
P30876	Q15691
P31946	P60983
P32927	Q9NWQ8
P35251	Q9UKV3
P35462	P48023
P35499	P46939
P41970	Q15583
P48552	P57682
P48556	Q9BV68
P49418	Q9UJ04
P49459	Q9UM63
P53990	Q15038
P55211	Q9Y2U5
P67775	Q12982
P78371	Q9Y295
P84098	P98177
Q00610	Q9NYF8
Q05066	Q8N6I1
Q14116	Q9HC29
Q16778	Q9NS23
Q59EK9	Q9Y6K8
O00170	P11309
Q8IZD9	Q9BY71
O00443	P06241
Q96QZ7	Q9P2M1
Q96S44	Q9ULJ6
Q99569	Q9NQB0
Q99801	Q9Y2B4
Q9BV40	Q9P253
O00750	Q9H5I1
Q9NYF5	Q9Y485
Q9UKB1	Q9UPN7
O14733	Q07817
O14795	Q04917
O14907	Q9Y2T1
O43251	Q96RK0
O43318	Q96RR4
O43439	O75164
O60477	Q93045
O75928	Q13309
O94856	P19086
O94929	P24844
O95793	P09038
O95813	Q9BT56
P01106	P30086
P02452	Q14790
P04233	Q10589
P04626	Q00653
P05015	P52961
P05023	Q9NXW2
P05386	P47897
P08238	P62306
P08473	Q99933
P08571	Q9Y5Q3
P11166	Q9UI36
P11171	Q99613
P12268	P13645
P13612	P41240
P14317	P31946
P15036	Q13485
P17542	Q13118
P17844	Q15583
P18887	Q96KB5
P19438	Q9ULH1
P19544	P48730
P19838	P27487
P21757	Q13651
P25208	Q8N9B5
P31150	Q9BVA1
P31260	P43628
P33151	Q9NQS3
P35232	Q9UQM7
P35659	P51965
P37275	P55083
P43699	Q2M1K9
P45983	Q9H596
P48751	Q03431
P50914	Q9UL15
P51659	Q8NFD5
P51784	P62495
P51948	Q9H7Z6
P52333	Q6J9G0
P52732	Q9NVX0
P53007	P62269
P54753	P62834
P55081	Q86X27
P56282	Q9BVW5
P60484	P61244
P61224	Q13895
P61764	Q07954
P62701	Q9H6T3
P62993	Q16829
P62995	Q9Y2K2
P63208	Q5T4S7
P67870	Q9H7Z6
P82914	Q9Y230
P98164	Q13705
Q00526	Q13885
Q01064	Q07343
Q05066	Q9UM13
Q05397	Q9Y6V0
Q06609	Q15018
Q07955	Q9H211
Q08AM6	Q13424
Q12772	Q14209
Q12772	Q9ULV5
Q13098	Q7Z4W1
Q13233	Q8IY22
Q13561	Q9Y316
Q13576	Q53QZ3
Q13642	Q9Y618
Q13765	Q99836
Q13772	Q16665
Q14257	Q92636
Q15047	Q9UBW7
Q15459	Q9NT62
Q16643	Q9UMW8
Q16665	Q6ZU15
Q6PCD5	Q9NPD8
Q8IZT6	Q92698
O00231	P19838
Q8TDB6	Q9UNE7
Q8WY54	Q9UNH7
Q92643	Q9NTJ5
Q92945	Q9NYJ8
Q92974	Q96NE9
Q96A56	Q99856
O00329	Q13129
O00339	Q8N474
O00459	Q02779
Q96FW1	Q9Y561
Q96GP6	Q9P1A6
Q96JB5	Q9ULX6
Q96L73	Q99684
Q9BRK3	Q9UBX5
Q9GZM8	Q9UM73
O00512	P98161
O00571	O76021
Q9H8S9	Q9NPE3
Q9HBH9	Q9NRA8
Q9HCK8	Q9Y4W2
Q9Y3X0	Q9Y5Y9
O14492	O43609
O14649	Q96NE9
O15034	O60229
O15105	P49790
O15197	Q9UM73
O15264	Q9BZL6
O15511	Q13153
O15516	Q13352
O15530	Q15628
O43300	Q14832
O43353	Q9Y385
O43463	P48552
O43593	O60921
O43896	Q92625
O60229	P07437
O60234	Q07108
O60359	P61764
O60674	P10412
O75461	P08047
O75478	Q9Y2Y9
O75525	P03372
O75832	Q8N488
O75914	Q9BRR3
O75962	Q8TF05
O95297	P08069
O95373	Q13200
O95502	Q05193
O95551	Q04864
O95813	P56856
O95967	Q9Y693
O96019	P15172
O96028	Q9UBK9
P00441	P01106
P00533	Q7Z6J0
P01100	Q0VDD7
P01730	P16619
P02649	P43004
P02730	P09769
P03372	Q13224
P04049	Q9BXA6
P04150	Q13158
P04271	P06241
P04280	Q14533
P04626	Q5TCQ9
P04843	P62249
P05015	Q13477
P05412	P09912
P06454	Q9Y294
P06756	P24821
P06756	Q14511
P07196	Q14790
P07550	Q15654
P07814	P35251
P07948	Q13418
P07951	Q16236
P08473	P43320
P08621	Q14739
P09651	Q13490
P09769	P35221
P10398	P49356
P10398	Q9UEW8
P11274	P51946
P11940	Q13042
P13051	P42771
P13164	P48551
P13498	P55899
P15036	Q00839
P15918	P42224
P16333	Q9BRG2
P17858	P49327
P17931	P49716
P18858	Q99618
P19532	Q99583
P20273	Q14155
P20749	P55789
P20941	Q07002
P21127	P78545
P21506	P23760
P21860	Q5VZ18
P22307	P60484
P22607	Q14451
P23467	Q9NP31
P27348	Q16512
P29466	P51159
P29508	Q9H1R3
P29590	Q14209
P35222	Q15654
P35346	Q8N130
P41134	P48995
P42704	Q99417
P43699	P52630
P48539	P50993
P49841	Q13562
P49841	Q5SW79
P51692	P55347
P52298	P63165
P52333	Q9UER7
P54132	Q9H0H5
P61962	Q12933
P61981	Q9UPX8
P62266	Q5T653
P68371	Q9NYL9
P78356	Q02156
Q00537	Q6Y7W6
Q01082	Q92963
Q04917	Q9UL15
Q08050	Q9NXR1
Q09472	Q9P287
Q0VGE8	Q9NRX1
Q13393	Q8WYL5
Q13535	Q9NPI1
Q13561	Q8N4L8
Q14116	Q9Y2G2
Q14677	Q2Y0W8
Q6UB99	Q9NP62
Q86W92	Q8NHQ8
Q8IV13	Q9NQ94
Q8IVF5	Q96RT6
O00206	P62993
Q96C24	Q9Y345
O00444	P04150
Q96F46	Q96RJ3
Q9BS16	Q9H900
Q9HAS3	Q9P2N4
Q9NQ94	Q9NS67
O14498	Q06828
O14576	O95741
O14746	Q9P0K1
O14908	P32121
O15160	O15514
O15162	P41240
O15287	Q8IYI6
O43609	Q01484
O60674	Q14118
O60716	P05412
O60825	Q12809
O60934	P26367
O75175	P52565
O75346	Q92530
O75628	Q86W92
O75688	Q01105
O94761	Q96B01
P04150	Q9BPZ7
P05549	Q15555
P08254	P46092
P10144	P31944
P10275	P46109
P11021	P14317
P11940	P55265
P17858	P54136
P17931	Q99961
P23527	P35813
P25963	Q9BWT7
P0DP23	P27635
P0DP24	P27635
P0DP25	P27635
P30304	Q9NRI5
P31949	Q9Y4K1
P37023	P57105
P40855	P42772
P42229	Q14764
P49863	P53779
P51787	Q8TD23
P51946	Q08050
P51957	Q96PY6
P52907	Q5VYK3
P52907	Q9BWT7
P55160	Q13094
P61981	Q9H4G0
P62280	Q8IX01
P62760	Q9UQ16
P68366	Q08499
Q00987	Q86T82
Q02779	Q9Y5Y9
Q07021	Q8IWA4
Q07820	Q9NQC3
Q12906	Q8WXX5
Q13094	Q99759
Q13257	Q9BVA1
Q13435	Q8IUE6
Q14185	Q92974
Q14213	Q9BQ50
Q7LG56	Q8IW41
O00160	Q92835
O00160	Q9GZY6
Q8N3F8	Q9UQC2
Q92966	Q9Y605
O00750	O75167
Q9UKW4	Q9Y4H2
O15145	P14317
O15160	Q96EY1
O43819	Q9UBK9
O60229	Q8N4L8
O60284	Q02246
O60563	O75807
O75112	Q13224
O75446	Q12824
O75525	P38646
O75874	P11021
O75962	Q9GZN7
O94888	Q5QP82
O95229	Q9BTT0
O95665	Q9BYJ1
O95970	Q92823
P01100	Q9NX40
P01308	Q66K89
P01574	Q9UKB1
P06454	Q15796
P06493	Q9BXL8
P0DMV8	Q9BXF6
P0DMV9	Q9BXF6
P08253	Q9HCU0
P08581	Q6PKX4
P09972	P78357
P10636	Q8IVT5
P12236	P26640
P12268	Q15047
P14174	P31153
P14778	P17947
P17947	Q9BX67
P20963	P50453
P24394	Q9UKJ1
P25205	Q9H900
P25786	P62837
P26010	P53708
P30260	Q92905
P31943	Q13310
P31943	Q15185
P37840	Q7L1I2
P41218	Q9BV40
P46439	Q15884
P49005	P56282
P49411	Q9Y580
P50613	P55060
P50750	Q16254
P51582	Q9UDY6
P51608	Q13351
P51809	Q9P253
P51948	Q92731
P51948	Q99741
P53350	Q7Z2E3
P53355	Q6ZNE5
P53618	Q9UPN6
P53779	P63027
P53805	P62937
P54259	Q96AQ6
P56279	Q6ZVD8
P56524	Q9H4B4
P60228	Q9UQ88
P62140	Q9UBI6
P62851	Q16851
P78406	Q9UER7
Q04206	Q07912
Q04695	Q6PKX4
Q07864	Q8TEX9
Q12792	Q9H3N1
Q13469	Q9UER7
Q13636	Q9BQJ4
Q13761	Q14511
Q13796	Q14008
Q14201	Q96RK0
Q14683	Q14974
Q15038	Q9H0L4
Q15131	Q15572
Q15154	Q99814
Q15645	Q96EY1
Q15746	Q9NQX4
Q15811	Q9UPN3
A9QM74	Q04206
O00159	P14649
Q8IZD4	Q9UKV8
O00221	P30291
Q8TBC4	Q9NXG2
Q8TC59	Q9UHW9
Q8WUM0	Q96L91
Q9H211	Q9UIF7
Q9H7L9	Q9Y6J0
Q9NSE4	Q9UGM6
Q9UPN3	Q9Y316
O14901	P53004
O14920	P05231
O14936	P12931
O14977	O60353
O15020	P05067
O15371	Q92900
O15446	P31946
O15455	Q13045
O15524	P08047
O15530	P30153
O15534	P37840
O43294	Q06830
O43719	Q9BWJ5
O60229	P54253
O60282	Q86VB7
O60299	Q9H2X9
O60307	P62136
O60504	P07203
O60921	Q86YC2
O75469	P27540
O75528	P55854
O75643	P20226
O75914	Q86UR1
O94763	O95816
O95197	Q9NY72
O95295	Q8NFP9
O95793	Q15366
O96018	Q9UQF2
P01893	P30511
P01903	P07948
P05067	Q08345
P05106	P55196
P05114	P62847
P05452	P24592
P05783	Q15831
P06396	Q08117
P06733	Q9BX69
P07384	Q07020
P07498	Q96GD4
P07947	P22607
P08047	P30281
P08779	P62701
P10244	P41235
P10451	Q9H0L4
P10599	P52564
P10809	P42684
P10809	Q9UIA9
P11388	P42574
P11498	P62280
P12268	P13727
P12931	P20339
P13645	Q96BD8
P13807	Q13418
P14136	Q01538
P15056	P46934
P17676	P19320
P17948	Q99952
P18085	Q7Z7G1
P19793	Q99742
P20701	Q13651
P21980	P42224
P23921	P33981
P25208	P54278
P25942	P50591
P27708	Q92785
P28347	P49137
P28562	Q9NZC7
P29374	Q9NVW2
P29590	Q05513
P29597	P38398
P30622	Q09161
P31146	P33241
P35462	Q03167
P38936	P67809
P40937	P51955
P42677	Q8TEL6
P42684	Q13129
P43146	P60484
P46459	Q92686
P46937	P47900
P48052	Q9UI42
P49116	Q33E94
P49407	P49593
P49407	Q99966
P49848	Q8IWI9
P51665	Q9BT78
P52272	Q9Y2K7
P52292	Q13363
P53778	Q9Y2U5
P54652	Q9UM54
P55081	Q9P0V3
P55199	Q96KB5
P60880	Q99584
P61019	Q92905
P0DP23	P62847
P0DP24	P62847
P0DP25	P62847
P62854	Q13233
P62987	Q96RN5
Q05639	Q14004
Q09472	Q9HD15
Q12972	Q5VU43
Q13283	Q9UPY3
Q14738	Q8NHQ1
Q15661	Q9NQ76
Q7L0J3	Q9Y6A2
O00267	P30291
O00273	Q32P44
O00299	O75362
Q96F07	Q9BWQ8
O00505	Q9BYH8
Q9UJA3	Q9Y5N6
Q9Y4A5	Q9Y572
O14939	P53667
O15198	Q9UJU2
O43819	Q9UBC5
O60244	P53041
O60282	Q9UL68
O60667	P32248
O75143	Q8TCU6
O75475	Q16181
O75821	Q04206
O94906	P62070
O96018	P29350
P00533	Q5SQS7
P01106	Q9Y6X2
P04150	P33176
P04264	Q9GZM6
P05141	P26639
P05549	Q9NSC2
P06493	P41235
P06702	P61981
P06702	Q99959
P06733	P57059
P07197	Q8N3C0
P08047	Q14194
P08047	Q92585
P0DMV8	P12004
P0DMV9	P12004
P0CG48	P41226
P11388	P19419
P11498	Q96BD8
P11926	P27348
P13164	Q9UMW8
P13727	Q8IXJ9
P14649	P62879
P17252	P19525
P23396	P40227
P23515	Q9Y2J0
P25089	Q13239
P26599	P37198
P26998	P32745
P27348	Q9H8S9
P30153	Q8N2W9
P30304	P35568
P42702	Q99062
P43405	P52630
P49795	Q13641
P51787	Q96RU3
P51955	Q15349
P53350	Q96CW5
P54259	Q92558
P55008	Q8NHJ6
P61160	Q13492
P62244	Q13642
P68400	Q96TC7
P82094	Q15185
Q05048	Q6UWZ7
Q07343	Q8IWZ3
Q07817	Q96KB5
Q13107	Q92966
Q13233	Q13501
Q13526	Q66K89
Q13887	Q9UNL4
Q14643	Q9BXH1
Q15013	Q92731
Q15303	Q8N2Q7
Q16342	Q99719
Q16611	Q9UER7
Q6IB77	Q92911
O00161	Q8NER1
Q92585	Q96PN7
O00410	P02786
Q96GX9	Q9NYJ8
Q99784	Q9H0Q3
O14757	Q13415
O15169	Q92793
O43304	P23515
O43318	Q9H173
O43555	Q13477
O43765	P23467
O43809	P49757
O60762	Q9BUE6
O75807	Q15532
O94761	Q96PN7
O96017	P18846
P01137	Q6UXB4
P04637	Q9BPZ7
P09525	Q9UNQ0
P10412	Q13077
P10827	P50549
P11498	Q06830
P12544	Q96PU8
P12980	Q09472
P14317	Q2Y0W8
P14625	Q58FF6
P15173	P55064
P15924	Q07157
P16220	P21817
P16519	Q9UIV8
P17252	Q93009
P17947	Q9H2X3
P31150	Q6UXB0
P35268	Q9H3K6
P36873	P41091
P38936	Q9UNQ0
P51813	Q14449
P52292	Q05048
P53611	Q02750
P55210	Q16576
P55210	Q9NQS7
P56817	Q07866
P61619	P78356
P62280	Q06830
P63165	Q99675
P63244	Q12834
Q00537	Q92538
Q03252	Q8NCD3
Q13087	Q9Y2H0
Q13118	Q15459
Q13185	Q99525
Q13239	Q14116
Q13257	Q92793
Q13485	Q9NXG2
Q13522	Q8NFZ8
Q13561	Q9H254
Q13901	Q14191
Q14653	Q9NP62
Q14847	Q5TAQ9
Q15599	Q8IZE3
Q15678	Q9NQB0
Q15797	Q8WZ42
Q16270	Q6NZI2
Q86U70	Q9Y5B9
O00299	Q9BZL6
Q8TF61	Q9Y2D1
O00459	Q01484
Q96HU8	Q9Y6N8
Q9BQS8	Q9BXM7
Q9BXM0	Q9UQ26
Q9BXW4	Q9HA38
O00571	Q14257
Q9NWN3	Q9Y3I1
O14512	P16871
O14976	Q15652
O14981	O60869
O15198	P46937
O15294	Q16576
O43157	Q15464
O43164	Q6ZNA4
O43482	O75914
O43491	Q13523
O43592	Q9NXW2
O43639	Q99873
O43665	Q9NPQ8
O43791	P23284
O43819	Q99615
O60216	Q96S59
O60934	Q8TBC4
O75044	Q6WCQ1
O75081	Q15759
O75143	P30622
O75319	P09525
O75533	Q9Y657
O95049	Q14160
O95990	P04156
O96020	Q13616
P00492	Q9H0Y0
P01106	Q8WVJ9
P01567	Q8TCE9
P02585	P04075
P02730	Q01362
P02787	Q12866
P04440	Q6P9H5
P04626	P25942
P04626	Q96EY1
P04637	P37173
P05015	Q9BQ50
P05230	Q9UQ03
P05771	P18545
P06734	Q08881
P08047	P35638
P08069	P49840
P10275	Q9NRY4
P10415	P14317
P10599	Q96KB5
P12956	Q14526
P12980	P52926
P13224	P62258
P14317	P22061
P16104	Q10570
P17812	Q86W92
P18124	P61978
P18124	Q13347
P20290	P42677
P20749	Q16520
P21810	Q15628
P23468	P60201
P23515	Q16620
P24592	Q15011
P25685	P27824
P25791	Q15648
P27708	Q6PI26
P28065	Q6UB99
P28715	Q9Y253
P29350	Q96LA6
P30101	P43630
P31350	Q96S44
P33240	Q9BX63
P33778	P62424
P34981	P49619
P34981	Q9Y6C5
P35070	Q92569
P35080	Q96MC5
P35219	P62942
P35244	Q99661
P37840	Q14894
P41252	Q9UBT2
P41743	Q14207
P42081	Q53QZ3
P42768	Q86WN1
P43351	P55210
P43351	Q14566
P49918	Q14527
P50402	P55212
P50549	Q05469
P50991	Q9NY61
P51955	Q9UH17
P53350	Q00526
P53350	Q86Z02
P53779	Q9UQ35
P55957	Q92769
P60510	Q8IX90
P60953	Q01970
P60953	Q8IWW6
P61088	Q9UK53
P61201	Q13485
P61201	Q86UP2
P61421	Q13200
P61812	P63104
P61981	Q8N1W1
P62140	Q92922
P62258	Q6ZRS2
P62508	Q9Y4A5
P62834	Q9Y3L5
P63010	Q9UJX3
P63208	Q15059
P78406	Q8N3U4
P78536	Q9ULV5
P84098	Q14152
P98170	Q9UKI8
Q01518	Q13233
Q03169	Q8WUF5
Q05682	Q14767
Q12778	Q8IW19
Q12840	Q9NZI2
Q13153	Q13464
Q13153	Q2M1Z3
Q13233	Q5T653
Q13287	Q9H2X6
Q13322	Q9Y3C5
Q13418	Q9UKA4
Q13571	Q9UKQ2
Q13588	Q9NZM3
Q13643	Q13976
Q14008	Q8N4C8
Q14191	Q9NRG4
Q14289	Q9UKJ0
