Q9HD67	Q9ULJ8
Q8WYP5	Q9NYY3
P81877	Q8TEU7
Q9BY41	Q9Y618
P53803	Q86V81
Q15526	Q8NI60
Q13257	Q8TEW0
Q12830	Q9NQ94
P31943	P78346
Q15542	Q68CP9
P22415	Q5VV67
Q7L2H7	Q8WV19
Q06587	Q9Y4L1
Q13257	Q9NQS7
Q92748	Q9Y3D3
P18077	Q92748
O14490	Q96B23
O60264	Q9UH17
O75093	O95025
O00144	P56704
Q15070	Q9UQ90
O60732	Q8N0W7
Q12873	Q8WYB5
Q14240	Q9NR30
O60645	P55735
P16112	Q9Y5J3
P32320	Q16831
O14905	O60353
Q08289	Q7L0J3
P22459	Q9Y6J6
P32243	Q14190
Q02817	Q07654
O43918	P01374
Q7Z7E8	Q9Y2U9
O15217	P24462
P62917	Q15388
Q12830	Q9UPX8
O94782	P60604
O43663	Q9H4L7
O75093	P42331
O95470	P05023
Q16134	Q8N4Q1
O95059	Q9BZB8
Q6UXH1	Q96HD1
Q49MG5	Q9NPA3
O75093	Q8N3L3
O95391	P23921
O60216	Q92730
Q01780	Q9H814
Q6EMK4	Q9NPA3
O75094	Q9NPA3
O94827	P16473
P50452	Q8TET4
Q8WVC0	Q92922
P36969	P61313
P63272	Q15637
Q13519	Q7RTS3
Q15431	Q8WV22
Q8WV22	Q92771
P55259	Q13361
P35321	P35325
P08779	Q01954
Q15041	Q6QNY0
Q15818	Q9P121
O76015	P13645
O15379	Q15393
P11532	Q9Y4G6
P07360	Q99853
Q86TH1	Q9NY99
P41567	Q9UBQ5
Q9H252	Q9H2R5
O15245	Q96S37
Q9NRL2	Q9UH17
O75486	Q9BYW2
P36383	Q5T442
Q13330	Q99733
Q6NXT2	Q96KQ7
Q9H2S6	Q9P2T1
P43351	Q99741
O95985	Q9Y6D9
P24903	Q9NR63
P52756	Q9GZX9
Q86VW1	Q96KN2
P52435	Q9Y2X0
O75526	P51689
Q15691	Q96L34
P35228	Q02153
O60271	P21754
Q15021	Q99750
O43424	Q99884
P23352	Q8N693
O15550	P23352
P23352	P61758
Q8IYB3	Q9ULX6
Q8IY18	Q9NRV9
P24390	Q9H1B5
Q8IYB3	Q9GZV5
P04233	Q8TF61
P51948	Q96AY2
P14867	P16220
O14727	Q9NX02
P13196	Q08050
Q92530	Q9Y3F4
Q13099	Q9UI46
P08887	Q9UQC2
Q13618	Q8WVM7
Q13618	Q15003
O95149	Q13618
P51687	Q6P2E9
Q4LDG9	Q8TE73
O94827	Q8TE73
P11137	P27816
O60869	Q96T23
O00409	Q9H6U6
P13994	Q12948
P62995	Q9Y2X3
P14625	Q12809
P19525	P55010
P82279	Q99959
O15457	P54652
P61619	Q14703
O14974	P62942
P26368	Q14011
A9YTQ3	P62191
Q9NR30	Q9Y5L0
Q8TAT6	Q9Y5L0
P17987	P36508
Q99848	Q9UNX4
P45985	Q7Z6J0
P45985	P60763
O94901	Q7L1T6
Q13042	Q86TI0
Q13439	Q8TBA6
P23497	Q92769
O60447	Q8N4N8
O43426	P21579
O95602	Q8IUF8
O00139	Q8TDX7
P62070	Q7LDG7
O60729	Q14997
P49418	P53675
P08243	P14868
P08243	Q14296
P08243	Q05707
P47813	Q9NR50
P31948	Q9UQM7
Q9UK41	Q9Y5W8
O95365	Q9NXR8
Q14683	Q9BW19
O95025	Q9HB63
P07202	Q9HBY0
P40938	Q9BVW5
Q13823	Q14966
P08620	Q13480
Q00325	Q13427
P20674	Q00325
Q9UIF9	Q9Y5B9
P51825	Q8TEY7
O95707	Q9NQT4
O95453	P49459
P23945	P62873
P55197	Q13127
P62333	Q13342
O60729	Q99996
Q12873	Q6STE5
P22492	Q9NTI5
O75175	Q96MU7
P62491	Q8WYL5
P05181	P09211
Q8IY18	Q9Y2W2
O60353	O96014
Q05048	Q12986
O95149	Q9UI26
Q04609	Q14832
P37059	P49888
Q7Z6Z7	Q9BVP2
P11597	Q9H0A0
P09471	Q8NE09
P05060	P16220
Q03721	Q9UQ05
Q7L0Q8	Q9P107
Q9UKL0	Q9Y294
Q9UKA1	Q9Y266
Q14980	Q9Y266
P50120	Q08378
Q08495	Q9UKN7
Q9BXF6	Q9Y5N6
P62333	Q06323
Q7L622	Q92575
Q86VQ0	Q96KN7
O14893	Q05519
O14893	O75400
P49366	P51116
O60841	P49366
Q99459	Q9BZI7
O14639	O60462
O43684	Q9BXF3
O00541	Q9H3R5
O95782	Q9UJY5
O00562	Q9UH03
Q15058	Q9UH03
Q02224	Q9UH03
Q9NQY0	Q9UH03
P28300	P35625
Q9GZM8	Q9UH99
P30536	Q01826
P10323	Q9BW19
P02008	Q7RTV0
Q15049	Q6WCQ1
P02008	Q86U06
Q86U06	Q9NR30
O00444	Q8N4C6
Q96CW1	Q9UEU0
P10645	P50553
P17980	Q9UL46
Q92466	Q9H307
Q99996	Q9Y2I6
Q96EZ8	Q9Y2I6
Q15427	Q9H6Q3
O43829	Q9H2P0
P78406	Q99661
Q9H4B7	Q9UL03
P07355	P68400
Q9BST9	Q9H1R3
O00567	Q96CJ1
Q15691	Q6ZTA4
Q15691	Q86XW9
O95925	Q8IUB2
Q96RU8	Q9UJG1
P33897	Q9P0Z9
P51813	Q9NSY1
Q16576	Q8WVM7
O95258	Q9Y4U1
O95347	Q96BT3
Q99578	Q9NPB6
O15169	O43318
O43303	Q9HAV4
O43298	O75150
O95402	Q9H2Y7
O75822	P28070
O43482	Q1MSJ5
O43482	Q7L7X3
P52895	Q16698
P05937	P36405
P31645	P62714
P52294	Q15653
O95149	P08621
P18074	Q15648
P18074	Q08945
Q9GZV3	Q9P2U7
P02489	Q9H0K4
O94827	Q9H0K4
Q71SY5	Q9H6I2
O43615	Q16891
O43823	Q5FBB7
O95707	Q9H9L3
P06744	P35575
O75449	Q99426
O75886	Q9BTV5
O60664	Q9Y2I7
P55344	Q9UI15
P13637	P57059
P24390	P61204
P14415	P20916
O43663	P50548
A4D1E9	O15016
P31948	Q04837
P23471	Q05925
P02008	P49848
P24385	P25787
O75072	Q96MS0
