P57723	Q9Y3Q8
P60880	Q9NXF8
P60953	Q15080
P61764	Q3SXP7
P61964	Q13200
P62140	Q13315
P62258	Q13163
P62333	Q05639
P62701	Q04864
P62847	Q9Y230
P62873	Q16643
P62913	Q92831
P62942	Q03167
P62995	Q9UDY2
P63104	Q86Y07
P63208	P84022
P63220	Q12791
P63261	Q9Y2U5
P78352	P83369
P78352	Q9UJS0
P80192	Q9Y6R4
P84103	Q9UQ35
P98198	Q99543
Q00534	Q9P287
Q00610	Q9NR30
Q00839	Q13490
Q00839	Q8N668
Q01518	Q9Y281
Q01995	Q93062
Q03167	Q13347
Q04206	Q8WUI4
Q05513	Q92843
Q05586	Q14BN4
Q05586	Q96M96
Q06124	Q06418
Q06187	Q9Y4G6
Q07889	Q12979
Q07889	Q6PIZ9
Q12791	Q8N130
Q12791	Q9NZJ9
Q12802	Q9UK53
Q12873	Q16665
Q12888	Q9H9A7
Q12959	Q9ULH4
Q12982	Q86WG3
Q13077	Q9HB75
Q13114	Q8TEL6
Q13216	Q58WW2
Q13224	Q86VQ0
Q13227	Q86T24
Q13263	Q15059
Q13315	Q9BX63
Q13325	Q92985
Q13362	Q9NRL3
Q13387	Q8IZD9
Q13402	Q495M9
Q13428	Q9BQA1
Q13485	Q9BZ29
Q13523	Q96SB4
Q13608	Q15796
P0DPH7	Q93008
P0DPH8	Q93008
Q13838	Q96B26
Q14BN4	Q9Y6W5
Q15027	Q9Y2Z0
Q15306	Q9NVQ4
Q15326	Q92793
Q15466	Q92993
Q15466	Q99743
Q15596	Q9H0E9
Q15645	Q5T7M9
Q15654	Q9Y618
Q15759	Q99759
Q15942	Q9NP98
Q16537	Q969G9
Q16584	Q9Y6R4
Q16763	Q53EZ4
Q16799	Q9BZQ4
Q53ET0	Q9H0B6
Q53ET0	Q9H4L5
Q53GL0	Q96B36
Q5K651	Q6GPH4
Q6Q0C0	Q9UDY4
Q6ZTQ3	Q8WWW0
Q6ZVK8	Q9H8W4
Q7Z465	Q86WG3
Q86VW2	Q8NE79
Q86X27	Q9H0B6
Q8IVW6	Q96RE7
O00159	P49327
Q8IZT6	Q9NPD8
Q8NFZ4	Q9Y566
O00255	Q9Y618
Q8WUD6	Q9UQE7
Q8WVZ9	Q9H492
Q8WXW3	Q9H992
Q92785	Q96MM3
Q92851	Q93038
Q93038	Q9HAV5
Q96BD5	Q96DB2
O00482	Q92793
Q96FC7	Q9ULI2
Q96JB6	Q9UHF1
Q96JH7	Q9BYD9
Q96MM3	Q96RE7
Q96NE9	Q9UQ35
Q96RE7	Q9H9S0
Q99801	Q9BYJ1
Q99819	Q9UM19
Q9BR01	Q9Y2J0
Q9BV40	Q9NSI8
Q9BVC4	Q9HB90
Q9BXJ9	Q9NQB0
Q9BY84	Q9HBH9
Q9C0E4	Q9NRD5
O00571	Q9Y265
O00631	P11217
Q9H0B6	Q9P0K1
Q9H0R8	Q9ULI2
Q9H211	Q9NYZ3
Q9HAV0	Q9UBH6
Q9NZQ3	Q9Y2W1
Q9P0U4	Q9UBU9
Q9UKL0	Q9UM07
Q9UKW4	Q9UQC2
Q9UPQ4	Q9Y483
Q9UQC2	Q9Y4K4
Q9Y266	Q9Y2U5
Q9Y4B4	Q9Y692
O14492	P56945
O14594	P60880
O14625	P20226
O14641	Q9ULK5
O14733	Q16659
O14757	O15360
O14757	Q9NQB0
O14777	O75792
O14787	Q14576
O14879	Q13287
O14920	P50991
O14920	Q9UKB1
O14965	P04183
O14965	Q92922
O14986	Q04759
O15027	P41252
O15123	P02462
O15145	Q13224
O15265	P49848
O15350	P10914
O15393	P20711
O15530	Q13163
O15533	P01732
O43424	Q9H9B4
O43505	P21579
O43678	O95167
O43914	P02655
O60248	P47775
O60271	P41279
O60566	Q92698
O60716	Q702N8
O60763	P11142
O60934	P05412
O75376	P13236
O75396	Q15436
O75486	P51610
O75486	Q9NPA8
O75578	P05015
O75794	P36873
O75807	Q12972
O75914	Q16352
O75925	P12931
O75925	Q15759
O75947	P07919
O94776	Q9BZA5
O94782	Q15022
O94875	O95886
O94875	P04040
O95067	P07437
O95067	P0C0S5
O95071	Q86W74
O95196	Q13554
O95232	Q13490
O95376	Q05086
O95741	P63215
O95813	Q9NZD1
O95816	Q9BWF2
O95831	Q16531
O95970	P17677
O96011	Q92968
P00492	Q8IZ83
P00519	P50750
P00558	Q12791
P00736	Q13571
P00736	Q9Y6Y9
P00750	P01023
P01100	Q05397
P01112	P29353
P01112	P47736
P0DN86	Q13285
P0DN87	Q13285
P0DML2	P23945
P0DML3	P23945
P01375	Q9HB75
P01579	P84243
P01871	P31321
P02452	Q9HCU0
P02768	P04150
P03372	P15976
P04049	P07947
P04150	P61981
P04150	Q99759
P04150	Q9UIG0
P04233	Q5TEJ8
P04440	P52566
P05106	P10451
P05129	P49760
P05129	Q96BR1
P05387	P17844
P05387	Q04206
