Q5SQ64	Q9NZQ7
P46379	Q9UFD9
Q504T8	Q9UFD9
Q8WZ42	Q9UIR0
Q9NZQ7	Q9UQ74
P19087	P49796
O43739	Q14449
Q9Y5E1	Q9Y5G5
Q9Y5E1	Q9Y5H0
O60259	P55290
Q06587	Q8IXZ3
P51114	Q92667
Q6NXT1	Q99728
O75144	P21802
P05156	P61626
Q86UE8	Q99640
Q12979	Q9NZQ0
Q96PV0	Q9ULW5
P30281	P50750
O43719	Q96PK6
O43149	Q14004
O95271	P42574
P62879	Q13033
Q13216	Q9C0J8
Q9NS23	Q9UBE0
P51991	Q9UKM9
Q9NZQ0	Q9UN86
O60563	P33981
P11171	Q13402
O14757	Q14004
O95755	Q99819
Q15286	Q99819
Q969Q4	Q99819
Q99819	Q9BW83
P50148	Q9UMS4
O75746	P35243
P03952	P07093
O95925	P14210
P54753	Q68DC2
O15350	Q6SPF0
P54753	Q6ZW76
P06239	Q7Z4S9
P20936	Q7Z4S9
Q5TGI4	Q86W92
Q6SZW1	Q8N8V4
Q5TGI4	Q96LT4
O75973	Q9BXJ4
Q96P48	Q9H7X7
Q6ZRY4	Q9HCG8
Q9HCG8	Q9HCJ3
P54753	Q9P1V8
O14931	Q00889
O60939	Q00889
Q00889	Q13203
Q00889	Q14324
Q00889	Q14896
O14931	Q2WEN9
O60939	Q2WEN9
Q14896	Q2WEN9
Q15238	Q2WEN9
P46379	Q8IWN7
O00478	Q8WZ42
Q00889	Q8WZ42
Q6UXG8	Q8WZ42
Q2WEN9	Q96D42
Q00889	Q96S86
Q2WEN9	Q96S86
Q6PCB8	Q9NSI5
Q00889	Q9UBF9
Q2WEN9	Q9UBF9
Q00889	Q9UM44
Q2WEN9	Q9UM44
O14931	Q9UQ74
O60939	Q9UQ74
Q13203	Q9UQ74
Q14896	Q9UQ74
Q9UBF9	Q9UQ74
Q9UM44	Q9UQ74
O14786	P18827
P10721	P35548
P13726	Q14653
P10721	Q86UR5
P38398	Q86XJ1
P51532	Q9NVP2
P08912	Q8TDS4
P28223	Q8TDS4
P21860	Q8WZ42
Q8WZ42	Q9H3D4
P10586	Q9UN74
P10586	Q9UN75
P42684	P53671
P20265	Q05397
O60285	P31323
P31323	P45984
P49798	Q9NYS0
P49418	Q16890
Q04759	Q7L804
O15075	Q9UEW8
P15036	P31249
P43403	P49757
P09016	Q06546
P13378	Q06546
O15105	Q8N126
Q96PZ0	Q9UET6
O60229	P52565
P17181	Q15109
P27540	Q96P64
Q8WU20	Q99963
Q14982	Q86VZ4
Q86VZ4	Q9NY72
Q96DC9	Q9Y2K6
P68543	Q96FJ0
P20042	Q9P0J6
O14733	P43250
O00506	P51812
P48740	Q02643
O14733	Q15835
P11309	Q7KZI7
P29320	Q7Z2Y5
O43781	Q86Y07
P51955	Q96Q40
P17948	P28827
P02458	P29317
P50281	Q16363
P04626	Q6P9H4
Q5VV41	Q8IVT5
P12757	Q8WWN8
Q969H4	Q96QB1
Q8N108	Q9NQB0
P04626	Q9UQB8
O95343	Q9Y5X4
P50148	Q04656
P16885	P42679
O75886	Q14847
Q14511	Q5VST9
O15259	Q8IVI9
O15259	Q8IW93
Q7Z6J0	Q92783
Q92783	Q9UKS6
P08100	Q9UBY5
O75461	P37275
P09012	P51513
P57075	Q13526
P51513	Q15427
P52657	Q8NDT2
P10114	Q969H4
P51149	Q969H4
P60763	Q969H4
P61204	Q9NZQ0
Q9GZN2	Q9UBX0
O75364	P54753
P21860	Q15772
P54753	Q99801
P30679	Q9UKW4
Q5JZY3	Q9UM73
Q8IYX1	Q8N5T2
O60566	P01111
P31371	Q8NB66
P61328	Q8NB66
Q00535	Q8TAI7
Q8NB66	Q92913
P31371	Q9H2B2
P61328	Q9H2B2
Q08334	Q86VB7
P33681	Q8N108
Q03014	Q8WZ75
P02751	Q9BYH8
O76050	Q9HCU4
Q03014	Q9NPY3
Q12846	Q8TAG9
O75367	P21675
O75695	P27708
P04004	P78423
P54198	Q13485
P07996	Q9UHF1
Q9BZS1	Q9Y275
P17948	P22301
P01130	P23142
P10966	P25025
P04626	P25189
P01588	P26992
P05112	P26992
P01732	P30518
P09564	P35225
P32239	P43119
P01732	P47901
P29460	P51610
P35968	P61769
O00499	Q01826
O15151	Q02643
O15394	Q08722
P25025	Q495A1
P29965	Q8N126
P08151	Q8NI51
Q92817	Q96T37
P40425	Q99697
O60667	Q99933
Q8N143	Q9BRP0
P05455	Q9BWF3
Q5VTB9	Q9H0E7
P17947	Q9H9B1
P49763	Q9HCJ2
O95343	Q9UBR4
O15522	Q9ULT8
Q9H161	Q9ULT8
P45974	Q9UPN9
Q9Y252	Q9Y4K3
Q2KHN1	Q9Y4L5
P09341	P19878
P36897	Q15418
O00238	Q7L7X3
P12111	P28827
O75061	P45379
P26038	P50552
P24821	Q93052
O15400	Q9H444
P61266	Q9HAU5
O94806	Q9ULH1
P63146	Q9ULH1
O15350	P19838
P46094	Q13324
P28222	Q14332
O94983	Q15746
P01589	Q8NET5
Q15375	Q92826
P10586	Q96JP9
Q16763	Q9NS56
P63208	Q8NDN9
O14641	O43294
O00443	P07148
O75581	Q8IXZ3
P53355	Q13163
P24723	Q13546
P10398	Q13555
Q08881	Q16816
Q13163	Q16816
Q16816	Q6SA08
O60566	Q86SG6
Q13705	Q96PY6
Q07912	Q96Q40
P05981	Q99435
P53350	Q9BYP7
P16591	Q9H1R3
Q13470	Q9H422
P49674	Q9UEE5
Q00526	Q9UEE5
O94768	Q9Y6E0
P09327	Q9UIG0
P42345	P49795
O75643	Q92879
P00736	P07478
P07478	P09871
P00750	P49862
Q8NF86	Q92876
Q09472	Q9BSE4
Q8TBB1	Q9UMX0
P05106	P10966
P05556	P10966
O75582	Q00535
O15085	Q14088
Q13636	Q15311
O75385	Q8IXI1
Q15382	Q8N4G2
O75553	Q8N4T4
P05106	Q8TD46
P98171	Q8WUD1
P63000	Q92609
Q58EX7	Q92963
O43182	Q96DA2
Q8IUD6	Q96PU4
Q8IZ41	Q96Q42
P05106	Q9BQ51
O15085	Q9H082
O43182	Q9UL25
Q6ZSZ5	Q9ULC3
P12110	Q9Y5E2
P07204	Q13489
Q12929	Q6DT37
P63165	Q8N5V2
P16333	Q8NCF5
P20336	Q5XUX0
Q5XUX0	Q9H0F7
O00148	P83876
P02549	Q96EY8
Q13239	Q9NQ75
P08567	Q13888
P48740	Q6UXL0
O95057	Q14155
P55287	Q9Y2H6
O60245	Q02410
O15020	Q9Y2H9
Q01826	Q15223
Q02779	Q96D21
P42679	Q13526
O00468	Q13233
P63146	Q99436
P27037	Q9UNE7
O14508	O94889
P49796	Q17RD7
P46109	Q8TEC5
O15021	Q96JB8
Q5T124	Q96S82
Q8N3Y7	Q9BUT1
O00499	P08631
Q05397	Q13557
Q8NG66	Q9UKI8
Q96CW1	Q9UPM8
P01019	P49675
O60573	P61088
Q00534	Q05513
Q04759	Q12756
P20339	Q14CS0
P51148	Q14CS0
P51153	Q14CS0
P61026	Q14CS0
Q14157	Q16825
Q5T5U3	Q6S5L8
Q6RI45	Q86U86
P17948	Q8IUL8
Q15811	Q8NAT2
Q5T6F2	Q8WYP3
O60437	Q969X0
O60573	Q96LR5
Q13153	Q96LR5
Q6ZWE6	Q9NRC6
Q14157	Q9P212
P56945	Q9P267
Q86XT4	Q9UJV3
Q96B97	Q9Y483
P08567	Q9Y5S2
Q5JT25	Q8TC07
Q8TC07	Q9H0N0
Q5JT25	Q9Y3P9
Q9HCJ0	Q9Y3I1
O60381	Q9UKI9
P04626	P13500
P47712	Q6UXL0
P43405	Q96CA5
P02778	P13726
P11234	Q58EX7
O60313	Q9Y3D6
Q15283	Q53GL0
Q5TGI4	Q6ZW76
Q96CS7	Q9BXB4
O95925	Q9H3S3
O95925	Q9UL52
Q92730	Q9Y490
O95976	P17693
O60422	P28069
P28069	P32242
P29965	P40200
P20719	P61289
P61970	P62820
P00451	Q00872
P10586	Q08043
O14793	Q13263
P54756	Q15262
P12814	Q15375
P40225	Q16557
P35609	Q58EX2
P20702	Q5H8C1
P61586	Q86WV1
Q8IUH4	Q8TF27
P07911	Q8WWQ8
P28360	Q92826
Q92956	Q96L96
Q14974	Q9H0U4
Q9HDB5	Q9NYQ8
O95450	Q9UGM3
Q14774	Q9UKI9
P08134	Q9ULH1
P35609	Q9UQ52
P09874	Q16595
O14931	O14944
P08476	P19838
O14944	P33681
P28482	P50148
O00213	Q13625
P01225	Q16557
Q15262	Q8TDF5
O75962	Q8TEU7
Q8NI51	Q96L73
P11234	Q96M96
P04626	Q9NQ38
Q15438	Q9Y2X7
O14627	P00747
P02452	P18065
P40933	Q5ZPR3
O14931	Q9P0W0
Q9BX66	Q9UGJ0
Q9H2H0	Q9Y2T1
P27169	Q86YM7
Q93062	Q9UK05
P12755	P35609
O60494	P09871
O60292	Q96HC4
O14786	O60229
O15072	P22105
P10415	P31270
P10415	Q96QS3
P37275	Q9Y2U8
Q13873	Q9Y2U8
Q99496	Q9BZ95
O14497	P0C0S5
P23527	Q09472
O14497	Q6FI13
O14497	Q93077
O14497	Q9BTM1
O14497	Q9P0M6
O60674	P01040
P52735	Q7Z628
O00180	P10415
O75309	P10586
P22891	Q02643
P29373	Q15465
P10586	Q6ZTQ4
Q8NHM4	Q8WZ75
Q04771	Q9BXA7
Q13888	Q6PCD5
P37173	Q9P212
O60259	P06396
O76039	P36896
Q4LE39	Q9UKW4
O95249	Q9UPV9
P01019	P13500
P11684	Q9H074
P07288	P48307
O60610	Q15669
P62330	Q8TER5
Q99584	Q9H0E2
Q06323	Q9H875
Q8IYX4	Q96EP5
Q5TH69	Q9H0T7
P09874	P0C0L5
O15530	P62491
P13500	Q2VWA4
Q96AC6	Q9NS87
P49767	Q9Y6R0
O14520	Q96PS8
O43293	P21802
P23946	P48307
O00124	P54727
P26012	Q14511
P07948	Q9BSE4
Q03014	Q9BXL7
O43293	Q9H4A3
P04629	Q9UIK4
P07949	Q9UIK4
P27037	Q9UIK4
Q13470	Q9UIK4
Q13705	Q9UIK4
Q8WTU0	Q9UKS6
P17787	Q9NP97
Q99933	Q9UMX0
P02675	Q9UQP3
Q02750	Q96P48
P35713	P37023
P37023	Q9H6I2
P07306	Q13241
O75386	Q9H2X6
Q04759	Q9NR46
O94887	P05067
P10600	P43699
P19224	Q9BY64
P06213	Q9Y2C9
O43464	P01138
P49802	Q8NE09
Q07699	Q92561
Q7L985	Q92561
P50502	Q92623
Q92561	Q9UJ99
Q92527	Q9UK73
Q99466	Q9Y2E6
P29475	Q13796
P46934	Q8IX03
P29475	Q96HC4
P63279	Q9BYG5
Q9NWB1	Q9UNP9
O95453	Q9Y3B4
O00220	Q9BXL6
O43159	Q9UNQ2
P06850	Q06124
P19022	P54760
P62826	P63010
P45379	Q01718
Q13158	Q13322
O60749	Q13402
P37173	Q6WRI0
P29279	Q99650
Q12929	Q9NR12
A5PKW4	Q9NZL6
Q13009	Q9NZL6
O14492	Q9UHB6
P35968	Q9UNH7
P51159	Q15633
O95931	Q8TEC5
P49792	P51159
O15530	Q7L0Q8
Q12829	Q8TER5
O15530	Q9H4E5
O14793	P01222
O00213	O14786
Q15052	Q8N5H7
Q9NZ52	Q9P2R6
P04004	P13500
O75832	P22612
O94766	Q86Y38
Q8WXC3	Q9GZT9
O14508	P00734
Q6P0Q8	Q92519
Q5ZPR3	Q9H6Q3
P04626	P61586
Q05397	Q96DA2
P02751	Q6UXI9
Q6U841	Q9BY07
Q13153	Q9NYB9
Q6UXI9	Q9UKW4
O60573	O60739
O43583	P41091
P14210	P43694
O95393	P12757
P15813	P42226
P62330	P78317
O60258	Q13387
P36888	Q9Y219
P05771	Q9UN86
Q08828	Q14289
O95365	P05111
O43680	Q13485
P29274	Q86XP1
O43711	Q8IWV2
P29317	Q9UPN3
P38398	Q99445
O15230	Q9P121
P13688	P55286
P50895	P98161
O14917	Q86SJ6
Q86SJ6	Q8N126
P13688	Q8TAB3
O14917	Q96JQ0
P98161	Q9BY67
Q08554	Q9BY67
P13688	Q9H158
Q8N126	Q9H158
Q9BY67	Q9H158
Q9BY67	Q9HBT6
P13688	Q9NYQ8
Q9BY67	Q9NYQ8
P13688	Q9UN70
P13688	Q9UN73
Q14517	Q9Y5E7
Q8N126	Q9Y5F3
Q08554	Q9Y5G0
Q14517	Q9Y5G4
P32926	Q9Y5G9
Q86SJ6	Q9Y5G9
Q9BY67	Q9Y5H7
Q9Y5F6	Q9Y5H9
Q8N126	Q9Y5I2
Q9NRJ7	Q9Y6N7
P31271	P37173
Q9H9G7	Q9H9Z2
O43464	Q9P2D1
Q9H9Z2	Q9UL18
P33552	P63172
P16422	Q14155
O75159	Q8N2Y8
P16422	Q8N5V2
Q7Z6Z7	Q8N8I0
P51116	Q96KQ4
Q96D05	Q96KQ4
P16422	Q9BY11
P29350	Q9NSI8
Q96BM9	Q9ULM0
Q04759	Q12988
P50454	Q15063
P05496	Q9UDW1
P16989	Q9UM47
P01042	P09382
P00749	Q6ICB4
P00750	Q75N90
Q5U5Q3	Q96AQ7
O14492	P15529
P55055	Q03014
O95935	Q9NYQ6
P98172	Q9P1W8
O60566	P07949
Q03113	Q12834
