O75469	Q03181
O75478	Q09472
O75478	Q92793
O75478	Q9Y6J9
O75489	P10606
O75494	Q01130
O75528	Q6P1X5
O75528	Q92993
O75529	Q15542
O75530	Q9H160
O75530	Q9UJW3
O75533	Q13523
O75569	Q12906
O75578	P53708
O75578	Q9UKX5
O75593	Q15797
O75618	P42575
O75618	Q15628
O75711	P60201
O75792	P14635
O75792	P18858
O75792	P35249
O75821	P42766
O75832	Q9Y4K3
O75843	Q9UJY4
O75888	P25942
O75899	O95670
O75925	P01100
O75925	Q04864
O75925	Q92769
O75925	Q9H2X6
O75928	P19544
O75928	Q16666
O75928	Q9UER7
O75928	Q9ULJ6
O75928	Q9Y6Q9
O75940	P08579
O75943	P52701
O75947	P10606
O75952	P26436
O75969	P49901
O75970	Q07157
O76015	P26436
O76096	P12544
O76096	P49863
O94761	P39748
O94762	Q13315
O94769	O94911
O94776	P45973
O94776	Q16665
O94776	Q9Y618
O94782	Q09019
O94805	P26998
O94805	Q9UPA5
O94811	O95096
O94811	Q14832
O94830	Q4J6C6
O94832	P08238
O94832	P17066
O94832	P19105
O94832	P31946
O94832	P35579
O94832	P52907
O94832	P63261
O94832	Q05639
O94874	Q6PGP7
O94874	Q9NXG2
O94875	P46108
O94910	P30874
O94921	P49815
O94921	Q92574
O94941	Q9UBS8
O94985	P51693
O95049	Q9P2M7
O95067	Q15468
O95067	Q8NEM2
O95067	Q9H8V3
O95150	P01375
O95169	O95299
O95169	O96000
O95169	P03905
O95169	P56181
O95196	P07196
O95196	Q13516
O95196	Q8IZD9
O95208	O95782
O95229	P26583
O95229	P38398
O95229	P50748
O95229	P53350
O95229	Q12815
O95229	Q9H4H8
O95229	Q9UKT4
O95232	Q9NYF8
O95235	P39748
O95239	P53350
O95239	Q9NSP4
O95251	Q92794
O95298	O95299
O95298	O96000
O95298	P03905
O95298	P56181
O95298	Q16718
O95298	Q9UI09
O95298	Q9Y6M9
O95299	O96000
O95299	P03905
O95299	P51970
O95299	P56181
O95299	Q9Y6M9
O95347	P07437
O95347	P20248
O95347	P33981
O95347	P33993
O95347	Q9BXS6
O95352	P40939
O95373	P31689
O95373	P38646
O95373	P52294
O95373	Q92616
O95379	P25774
O95382	Q9Y4K3
O95407	Q92956
O95551	P53618
O95644	Q05513
O95665	O95944
O95665	P30989
O95670	Q13387
O95670	Q16352
O95670	Q8IZD9
O95670	Q9H2X9
O95670	Q9ULB1
O95704	Q07954
O95704	Q92870
O95711	P07333
O95711	P30273
O95711	Q13651
O95711	Q93091
O95716	Q9Y2J0
O95813	Q96LB8
O95813	Q9NQ94
O95813	Q9NQN1
O95816	P04350
O95816	P23396
O95816	P25705
O95816	P35580
O95816	P63261
O95816	Q05639
O95816	Q96EY1
O95816	Q9BVA1
O95816	Q9Y5U5
O95817	Q9NZL4
O95831	P04350
O95831	P08238
O95831	P17066
O95831	P31946
O95831	P78527
O95925	Q8TCN5
O95944	P0DML2
O95944	P0DML3
O95944	P21918
O95944	Q99726
O95967	P09619
O95997	Q9NSP4
O95999	P55210
O96000	P03905
O96013	Q14155
O96017	P62258
O96019	Q92831
O96019	Q9UIG0
O96020	P31350
O96020	P49736
O96020	Q14680
O96020	Q9NVI1
O96028	P51532
O96028	Q9BXS6
O96028	Q9Y232
P00374	Q14691
P00374	Q15398
P00374	Q99741
P00451	P07359
P00519	P32927
P00519	P48023
P00519	P60953
P00519	Q13239
P00519	Q14185
P00519	Q99759
P00519	Q9Y490
P00533	P05106
P00533	P11362
P00533	P19235
P00533	P61981
P00533	P78352
P00533	Q14511
P00533	Q9H204
P00558	P15692
P00736	P02461
P00736	P08603
P00736	P12110
P00736	P48061
P00736	Q01995
P00736	Q15113
P00747	P02675
P00749	P17936
P00751	P17927
P00915	P26436
P00973	Q9UMW8
P01009	P01023
P01009	P05107
P01011	P01023
P01023	P02776
P01023	P09619
P01031	P08603
P01033	P05155
P01036	P09228
P01040	P61626
P01042	Q02928
P01100	P10914
P01100	P25963
P01100	P51531
P01100	P52630
P01100	Q01201
P01100	Q16539
P01100	Q92831
P01106	P53567
P01112	P11274
P01112	P36507
P01112	Q8IVT5
P01116	Q9NZL6
P01130	P98164
P0DML2	P12829
P0DML3	P12829
P0DML2	Q8WYR1
P0DML3	Q8WYR1
P01344	P05019
P01344	P35858
P01375	P27708
P01375	P0DPH7
P01375	P0DPH8
P01563	P52630
P01570	P05014
P01571	P05015
P01574	P42224
P01574	P52630
P01583	P01584
P01903	P11049
P01903	P20292
P01903	P28065
P01903	P29466
P02144	P06732
P02144	P50461
P02452	Q15113
P02452	Q9BXN1
P02585	P45378
P02585	Q9UKX2
P02654	P06727
P02675	P11215
P02686	P02787
P02686	P04271
P02686	Q13491
P02686	Q7L5A8
P02686	Q99767
P02730	Q9NZD4
P02743	Q92496
P02745	P07948
P02745	P12318
P02745	Q14314
P02745	Q5TEJ8
P02746	P07948
P02746	Q16581
P02746	Q9NSI8
P02748	P07360
P02751	P39060
P02760	P02765
P02760	P02790
P02778	P05412
P02778	Q00978
P02778	Q92985
P02788	P80511
P02794	Q8N4E7
P03372	P29083
P03372	P29590
P03372	P48436
P03372	P51692
P03372	Q01201
P03372	Q13480
P03372	Q14995
P03905	P17568
P03905	P28331
P03905	P49821
P03905	P56181
P03905	Q16718
P03905	Q16795
P03905	Q9UI09
P03905	Q9Y6M9
P04049	P16333
P04049	P24941
P04049	P41743
P04049	P45984
P04049	P53779
P04049	Q14164
P04141	Q01344
P04150	P10826
P04150	P15172
P04150	P45984
P04150	Q15406
P04150	Q96HR3
P04150	Q96ST3
P04150	Q9NYJ8
P04150	Q9UHV7
P04150	Q9UK53
P04150	Q9UQL6
P04150	Q9Y2X0
P04156	Q9NRX5
P04183	Q15058
P04183	Q96R06
P04183	Q9NVI1
P04233	P04234
P04233	P13501
P04233	P28065
P04233	Q92608
P04234	P19397
P04234	Q14761
P04234	Q6PIZ9
P04234	Q9Y2R2
P04259	P08779
P04350	P07814
P04350	P12236
P04350	P35579
P04350	P78527
P04350	Q14257
P04350	Q9Y230
P04350	Q9Y6Q6
P04406	P17066
P04406	P23396
P04406	P0DP23
P04406	P0DP24
P04406	P0DP25
P04406	P0DPH7
P04406	P0DPH8
P04439	P10914
P04440	P17693
P04440	P31358
P04440	Q14314
P04626	P10275
P04626	Q13905
P04626	Q14118
