Q8IZT8	Q9Y278
P47736	Q9H0U4
P30101	P37108
Q05397	Q86Y07
P13500	Q8N5P1
Q13247	Q92945
Q8NFA2	Q9NRD9
P08754	Q86VZ2
Q13393	Q6UWB1
P23443	Q92667
O00124	O15259
O60447	O95661
O43781	P43250
P12757	P51671
P42336	P80192
O60566	Q13163
O60447	Q15669
Q15370	Q8IZP0
O14745	Q8N448
P49796	Q8TEU7
O43781	Q99570
Q13163	Q9H4B4
Q12959	Q9P0W0
Q9BZE3	Q9UQB8
Q01082	Q15700
Q13322	Q9BZ67
P35442	P98160
Q08629	Q12860
Q01826	Q16557
P06681	Q8N6C8
P38484	Q92692
P01024	Q99062
Q96LC7	Q9H6X2
P51531	Q9NZC4
Q06418	Q9UHC6
Q9H6X2	Q9UIB8
Q9NPG4	Q9UKX5
P42677	P61326
O95453	Q07955
Q12965	Q8WV28
O14512	Q96J02
P17483	Q9BPY8
P40616	Q9H7P9
P51151	Q9H7P9
P01579	P14652
P01579	P56178
Q15669	Q8IV63
Q99469	Q99963
Q14964	Q9NZL6
P42679	Q9NZM3
Q86X27	Q9UL25
O43541	P10826
Q14623	Q63HQ2
P10826	Q9BWV1
O75084	P11362
P78504	P98160
P10827	Q01826
O43557	Q8IUX4
P24043	Q8N441
P15151	Q8WWN8
P55268	Q96AC1
Q12830	Q9H4I2
A6NIZ1	P18754
P18754	P61224
P18754	P62834
P18754	Q13636
P18754	Q5JT25
P18754	Q8IZ41
P18754	Q96AX2
P18754	Q9NZQ0
P18754	Q9ULC3
P18754	Q9UNT1
O95319	P05455
P36405	P84095
O75940	Q02779
P11234	Q8WYP3
O15211	Q96A58
Q14344	Q96E17
Q16629	Q96J87
Q96S79	Q9P212
O43295	Q14451
P49703	Q96Q42
P51151	Q96Q42
P52198	Q96Q42
P57729	Q96Q42
P61026	Q96Q42
Q96AX2	Q96Q42
Q86YR7	Q9H0T7
Q13637	Q92973
P19883	P35568
P31270	Q13418
Q96HC4	Q9P2J2
Q14596	Q9P2K8
O76050	Q9UQ16
Q8WXG9	Q96PQ0
Q8WXG9	Q9UPU3
P17081	Q13976
O75891	P34913
O14795	Q2WGJ9
O15018	Q6IN97
Q6IN97	Q86UL8
Q16512	Q8IXI1
Q2WGJ9	Q8NB66
P21854	Q8NCF0
Q6IN97	Q8TBB1
Q13976	Q96L33
Q2WGJ9	Q96PU5
P01717	Q9H7M9
Q8NFH5	Q9NTZ6
Q6UXN8	Q9UHP7
Q6IN97	Q9UPQ7
O43781	P25098
O95835	P34947
P07949	P34947
O60229	P42681
O95835	P43250
P45985	P49336
P15735	P49761
O43781	P50750
O76050	P62380
O43781	Q13233
Q13976	Q15208
O43781	Q5VT25
O94921	Q6PHR2
Q16566	Q6PHR2
Q13627	Q7Z2Y5
P32298	Q86SG6
P50750	Q86SG6
Q13237	Q86SG6
Q13976	Q86Z02
P34947	Q8IWQ3
O94921	Q8IY84
P41743	Q8IY84
P29320	Q8N568
Q8NE63	Q8NG66
O76039	Q96GD4
Q13043	Q96RU7
Q86SG6	Q96RU8
O95835	Q9BWU1
Q13163	Q9C098
Q15835	Q9C098
Q9BWU1	Q9C098
P50148	Q9H4E5
P51955	Q9NR20
Q7Z2Y5	Q9NR20
Q86SG6	Q9NR20
Q8IY84	Q9NR20
O14965	Q9UK32
O14965	Q9UKE5
P34947	Q9UL54
Q56UN5	Q9UL54
Q7Z2Y5	Q9Y243
P57059	Q9Y6E0
Q8IWQ3	Q9Y6E0
Q9H2X6	Q9Y6E0
Q9Y2H9	Q9Y6E0
P51957	Q9Y6M4
P42685	Q15349
Q7KZI7	Q8N568
Q15831	Q8N5S9
O95835	Q96L34
Q16659	Q96Q40
O60861	Q86XJ1
P60484	Q8WUJ0
Q12951	Q92794
O15530	Q92888
O43763	Q96A47
Q8IX03	Q9UDY8
O60229	P01138
P01138	P15498
P36897	P39905
P28356	Q01453
Q15286	Q16181
O43193	Q92847
O43739	O95294
O00213	P61328
O60939	P61328
P50613	P80192
O60890	P84095
P20339	Q13017
P62995	Q15696
P62834	Q7Z628
Q13243	Q86V81
Q70Z35	Q8TDY4
P11234	Q8WUD1
Q2M1Z3	Q96BM9
P52597	Q96LT9
Q99418	Q9BYX2
Q15696	Q9BZC1
O60890	Q9HB21
P98171	Q9NVJ2
Q86Z02	Q9UEE5
Q00872	Q13203
P22303	Q8NFZ3
Q13233	Q56UN5
P32298	Q5VT25
P43250	Q5VT25
P48730	Q96GD4
Q92918	Q9Y2H1
P28335	P30411
O14842	P46095
P25105	P51685
Q15109	Q16653
P35348	Q99705
O14654	Q18PE1
P98160	Q3KPI0
P19235	Q5VTT5
P40259	Q8IUL8
P08887	Q8ND94
Q8IWB6	Q8WZ74
P40238	Q96BF3
