P48552	Q14839
P48729	Q99558
P48730	Q8IW41
P49116	Q92786
P49327	Q04637
P49407	Q9NQ92
P49736	Q9Y265
P49761	Q8N9M5
P49763	P49767
P49768	Q14526
P49792	Q02078
P50748	Q9BPX3
P50750	Q86Z02
P50990	Q9BUL8
P50993	Q13554
P51148	Q13671
P51398	Q99623
P52735	Q92556
P52757	Q9BRG2
P55010	Q99613
P60033	Q99075
P61764	Q8N414
P62136	Q9Y2Z0
P62306	P62888
P62333	Q9H3N1
P62380	Q16594
P62424	Q06787
P62805	Q8NHZ7
P62993	Q92630
P63104	P84022
Q00610	Q969H0
Q05639	Q9UL15
Q07889	Q13882
Q13015	Q9UQ16
Q13489	Q9BV68
Q13501	Q9BSB4
Q13526	Q7Z434
Q14118	Q8WV28
Q14244	Q7Z2W4
Q14738	Q86W92
Q15326	Q9H2X6
Q15648	Q8IZL8
Q15811	Q8IUH5
Q16799	Q7L0J3
Q6Q0C0	Q92734
Q6UXS9	Q9ULZ3
O00141	Q02156
Q8N423	Q9H2W1
O00198	P62136
Q8TAT5	Q9NZJ0
Q8TDX7	Q9H0R8
Q8WTV1	Q96ST3
Q8WXI2	Q969H4
Q92688	Q92973
A1XBS5	Q9BT88
O00401	Q9Y2H0
O00470	P52945
Q99457	Q9BRR3
O00629	P61160
O14929	Q8NB78
O14965	Q96S44
O14965	Q9UQ84
O15131	O96020
O15212	Q9NUG6
O15350	Q86Z02
O15492	P08581
O43318	Q15326
O43318	Q96EY1
O43353	P05455
O43684	P52907
O43795	O95831
O43809	P02786
O43914	Q9H3G5
O43918	Q03164
O60496	Q07666
O60506	P16333
O75044	Q9Y3P9
O75369	Q13796
O75400	Q9NSV4
O75444	Q9UIG0
O75530	Q9UIS9
O75914	P17612
O75940	Q9Y3F4
O95475	Q9Y3E5
O95665	Q6IB77
O95718	Q14686
O95757	Q04206
O95831	P60660
O95983	Q9UQL6
O96008	P10415
O96020	P46013
P01106	P61077
P01308	Q9BQ50
P02751	Q02763
P04040	Q03135
P05387	P41279
P05556	Q13322
P06127	P25445
P06213	Q8NHJ6
P06493	P35659
P06702	P08311
P06870	P07339
P07332	Q38SD2
P07766	Q8WX92
P07947	P21709
P0DMV8	Q92769
P0DMV9	Q92769
P08238	P27635
P08247	Q9UMZ2
P09651	P27708
P09972	Q8TBG4
P11474	P40763
P11509	Q9NQR9
P11802	P15884
P11831	P18146
P15391	P41240
P15498	P20333
P17676	P46940
P17947	Q00978
P18031	P29590
P18433	P19086
P19105	P26447
P19419	P24941
P19793	Q969G3
P20936	Q13177
P20963	P25963
P21333	Q9Y6Q6
P21675	P49841
P23467	P43405
P24534	P50395
P24593	P25116
P25490	P63165
P26358	Q9UKG1
P27986	P52798
P28065	Q13571
P30273	Q15399
P30305	P34932
P30876	P47813
P31943	Q9BVA1
P35240	P62877
P35548	P78527
P40189	P78552
P40938	Q14839
P41252	P50991
P42336	Q07890
P42685	Q8TC17
P46060	P52294
P46100	Q9BQ15
P49407	Q9Y281
P49959	Q92830
P51124	Q00987
P51884	Q14956
P51946	P78396
P60520	Q9Y3C5
P61916	Q9NY15
P61981	Q93009
P62258	Q06830
P62333	Q6PGP7
P62888	Q8N163
P63146	Q12888
P63267	Q9BU40
P68431	Q99878
P83369	Q9Y4Y9
P84022	Q9UIV1
P84090	Q8N752
Q00403	Q8WX92
Q01085	Q92882
Q03164	Q06587
Q04864	Q96PM5
Q04917	Q92922
Q05513	Q16513
Q05639	Q9NR30
Q06124	Q9UPT6
Q06187	Q7L591
Q07889	Q16288
Q07889	Q9NWQ8
Q08211	Q9BQG0
Q08881	Q6GTX8
Q08881	Q9Y4F9
Q09428	Q9HCX4
Q09472	Q9NRF9
Q13287	Q15596
Q13325	Q8WXG1
Q13330	Q96DB2
Q13564	Q13620
Q13882	Q14765
Q14449	Q9UQC2
Q15788	Q16594
Q15843	Q9H3D4
Q6TCH4	Q99689
Q71UM5	Q9BWT7
Q86T24	Q9NYJ8
Q86XR8	Q9Y5Q9
Q8IZD9	Q9NY72
O00186	O43567
O00221	P56192
Q92600	Q9NUG6
Q92844	Q9UNE7
Q92922	Q9NRL2
Q96CX2	Q96EY1
Q96F07	Q9UPA5
Q99497	Q9Y618
Q9BVA1	Q9UHB6
Q9BZF9	Q9H3G5
O00505	P61160
Q9H467	Q9Y618
O14543	O43639
O14543	Q05655
O14646	Q96EB6
O14733	O15455
O14782	Q13554
O14787	P52294
O14908	Q9H4G0
O14920	Q6IA86
O15056	Q13444
O15350	P27361
O15350	P42684
O15360	P30307
O43524	Q15291
O43707	Q14192
O43719	P62875
O60671	Q9BVW5
O75494	P26583
O75592	P04049
O75688	Q16539
O75695	Q13432
O75821	P41091
O94832	Q07021
O94910	Q9UBS5
O95379	Q13489
O95944	P01350
O96013	Q8TEW0
O96017	P42685
P00451	P05121
P01116	Q15382
P02768	P05121
P04150	Q96EV8
P04629	P14616
P04792	Q9H467
P05141	P05362
P05387	Q00987
P06239	Q15648
P06753	P11021
P07949	Q9GZY6
P08670	P20908
P08670	Q15797
P08754	Q16643
P09104	P60880
P09693	P32927
P09913	P42226
P10124	P16284
P10147	Q04206
P10244	P14921
P10276	Q9H0E9
P10415	Q13043
P10415	Q9Y5P8
P10599	P31350
P11940	Q13435
P13051	P54132
P13637	Q9NWB1
P17275	Q99717
P17542	Q00987
P17542	Q01094
P17600	Q70YC5
P17612	Q92831
P17693	Q9UL19
P17706	P34932
P17812	Q99741
P17844	P25705
P18433	Q8WX92
P20036	P32456
P23497	Q6GPH4
P23528	Q5PRF9
P24928	P67809
P25490	Q8N9B5
P26010	P56199
P27986	Q8TC17
P29350	Q9H3Y6
P29590	P50613
P30304	Q8WWL7
P30419	Q13761
P30876	Q15796
P31152	Q12852
P31751	Q92574
P32780	P63279
P34931	Q9NVI1
P35268	Q05639
P38570	Q13477
P38646	P49411
P40763	Q4V339
P40763	Q5JTY5
P40763	Q5RIA9
P41161	Q16665
P41743	Q9H1J1
P42224	Q07889
P42338	Q13480
P42684	P68104
P42704	Q8WUM0
P46109	Q9NYB9
P46527	Q53ET0
P46778	Q8IUE6
P47929	Q8IZP2
P47929	Q9UDY4
P48201	Q9UKJ0
P49411	P53007
P49662	Q9Y2G2
P49841	Q15759
P50591	Q06643
P50613	Q13415
P50914	Q08211
P51398	Q15648
P51608	Q15466
P51659	Q4J6C6
P51686	Q99731
P51693	Q15697
P52435	Q9NRL2
P52732	Q9BT25
P52757	Q9NZQ3
P53355	Q9UBV8
P53365	Q9UQB8
P53634	P61626
P53667	P63000
P55345	Q14157
P55769	Q6P2Q9
P55957	Q12933
P56545	Q14192
P57721	Q03426
P60201	Q70YC5
P60896	Q14565
P61088	Q05639
P61254	P68104
P61601	P63261
P61764	P63215
P61803	Q9UEU0
P61978	Q9C0H9
P62136	Q14457
P0DP23	Q15758
P0DP24	Q15758
P0DP25	Q15758
P62195	Q15418
P62308	Q13257
P62316	P62917
P62805	Q9BQA1
P62877	Q9UBF6
P62993	Q12879
P62993	Q9NRI5
P63000	Q13480
P63104	Q07889
P63104	Q96EY1
P63165	Q9NQB0
P63244	Q92843
P63267	Q8N2G6
P63279	Q8N3C0
P67870	P78527
P68400	Q12933
P78314	Q13322
P78317	Q9NVC6
P78344	Q13541
P78396	Q92574
P82094	Q9UER7
P84022	Q96GM5
P84090	Q5JUX0
P84095	Q05513
Q00597	Q14164
Q01094	Q12962
Q01201	Q13509
Q01658	Q09472
Q01826	Q04206
Q01826	Q9C0K0
Q02078	Q14653
Q03701	Q9NVP1
Q04206	Q15365
Q04206	Q9Y6E7
Q04727	Q13950
Q04917	Q16658
Q05086	Q05397
Q05193	Q14118
Q05193	Q99819
Q05397	Q99759
Q05513	Q16620
Q05639	Q9ULX6
Q05655	Q07954
Q06546	Q96HR3
Q06609	Q96KB5
Q07157	Q14164
Q07890	Q9UQQ2
Q08209	Q15257
Q08211	Q86SE5
Q08397	Q9Y6C2
Q08881	Q9UPX8
Q08AD1	Q86UP2
Q09472	Q99708
Q12772	Q16621
Q12805	Q14515
Q12837	Q13029
Q12852	Q92529
Q12929	Q7Z7G1
Q12959	Q13554
Q13009	Q13813
Q13094	Q13224
Q13094	Q8NHJ6
Q13111	Q9BVC3
Q13114	Q9ULZ3
Q13233	Q9Y2G8
Q13257	Q14257
Q13310	Q92552
Q13387	Q9Y6W6
Q13485	Q13618
Q13490	Q96RJ3
Q13536	Q6TCH4
Q13554	Q9Y4C0
Q13625	Q8WTS6
Q13625	Q92831
Q13671	Q9Y490
Q13813	Q9Y4G6
Q13889	Q15573
Q14004	Q6P3W7
Q14005	Q92796
Q14204	Q5SW79
Q14494	Q9UBS5
Q14653	Q15717
Q14832	Q9Y6A2
Q15121	Q15418
Q15131	Q15672
Q15398	Q8IX90
Q15427	Q53GS9
Q15468	Q9BSJ6
Q15788	Q8NI08
Q16620	Q99952
Q16633	Q9Y618
Q16778	Q96ST3
Q2LD37	Q8IX21
Q2NKX8	Q9H900
Q2TAZ0	Q9UPU7
Q3V6T2	Q9UBG0
Q5T3I0	Q92750
A9YTQ3	Q15185
Q5VYK3	Q9H853
Q6NWY9	Q8IVF7
Q6NZI2	Q96AC1
Q6PKG0	Q9Y5L0
Q6PKX4	Q92569
Q6UWY5	Q9Y693
Q6UXN9	Q92466
Q6ZMV9	Q9BT88
Q6ZRS2	Q9H2F5
Q76N89	Q99717
Q7L2E3	Q92993
Q7Z460	Q8N9M5
Q7Z6E9	Q9BWU1
Q86TP1	Q92753
Q86UL8	Q9UBX5
Q86Z02	Q93009
Q8IUC6	Q9H857
Q8IY92	Q9NUX5
O00160	Q5TEJ8
Q8IZP2	Q9H3G5
Q8IZQ8	Q9Y618
Q8IZV2	Q99959
Q8NBT2	Q96R06
Q8NFP9	Q9UJ04
O00186	Q9UQN3
O00192	Q99884
O00231	Q9BT78
O00257	Q03111
O00267	P29590
O00267	Q08945
O00273	P49815
Q8TDR0	Q9BZJ0
Q8TEW0	Q96SB4
Q8TEW0	Q9HC77
Q8WUI4	Q9NRI5
Q92547	Q92793
Q92547	Q9NPI1
Q92569	Q9NZN5
Q92743	Q9BSN7
Q92793	Q99608
Q92831	Q9BZE0
Q92934	Q9C000
Q92993	Q99525
Q96BD8	Q9BXL8
O00418	P04049
O00422	Q9H0E3
O00422	Q9UK53
O00443	Q9P035
Q96EB6	Q9NR30
Q96PM5	Q9NXR7
Q96RT1	Q9UQC9
Q96RT6	Q9UGM5
Q96RU7	Q9NRI5
Q96ST3	Q9H3D4
Q99884	Q9UK39
Q9BTX1	Q9H0H5
Q9BW19	Q9BXS6
Q9BWC9	Q9UM63
Q9BWX5	Q9Y6Q9
Q9BX66	Q9NQS3
Q9BXH1	Q9NS56
Q9BXS6	Q9Y5N6
Q9BZF9	Q9UHV9
O00505	P34931
