A0A1B0GUS4	Q9NV58
A0A1B0GUS4	P50876
A0A1B0GUS4	O94941
P29350	Q9Y6Q9
P07996	P07996
Q9UGN5	Q9UGN5
P0CG48	P42224
Q76MJ5	Q86TM6
Q16236	Q16656
O14964	P40189
O15379	Q86Y13
P55072	Q13563
P51665	Q13563
Q13563	Q15011
P0CG47	Q9UBT6
P0CG48	Q9UBT6
P0CG48	P51170
P0CG48	P51168
P49321	P54652
P51532	Q96RI1
P51608	Q14683
P46100	P49711
O60563	Q8TEK3
Q13485	Q96ST3
P15976	P16220
O14744	Q15427
O14744	P09234
O14744	O14776
O14744	Q14103
O14744	Q8NC51
P46531	Q6STE5
Q06330	Q6STE5
P43699	P51532
P16989	Q99873
P14373	P15923
P14373	P50553
Q02447	Q13127
P11474	Q9NS37
Q8TBE0	Q9UQL6
Q8TBE0	Q9UIS9
P08047	Q8TBE0
Q13363	Q8IX07
O60341	Q8IX07
O00255	P37231
Q16621	Q8IUX7
Q8IUX7	Q9UKD1
O95076	Q8WYK2
Q99626	Q9H161
O75593	Q9H161
P35452	Q9H161
Q86U70	Q9H161
P32243	Q9H161
O60248	Q9H161
Q9H161	Q9UL17
Q13216	Q9H161
Q9H161	Q9H808
Q9H161	Q9Y2X0
Q12789	Q9H161
O00327	Q9UBS8
Q06455	Q92858
Q06455	Q9HD90
Q14103	Q96RK1
P61457	Q99728
Q96N77	Q9HBU1
O43364	P38398
P31275	P38398
P38398	Q8TAK6
P61457	Q07352
P33076	Q01844
O43364	P33076
P33076	Q16621
P15923	P33076
P33076	Q96RK1
P33076	Q9Y692
P33076	Q9BWW4
P33076	Q9BWG4
P47928	Q06455
Q06455	Q13562
P29083	P47902
P47902	Q8N141
P56178	Q99626
Q14527	Q99626
O60281	Q99626
O14627	Q9UNN4
P49716	Q96G23
P35269	P49716
P49716	Q9NRM2
P53567	Q8WYK2
Q96G23	Q99966
P35452	P61201
Q92793	Q9H9Y6
Q92793	Q96G23
Q92793	Q969S8
Q92610	Q92793
Q96BA8	Q9UER7
Q10586	Q8WYK2
O95602	P61457
P36956	P61457
P61457	Q9Y575
P61457	Q13216
P61457	Q96G23
P55201	P61457
P61457	Q8WXK1
P61457	Q9H808
P61457	Q96IZ0
P61457	Q8IUH4
P0DPQ6	Q96G23
P35638	Q96G23
P56177	Q9H2W2
P56177	Q9UL17
P56177	Q8TDD2
Q07687	Q8TDD2
O14978	Q92988
Q8TDD2	Q92988
P56178	Q16621
P56178	Q14541
P56178	Q8WYK2
P56178	Q8TDD2
O15405	P26358
Q16621	Q66K89
Q66K89	Q9UKD1
P18146	P18146
Q9BYH8	Q9NZC4
Q9BYH8	Q9UKW6
P55199	Q9Y6Y0
Q04741	Q92908
Q02535	Q04741
Q00978	Q04741
O14770	Q04741
P32243	Q04741
P17947	Q04741
P20823	Q04741
P31314	Q04741
P11473	Q04741
O95238	Q04741
Q04741	Q14541
Q04741	Q92985
P52655	Q04741
O94953	Q04741
P10588	P43699
P10588	P52655
P10588	Q8TDD2
P11308	P48431
Q01844	Q92833
P51608	Q01844
Q01844	Q9Y483
O15534	Q01844
P51449	Q01844
O95602	Q01844
Q01844	Q9BY66
P36956	Q01844
O43189	Q01844
