Q14494	Q9ULX9
P19793	Q14994
P19793	Q15596
P10276	Q9Y5X4
P19793	Q9Y5X4
P03886	Q16762
P34947	P34947
P08100	P34947
P15976	P25791
P23769	P25791
P17542	P23769
Q9NVW2	Q9UBR4
Q96ST3	Q9NVW2
P61221	Q05823
P62269	Q13557
P30050	Q9UI26
O43823	P17844
P08621	P09234
Q9BQA1	Q9Y5B0
P21817	Q9NSB8
P21817	Q9NSC5
P18509	P47872
P47872	Q8IZJ3
P18509	Q8IZJ3
P36406	Q15438
P36406	Q99418
P04279	Q02383
O15230	P50895
P16410	P16410
P33681	P33681
P07948	P08575
P08575	P11912
P08575	P40259
P35249	P40938
P35251	P40938
P08493	P12643
P29590	Q05516
P08047	P29590
P27540	P29590
P14373	Q96QH2
P14373	P29590
P62258	Q12809
P57105	Q13705
P43681	Q04917
P57105	Q15311
P17181	P40763
O60674	P16473
P16473	P23458
P16473	P40763
O15524	P00533
O14543	P00533
P01100	P20823
P20823	P40763
O75533	Q15428
Q13435	Q15428
Q15393	Q15428
Q15427	Q15428
Q15428	Q7RTV0
Q15428	Q9BWJ5
P40189	Q05655
P40189	P40763
Q15428	Q15459
Q12874	Q15428
O15042	Q15428
O43143	Q15428
Q12931	Q15428
P10809	Q15428
Q15428	Q96I25
Q15428	Q8IWX8
Q15428	Q7L014
P26368	Q15428
Q01081	Q15428
Q15428	Q9P0W2
O75937	Q15428
Q07955	Q15428
Q15428	Q9Y3B4
O75940	Q15428
P30101	P40763
Q15428	Q9UHX1
P19838	P40763
P40763	Q04206
P08887	P40763
P42229	Q13287
P42224	Q13287
P40763	Q13287
P51692	Q13287
P78527	Q99828
P09619	P19525
P19525	P40763
P09661	Q15428
P08579	Q15428
P61978	Q07666
P14678	Q15428
P62318	Q15428
P62316	Q15428
P62314	Q15428
P62304	Q15428
P62308	Q15428
P40763	P63000
P62306	Q15428
O75533	Q86XP3
O75533	Q15427
O75533	Q9BWJ5
P12931	P40763
P12931	P51813
P40763	P51813
O75533	Q7RTV0
P42224	P78347
P40763	P78347
O60936	P42575
O60936	Q14790
O15205	Q13257
Q15428	Q86XP3
P38936	P40763
P27986	P40189
P50991	P62736
P62736	Q9Y5K3
P48643	P62736
P50991	P68133
P68133	Q9Y5K3
P48643	P68133
P68133	Q16658
P26010	Q13477
P80217	Q16520
P17275	Q16520
O14745	Q9NWQ8
O14745	P15311
Q01638	Q13445
P60033	Q969P0
Q15466	Q9Y6Q9
O00482	Q9Y6Q9
Q15797	Q9UMX2
O94916	O94916
O60504	O75955
Q99661	Q99661
P11940	Q9BPZ3
P60842	Q9H074
Q13485	Q92905
P11940	P60842
Q13111	Q9Y294
Q13112	Q9Y294
P53667	P53667
P53667	P53671
Q9NPF4	Q9ULC0
Q8IYB3	Q9UQ35
Q08170	Q8IYB3
Q13243	Q8IYB3
O00622	P06756
O00622	P18084
Q9Y6D5	Q9Y6D6
P08240	P43308
P14678	P62318
P14678	P38432
P13501	P51679
P10147	P51679
P13236	P13236
O00230	P30872
O00230	P30874
O00230	P32745
O00230	P31391
O00230	P35346
O15530	P27348
O15530	Q04917
P11277	P35611
P21580	P31946
P35612	Q9Y2J0
P00813	P29274
P21580	P62258
P04049	P62258
P30305	Q04917
P30305	P63104
P30305	P31946
P27348	P30305
P30305	P62258
Q04917	Q9Y2J2
P11802	P38398
P38398	Q16254
P06493	P38398
P14635	P38398
P24385	P38398
P38398	P42224
P10912	P40763
P10912	P51692
P23511	P38398
P11532	P68133
P14859	P38398
P38398	Q7Z569
P38398	Q9GZX5
P01236	P23284
P26641	P49589
P06702	P06702
Q08334	Q13651
Q08334	Q9GZX6
Q8N6P7	Q9GZX6
P06241	P16410
P06239	P16410
P07948	P16410
Q96Q15	Q96Q15
Q92900	Q96Q15
Q96Q15	Q9HAU5
Q96Q15	Q9H1J1
P16410	Q15172
O43639	P07766
P15311	P17252
P15311	P16109
P15311	Q12959
P07766	P16333
P13569	Q15599
P13569	P15311
O75923	P56539
P14151	P26038
P14151	P15311
P15311	P34741
O43639	Q05397
P15311	P16150
P16150	P26038
P36941	P36941
P29466	Q9NZH6
Q05397	Q14451
P49662	Q9NZH6
P49662	Q14116
P29466	Q14116
P10144	P50453
P10124	P10144
Q13478	Q9NZH6
P49023	Q14511
P11142	P99999
Q9NZH6	Q9NZH6
P11473	Q99933
O60894	O60894
Q9H2X3	Q9H2X3
Q9H2X3	Q9NNX6
Q92558	Q9UQB8
Q9UQB8	Q9Y6W5
P63000	Q9UQB8
Q13153	Q9UQB8
Q03113	Q9NZN5
Q14344	Q9NZN5
Q9H3R5	Q9H3R5
Q99661	Q9H3R5
P35346	P35346
Q9H293	Q9NRM6
P32745	P61278
P20073	P30626
O14836	Q9Y275
O14836	O75888
Q15370	Q93034
Q15369	Q93034
Q07889	Q99578
P48645	Q9HB89
O43639	Q13153
O43639	Q16513
O43639	Q07889
Q13617	Q15370
Q13617	Q15369
P40337	Q93034
P35240	Q01082
Q9UN79	Q9UN79
Q12959	Q9NQT8
O15533	P53618
O15533	Q9Y678
P11171	Q13813
O15533	P04439
P53618	Q03518
Q03518	Q9Y678
P04439	Q03518
P04439	P53618
P04439	Q9Y678
P78352	Q9NQT8
P02549	P16157
P26718	Q9UBK5
P27986	Q9UBK5
Q9UHD4	Q9UHD4
O60543	Q9UHD4
O00238	P36894
Q13873	Q13873
O00238	O00238
P36894	P36894
O00238	P12643
O14980	P24385
P11277	Q13813
P42262	Q13813
P42262	Q01082
P02549	P11277
P16157	Q13009
Q12955	Q13009
P0DUB6	Q9HC84
P02808	Q9HC84
P15515	Q9HC84
P08047	Q13285
P08254	Q9BQ16
P50281	Q9BQ16
P10909	P36897
P16422	P16422
P21579	P32856
P21579	Q13277
P21579	Q12846
Q8WXE9	Q96CW1
P32856	P60880
P60880	Q13277
P60880	Q12846
Q16623	Q16623
O14810	P60880
O14810	P63027
O00560	P18827
P54920	P60880
P54920	P63027
Q16623	Q9BV40
O14795	P63027
O14795	P60880
P40222	Q13277
P40222	Q16623
P40222	Q12846
P48067	Q16623
Q16623	Q9Y345
O95721	Q13277
O95721	Q16623
O95721	Q12846
O15400	O95721
O95721	Q86Y82
O95721	P56962
P63027	Q15836
P63027	Q9BV40
Q15836	Q9BV40
Q12846	Q99719
O00463	P26842
P11274	P49023
O95147	P10747
P20963	P42229
P20963	P51692
P07766	P52333
P20963	P52333
P07766	P09693
P09564	Q8WVN6
P01911	P0DSE1
P01911	P0DTU3
P99999	Q96KJ9
P00167	P99999
P31930	P99999
P16144	Q9UMD9
P99999	Q9UHB4
P16435	P33261
P11712	P16435
P05181	P16435
P05177	P16435
P22301	P22301
O60716	Q9UMD9
P05783	Q9UMD9
P05556	P23229
P35222	Q9ULB4
P35222	Q9Y6N8
P35222	Q9ULB5
P41240	Q05397
P41240	P49023
P22681	P41240
P06239	P16284
P16284	P41240
P18031	P35222
O75056	Q71U36
O75056	Q14247
O75056	P06241
O75056	P41240
O75056	P07437
O75056	Q13885
P41240	P98082
P12931	P98082
P09769	P98082
P20936	P41240
P12931	P41240
P41240	Q03135
P50542	Q99489
P02765	P07585
P01137	P07996
P07585	P14555
Q08554	Q14126
P14923	Q02413
Q02413	Q13835
Q02413	Q08554
P15924	Q08554
Q02487	Q14126
P08670	Q13835
P02533	Q13835
P05787	Q13835
P15924	Q13835
P05783	Q99959
P13647	Q99959
P08670	P15924
P04264	P15924
P15924	P17661
P08133	P20023
P60903	P60903
P07355	P60903
Q08209	Q14206
P10415	Q14318
Q07817	Q14318
P24588	Q08209
P15924	P15924
P17661	P23297
P10415	Q08209
P15559	P15559
P09622	Q02218
P36957	Q02218
Q08209	Q9Y6J0
Q08209	Q9NPC6
Q08209	Q9NP98
P06703	P06703
Q8IU60	Q9NPI6
Q92900	Q9NPI6
P06703	P50995
P0DP23	P54750
P61457	Q9Y463
O00327	P35869
P27540	Q99814
O00327	P07900
P07900	Q16665
P07900	Q99743
O95257	Q9Y6R4
O75293	Q9Y6R4
P24522	Q9Y6R4
O14733	Q16539
O14733	P45983
P0DPQ6	P61247
P35638	P61247
P0DPQ6	Q16539
P35638	Q16539
P42680	Q03113
P42680	Q9NZN5
O15119	O15119
P63098	Q9NPB3
P63098	Q9NP86
P63098	Q9NZU7
P52565	P52565
Q13077	Q13489
Q13077	Q13490
P42574	Q13489
P55210	Q13489
P42574	Q13490
P55210	Q13490
O00746	O00746
Q14511	Q15797
Q14511	Q15796
P62913	Q13867
P47914	Q13867
P40763	P51681
P51681	P51692
O00459	P51681
Q92854	Q92854
Q16633	Q8IUQ4
P53041	Q99683
P41236	Q8IWU2
Q8IWU2	Q8IWU2
P62136	Q8IWU2
P55854	Q13569
P10828	P10828
P10828	Q9Y618
P10828	Q15788
P13501	P32246
P16619	P32246
P16619	P51677
P55789	P55789
P55789	Q92905
P10244	P10244
O43586	P06729
P54274	Q15691
Q99697	Q99697
P53779	Q13387
P17542	Q96ST3
P41236	P51955
O14746	P63104
O14746	P27348
O14802	P05423
P05423	Q9NW08
P05423	Q9NVU0
P05423	P11142
P05423	Q9BUI4
O15160	P05423
P05423	Q9H1D9
O15318	P05423
P05423	Q9Y535
P05423	P19388
P05423	P61218
P05423	P52434
P05423	P0DPB5
P05423	P0DPB6
P05423	Q9Y2Y1
O14802	Q9NVU0
P13385	P36896
P25116	Q03113
P25116	Q14344
P21731	Q03113
P21731	Q14344
P07996	P98164
O43526	P0DP24
O43526	P0DP25
P18074	Q13888
P11387	Q9NS56
P27348	Q99698
P67870	Q99698
P19429	Q99698
O14964	Q99698
P11387	Q05519
P11387	P23246
P31946	Q99698
P11474	Q99698
Q14974	Q99698
Q92665	Q99698
Q96DF8	Q99698
Q99698	Q9UBB6
P57723	Q99698
Q99698	Q9NP79
Q6Y2X3	Q99698
Q8N137	Q99698
P54259	Q99698
O43281	Q99698
Q93074	Q99698
P52272	Q99698
P04637	P11388
P04637	Q02880
Q99698	Q9HC77
Q99698	Q9NRX2
Q96K83	Q99698
Q99698	Q9BZC1
P63104	Q99698
O76075	P11388
P11388	P62258
P05412	P11388
P63165	Q02880
P07766	Q02880
P21728	Q6Y2X3
P21728	Q9Y678
P21728	Q9UBF2
P0DP25	Q9HD67
P30626	Q13936
P30626	Q13698
Q16760	Q16760
Q13596	Q13596
O15539	P63096
O15539	P50148
Q15569	Q9C004
P18507	P21918
P43034	P68402
P43034	Q15102
Q01959	Q9NRD5
P07737	Q8N8S7
P07737	Q9NQX3
P24043	Q14118
O15230	Q14118
P08962	P11831
P11831	P18850
P46939	P46939
P46939	Q9Y4J8
P46939	Q15124
O75928	Q9UHL9
O75618	Q8WXF8
Q14790	Q8WXF8
O75618	Q14790
P10244	P50750
Q49AN0	Q99614
P53041	Q49AN0
P46459	P46459
P42575	Q92851
P49662	Q92851
P42574	Q92851
P55210	Q92851
Q92851	Q92851
P55211	Q92851
P55212	Q92851
P29466	Q92851
P49662	Q14790
P29466	Q14790
P27361	Q16690
Q01518	Q01518
P40123	Q01518
P63261	Q01518
P40123	P63261
O00180	O00180
Q13114	Q92956
Q13077	Q92956
P20333	Q13077
P36941	Q12933
P36941	Q13077
O00463	P36941
P11473	Q13573
P11473	P19793
P01127	P07996
P07996	Q14108
P04216	P04216
O75531	P42166
O75531	P42167
Q12800	Q86UQ8
Q12800	Q99496
Q01094	Q14188
P06400	Q14186
P06400	Q14188
P28749	Q14186
P28749	Q14188
P23511	P25208
Q9UHI6	Q9Y333
P62308	Q9UHI6
P62306	Q9UHI6
P62318	Q9UHI6
P62316	Q9UHI6
P14678	Q9UHI6
P62304	Q9UHI6
P62314	Q9UHI6
P04637	P18146
P18146	P25788
P18146	Q04206
P18146	Q13506
P01009	P08246
P07996	P08246
P08246	P30740
P07477	P08697
P01042	P08246
P01009	P24158
P24158	P30740
P15502	P24158
P15502	P17931
O00602	P15502
P11171	P11277
P23258	Q9HC77
P11171	Q9HC77
P11171	P52292
P16452	Q13813
O75821	P11171
P26641	Q9P2J5
P12081	P26641
P12081	P24534
P29692	P41250
Q9Y6C2	Q9Y6C2
O00255	P15927
O00255	P14136
O00255	P08670
P16581	Q92896
P14151	P16581
P05230	P21579
P22607	P55075
P05230	P22455
P08519	P27824
P05230	Q14512
P09038	Q14512
P07384	P25963
P25101	P29992
P24530	P29992
P02671	P14543
P02675	P14543
P23142	P23142
P14543	P14543
O75475	Q07955
O75475	P08047
P52948	Q9UBU9
P10586	P14543
P00533	Q03135
P00533	P56539
P00533	P21860
P08047	P53999
O75475	P53999
P00533	P27701
O95219	Q9UNH7
O60749	Q9UNH7
O00238	Q9UNH7
Q13705	Q9UNH7
P37023	Q9UNH7
Q13596	Q9UNH7
P37173	Q9UNH7
P36897	Q9UNH7
P16234	Q9UNH7
P06213	Q9UNH7
P00533	Q9UNH7
P48357	Q9UNH7
O60749	Q13705
O60749	P36896
Q13596	Q13705
P36896	Q13596
P00519	Q13322
P09619	Q13596
O60749	Q13596
P00533	Q13596
P06213	Q13596
P48357	Q13596
O60749	P16234
O60749	P09619
O60749	O95219
O60749	P00533
O60749	P06213
O60749	P48357
O95219	P16234
O95219	P09619
O95219	P06213
O95219	P48357
O95219	P00533
P00533	P51692
O15492	P00533
P00533	P17676
P15941	P21860
P15941	Q15303
P00533	P15941
P07948	Q9ULV8
P46108	Q9ULV8
Q8WXF8	Q92851
O75618	Q92851
O75618	O75618
Q8WXF8	Q8WXF8
P19438	P78560
P19438	P42575
O75376	P11473
P11473	Q9Y618
P11473	Q01196
P11473	Q06455
P63279	Q9NSC2
P63165	Q9NSC2
P68871	Q9H1J1
P68871	Q9BZI7
Q15596	Q15788
Q15596	Q9Y6Q9
P19474	Q15788
P19474	Q9Y6Q9
Q9Y6K9	Q9Y6Q9
O14920	Q9Y6Q9
O15111	Q9Y6Q9
P78527	Q96SD1
O75618	Q9Y5Q9
Q8WXF8	Q9Y5Q9
P29460	Q9NPF7
O15350	Q9H2X6
Q9H2X6	Q9H3D4
P10415	P63167
P63167	Q07817
P49023	P60484
O15350	P25208
O15350	Q13952
P17947	P23511
P23511	P32519
P08047	Q99612
P08047	Q06546
Q02447	Q06546
P08047	Q15796
P37275	Q13363
P37275	P56545
P13984	P29084
Q00403	Q13887
P20226	Q13887
P49715	P84022
P17676	P84022
P49716	P84022
P49715	Q13485
P17676	Q13485
P49716	Q13485
P11831	P17676
O43592	P62826
P52948	Q92973
P00533	Q13480
P00533	Q13546
P00533	Q99558
Q13546	Q99558
P00533	P09619
P00533	Q92529
P04629	Q92529
Q16620	Q92529
P00533	P29466
O14944	Q15303
O14944	P00533
P00533	P16591
P10588	Q15788
P04150	P10588
P10588	P10828
P03372	P10588
P10589	P35869
P03372	P61371
P61371	Q9BY49
P10589	P61371
P10589	Q00403
P01588	P19235
O00410	P35658
O00410	P49790
O00410	P62826
P21941	P56199
P26951	Q9NSE2
P19235	Q9NSE2
O00339	P21941
O15232	P21941
O95460	P21941
O00339	O95460
P46109	Q92835
P19235	P42229
P19235	P43405
P03372	Q8NI08
P20248	Q13415
P24941	Q13415
P20248	Q13416
P24941	Q13416
Q13309	Q13415
P10827	Q15648
O75448	Q07869
O75448	P37231
O75448	P19793
Q15648	Q9Y2W1
O75448	Q15648
P03372	Q12778
P03372	P98177
P03372	P27986
O15164	P29083
O15164	Q15545
O15164	Q15544
P03372	Q99933
O75376	P03372
P03372	P05412
P03372	Q8TD17
P03372	P55345
P03372	Q15796
Q06455	Q96ST3
Q05516	Q06455
P49959	Q15554
O60934	Q15554
P25963	Q99558
O95163	P25963
O14920	O95163
O15111	O95163
O95163	Q99558
P10275	P35269
P10275	P13984
P10275	P20226
P13984	P24928
P20248	Q13309
P24941	Q13309
Q01094	Q13309
Q01094	Q13616
P32780	Q01094
P50613	Q01094
P25440	Q01094
Q00577	Q01094
P51946	Q96AE4
P32780	Q96AE4
P10275	P32780
P35269	Q00839
P24928	Q00839
P50613	Q00839
P32780	P51946
P00519	Q8N488
P00519	Q13177
P00519	Q9NWQ8
P00519	P62826
P00519	P16333
P00519	P19174
P02786	P02787
P02787	Q9UP52
P01112	Q96RT1
P01111	P48736
P01112	P48736
P01127	P01127
P01116	P48736
P67870	Q9UBF6
P67870	Q02880
P67870	Q8TAE8
P20290	P67870
P67870	Q86VB7
P67870	Q9UNN5
P14598	P67870
P67870	Q14978
O14908	P17643
P18206	P35221
P08670	P33151
P35221	Q12959
O60516	P06730
Q01844	Q14289
P0DP23	Q01844
P19447	Q01831
P19447	P62195
P35221	Q01082
P28715	P78549
Q7Z7M9	Q93063
Q12931	Q93063
Q12931	Q16394
P35222	Q9UI47
P00746	P08697
P00747	P13726
P35222	Q9Y2T1
P00488	P02751
P25054	Q9Y2T1
P49841	Q9Y2T1
P15941	Q05655
P00488	P02671
P35222	P46940
P10586	P14923
P35222	Q15078
P15311	P35222
P12830	P15311
P02679	P05160
O14640	P48730
O14640	P49674
P25445	Q9BWQ8
P06241	P25445
P35222	Q92729
P35222	Q15262
P14923	Q15262
Q9UKL3	Q9UKL3
Q13158	Q9UKL3
P25445	Q9UKL3
Q14790	Q9UKL3
Q00839	Q99608
O75888	P19438
O75888	Q92956
O75888	P25445
O00300	O75888
P06239	P25445
P48023	Q12923
P09211	P45983
P22087	Q9Y237
P17844	P22087
P02671	P04196
P02671	P07996
P02671	P33151
P02671	P02671
P02675	P23142
P02675	P08519
P02679	P02679
Q05193	Q05193
O75056	P09038
P09038	P11362
O75487	P09038
P09038	Q02878
Q15843	Q9UBT2
O14964	P46934
O75592	P01106
P01106	Q99417
O15350	P01106
P01106	P45983
P12931	Q03135
O95297	P12931
P12931	Q12929
P12931	Q16832
Q13588	Q9UQC2
P12931	Q9UQC2
P16333	Q9UQC2
P19174	Q9UQC2
P12931	P42679
P12931	Q15746
Q02297	Q15303
O14511	Q15303
O14511	P21860
P01137	P62258
P01137	P20742
P20742	P61812
Q13485	Q8WUH2
P36897	Q03135
P36897	Q15796
Q03135	Q15796
P36897	Q13485
P21980	P21980
Q02246	Q92823
P32004	Q02246
Q02246	Q12860
O14594	Q02246
P46531	Q969H0
Q8IZL2	Q92585
Q92585	Q96JK9
P46531	Q8IZL2
P46531	Q96JK9
P23528	P60174
P09493	P45379
P07951	P09493
P19429	P45379
P13805	Q13976
P19237	P63316
P48788	P63316
P17752	P63104
P23258	P49023
O14920	P21580
O15111	P21580
P21580	Q9Y4K3
O43422	Q13043
O43422	O43422
O43422	P04637
P04637	P50613
P04637	P51948
P04637	Q9BVP2
P04637	Q53T94
P04637	Q15573
P04637	Q15572
P17480	Q15573
P17480	Q53T94
P04637	P27361
P04637	P28482
P04637	Q9NS56
P04637	Q93009
P04637	P38646
P04637	Q9UK53
P04637	P09884
P04637	Q16637
P04637	Q99973
P04637	P51946
P04637	Q13625
P04637	Q14974
P04637	P11142
P04637	P19544
O95997	P04637
P04637	Q16594
P04637	Q8IWT3
Q8IWT3	Q8IWT3
Q12933	Q9Y572
P19438	Q9Y572
P19438	Q8WXG6
Q13546	Q15628
Q13077	Q13546
Q13114	Q13546
P19438	Q12933
Q13077	Q15628
P19438	Q13077
P20333	P20333
O95429	P11142
P11142	P19438
P19438	P78356
P78356	P78356
P19438	P55210
P20333	P48729
P40126	P40126
P07101	P27361
P07101	P28482
O14908	P04629
O14908	Q16620
O14908	P49795
P04629	P49795
Q13501	Q16620
Q13501	Q16288
Q01081	Q9UBU9
P19544	P26368
O60716	Q96RT1
O00192	Q96RT1
P12830	P46940
P08311	P18827
P06396	P19174
P17676	P49716
P17676	P49715
P24941	P49715
P11802	P49715
P17947	P49715
P49716	Q04206
P24385	P38936
P38936	Q01105
P25788	P38936
O96020	P24941
P24941	P61024
P33552	P33552
O15392	P24941
O15392	P55211
Q01538	Q13526
P06493	P31947
P05771	P20700
P05771	P06493
P18074	P28715
P06493	Q05516
P49736	Q15560
P20226	P49736
P24863	P49736
P02751	Q16819
P02751	Q16820
P02751	P26010
P34741	Q06141
P02751	Q06141
P02751	P34741
P02751	P16473
P05019	Q8N6C5
P02751	P23142
P05556	P31946
P05556	P15531
P06241	P49023
P05556	P49023
P26006	Q14192
P05107	Q14192
P18564	Q14192
P05556	Q14192
P08514	P16671
P05106	P16671
P16671	P23229
P16671	P21926
P05556	P16671
O00214	P26006
O00214	P05556
O00214	P13612
O75578	P05556
P05556	P08195
P17301	P25391
P25391	P56199
P25391	P98160
P05556	P25391
O43493	P05556
Q12929	Q15464
P12931	Q15464
P27986	Q15464
P11362	Q15464
P11362	Q14449
P17676	Q12778
P20719	Q12778
P41235	Q12778
P09958	Q96CW1
P09958	Q6VY07
P06241	P06241
P06241	P18433
P06241	Q13224
P06241	P54829
P07948	Q9HBA0
P12931	Q9HBA0
P07947	Q9HBA0
P06239	Q9HBA0
P08631	Q9HBA0
P06241	Q9HBA0
P06241	P54764
P07948	Q9HCN6
P06241	Q9HCN6
P06239	Q07666
O15111	P63279
P46060	P62826
P30041	P30041
P46109	Q9UQC2
P51532	Q86U42
Q86U42	Q9UDY4
Q13573	Q86U42
P15172	Q13573
P15172	Q86U42
O00628	O75381
O75381	O75381
P35754	Q99683
P31947	Q14258
O14933	Q14258
P06241	P29597
P06241	P43405
P06241	P29322
P43405	Q9Y3P8
P43403	Q9Y3P8
Q06124	Q9Y3P8
P06239	Q9Y3P8
P06241	Q9Y3P8
P04216	P06239
P04216	P06241
P06241	P20916
P06241	Q07912
P61978	Q08881
P22681	Q08881
P15498	Q14289
P06241	Q07889
P05107	Q15762
P06241	Q15762
P00709	P15291
P10827	P35637
P19793	P35637
P35637	Q04206
P05129	P14867
P14867	Q05655
P05129	P48169
P05412	P23769
P23769	Q8IX07
O43707	P06396
P04150	P40424
P04150	P14653
P04150	Q99933
P04150	P04637
P04049	P04150
P05412	P63279
P27986	Q16620
Q16620	Q9NRF2
O43639	Q16620
P62330	Q13393
P31749	P53365
Q04637	Q09161
P53999	Q16633
O14610	P48050
P63252	Q12959
P16333	P56945
P16333	Q8IZP0
O43516	P16333
P07737	P16333
O60496	P16333
P12931	P51636
P16333	P51636
P20936	P51636
Q07812	Q92843
Q16611	Q92843
Q13323	Q92843
P20226	Q9UNN4
P05155	P48740
O00187	P05155
P48740	Q15485
O00187	Q15485
P29323	P52799
O95343	Q92570
P33991	P33992
P33992	Q14566
P42224	P52294
P19320	Q92583
O00626	P19320
O14786	P49765
O14618	Q02410
O00560	P35240
O15049	P46934
Q8TD23	Q9Y4K3
O43707	Q9UQM7
O43707	Q13554
P09683	P32241
Q14511	Q8TDZ2
P12931	Q8TDZ2
P62993	Q8TDZ2
P00519	Q8TDZ2
P46108	Q8TDZ2
P08670	Q8TDZ2
P08670	Q16831
O95045	P08670
P41212	Q01543
Q01543	Q13351
P22626	P40337
P40337	Q8TEY7
Q15369	Q8TEY7
P09874	Q9UGN5
P18887	Q9UGN5
P06746	Q96T60
P17097	P18124
P49748	P49748
P04424	P04424
P20933	P20933
P00736	P05155
P12259	P12259
P01042	P05107
O75369	P07359
P06737	P06737
P10619	Q99519
O15530	P17612
P19438	Q13490
Q15628	Q15628
Q92845	Q9UQE7
Q13077	Q9Y6Q6
Q13114	Q9Y6Q6
Q12933	Q13233
Q12933	Q9Y4K4
P27361	P78347
P11473	Q9Y6Q9
P37198	Q13114
Q13114	Q13114
Q13114	Q8TDR0
Q8TDR0	Q9Y4K3
O15344	P78318
P78318	Q9UJV3
P21333	Q9UQQ2
P51610	Q13105
P54762	Q14451
O14777	P35998
O15400	P78347
O15400	O43752
O43290	P01854
Q9GZT4	Q9GZT4
Q86Y13	Q86Y13
O43827	O43827
Q9HD42	Q9UN37
P34981	P34981
O75575	Q16602
Q05329	Q99259
P31937	P31937
Q4KMG0	Q9BWV1
Q9HBW9	Q9HBW9
Q9P2V4	Q9P2V4
O00526	O00526
O14593	P48382
O14836	Q12933
O00463	O14836
O14836	Q9Y4K3
Q13888	Q92759
P50613	Q13888
P51946	Q13888
P32780	Q13888
Q16849	Q9H254
Q92932	Q9H254
O95999	Q12933
O95999	Q13490
O95999	Q13489
P50616	Q15418
Q13077	Q99558
Q12933	Q99558
Q13114	Q99558
O14920	Q99558
O94972	Q13077
O94972	Q12933
O94972	Q13114
O94972	Q9BUZ4
O00463	O94972
O94972	Q9Y4K3
O94972	O94972
Q13077	Q93009
Q12933	Q93009
Q13114	Q93009
Q93009	Q9BUZ4
O00463	Q93009
Q93009	Q9Y4K3
O43791	Q13077
O43791	Q9Y4K3
O94972	P20333
O94972	P36941
O94972	P08138
O43561	Q92918
P30307	Q9H4B4
P30307	P46934
P10636	P63104
P10636	P31946
P11137	Q13402
P0DP23	Q13402
P11137	P11137
P08670	Q15149
P11137	Q15149
P02549	Q15149
Q13813	Q15149
P20916	P46821
O75030	P26367
O75030	P19532
O14948	O75030
P08670	P22392
P15531	P55042
P15531	Q13009
P15531	P63000
P15531	Q86TP1
P01189	P32245
P01189	P33032
P01189	P41968
P01189	Q01726
P61244	Q99583
Q99583	Q99583
Q96ST3	Q99583
Q96ST3	Q9BW11
P61244	P61244
P10911	Q07912
P98170	Q9Y5V3
P10911	Q14344
P98170	Q6GPH4
P08670	P68133
P08670	Q13813
P08670	P20700
P20700	Q13813
P68133	Q13813
P26038	Q13813
P51114	P51114
P41743	Q8WU20
P51813	Q13153
P15153	P52565
O75914	Q14155
P35609	Q08043
O14936	Q02410
O60244	P52630
P10275	Q15648
O75448	P41235
P41235	Q9NVC6
P41235	Q9Y2X0
O43513	P41235
P41235	Q13503
P41235	Q9BTT4
O15488	P46976
Q9Y2G2	Q9Y6K9
O43734	Q9Y6K9
O15111	O43734
O14920	O43734
O75154	P62491
Q15907	Q6WKZ4
Q15907	Q7L804
O75154	Q15907
Q15907	Q9BXF6
P57735	Q6WKZ4
P57735	Q7L804
O75154	P57735
P57735	Q9BXF6
O60296	Q9UPV9
O15294	Q96ST3
Q05086	Q9UMX0
P60900	Q9UHD9
Q96CG3	Q9Y4K3
Q96CG3	Q96CG3
P51617	Q96CG3
P56545	Q8WW38
P04000	P49792
O60828	P20265
O60828	P54253
Q99836	Q9NWZ3
O60828	P24928
Q9NWZ3	Q9Y4K3
P51617	Q9NWZ3
P52597	P83876
Q92838	Q9UNE0
O43164	P62837
P62837	Q8NG27
O60563	Q15596
O60563	Q4V328
P50148	Q06187
Q06187	Q06187
Q4V328	Q9Y3R0
Q9Y3R0	Q9Y6R0
P42574	Q4V328
P42566	Q8NFH8
P42768	Q9NZM3
P24386	Q9H0U4
P50402	Q8NF91
P50402	Q96IK5
Q13424	Q9Y4J8
P49023	Q9ULH1
Q8NFH8	Q9Y6I3
P48556	Q9Y5K5
Q99871	Q9Y5K5
P33993	Q7L590
Q13416	Q7L590
P24941	P33991
P04150	Q9UBK2
P17676	Q13263
P04150	Q13263
P04150	P08235
P04150	Q9UBC0
P08235	Q15185
P04150	Q15185
P35557	Q14397
P10321	P11021
P11142	P16949
P01130	P11021
P01266	P11021
P01266	P01266
P11021	Q8IXB1
O60566	P30260
O60566	Q13042
O60566	Q9UJX3
P00505	P11142
P42261	P48058
Q13003	Q16478
P30260	Q8NHZ8
O14514	P78352
P17252	P78352
P78352	Q14957
Q92796	Q9P021
Q14957	Q92796
O14910	P78352
P78352	Q9HAP6
Q13224	Q9HAP6
O14910	Q13224
Q03013	Q03013
P09488	Q99683
P28161	P28161
P09488	P28161
P04406	P54253
P04406	P10275
P04406	Q13087
P00751	P27918
P02763	P05121
P30304	P31946
P30304	P62258
P24941	P30305
P30304	P78396
P10244	Q13309
P10275	P30305
P15291	Q9UQ88
Q15287	Q9UQ88
Q16629	Q9BWU1
P62070	Q12967
P62070	Q13671
P55196	P62070
P60953	Q9BZ29
P02749	P07355
P60953	Q6NZY7
O14613	P60953
P63000	Q9H7P9
P60953	Q9H7P9
