Q12834	Q9BY44
Q01831	Q93009
Q13618	Q8NEA9
Q13618	Q9NPC7
Q13618	Q9C000
Q06828	Q13618
P33076	Q13618
Q13618	Q6P9F7
Q13618	Q86UN2
Q13618	Q5VWM4
Q13618	Q96RT1
Q13618	Q38SD2
Q13618	Q9ULH4
Q13618	Q96NW7
Q13618	Q9NWT1
P54198	Q13618
Q09019	Q13618
P35606	Q13618
O75382	Q13618
Q13049	Q13618
Q13618	Q8TED0
Q13618	Q9NSI6
Q13618	Q969U6
A4D1P6	Q13618
Q13618	Q8N5D0
Q13618	Q8WWQ0
Q13618	Q9P2L0
Q13618	Q8TAF3
Q13618	Q8TC44
Q13618	Q9H967
Q13618	Q9BTV6
Q13618	Q96KV7
O75083	Q13618
Q13618	Q6ZS81
Q13618	Q96L50
Q96L50	Q9H0C5
Q06828	Q9H0C5
Q06828	Q9Y2Y4
Q8TE49	Q9Y4K3
Q14457	Q9NYF0
Q8NEB9	Q9NYF0
Q6ZNE5	Q9NYF0
P10636	Q7KZI7
P10636	P68366
P98170	Q99759
Q13490	Q9Y2U5
Q13490	Q99759
O95630	Q9Y2U5
O75604	Q9Y2U5
P02686	Q99759
Q99759	Q9Y2U5
O14733	Q99759
Q13164	Q9Y2U5
P0C2W1	Q96IZ0
O43474	Q8WTS6
O43623	P04637
O43623	Q9UDY2
O43623	Q99460
O43623	P62714
O43242	O43623
O43623	P25788
O43623	Q5H9R7
O43623	Q9UNE7
O43623	Q66LE6
O43623	P62191
O14757	Q53H47
Q86TM6	Q9Y2K9
Q6AZZ1	Q92734
Q6AZZ1	Q9C000
P08670	Q6AZZ1
Q13410	Q6AZZ1
P14866	Q6AZZ1
P14625	Q6AZZ1
P04198	Q13049
O00423	P68363
O00423	Q13509
O43313	O95071
O43313	Q13315
Q04206	Q13315
P50750	Q13315
P24928	Q13315
Q99496	Q9C0C7
A8K0Z3	Q99496
Q8NEB9	Q99496
Q14457	Q99496
Q6ZNE5	Q99496
Q7KZI7	Q9UQB8
Q13263	Q16665
Q16665	Q96ST3
O15055	P04637
O15055	P13693
O15055	Q00987
Q13501	Q99814
P11279	Q99814
Q99814	Q9H492
O60260	Q9NX09
Q8NHY2	Q9UKK3
Q8NHY2	Q96RU8
P17275	Q8NHY2
P15036	Q8NHY2
P14921	Q8NHY2
Q13009	Q9Y297
O60566	Q15645
Q13257	Q15645
Q15645	Q9Y6D9
P48729	Q13009
P49674	Q13009
P40763	Q9UPT9
O95630	P19438
P09936	P19438
O76064	P19438
O76064	P01375
P01375	P61088
P06400	Q9Y2K7
Q01094	Q9Y2K7
P01375	Q13158
P01375	Q14790
P01375	P20339
P01375	P13473
P61956	Q9BQF6
Q13263	Q9BQF6
P14373	P23759
P14373	P15172
P15172	P23759
O95630	P17302
P20929	Q2TBA0
Q0VAK6	Q2TBA0
P21796	Q2TBA0
Q09666	Q2TBA0
Q2TBA0	Q5T0F9
P84243	Q15326
Q7Z6Z7	Q9UQ13
O14807	Q9UQ13
O14807	Q7Z6Z7
P04049	Q7Z6Z7
P0CG48	Q8TEY7
P07197	Q15020
P26640	Q15020
O75533	Q15020
Q12769	Q15020
P41252	Q15020
Q15020	Q4VCS5
Q15020	Q9Y2W1
Q15020	Q9NYF8
P0CG48	Q15020
Q14126	Q15020
P62820	Q15020
Q15020	Q16665
P42704	Q15020
Q08211	Q15020
P67775	Q14674
P30153	Q14674
Q14674	Q15172
O95997	Q15172
O95997	Q9UQM7
Q13191	Q14289
P33241	Q9NNX6
Q9NNX6	Q9NQC7
Q14164	Q9NNX6
Q09472	Q8N668
Q13635	Q96J02
O00308	Q13635
P46934	Q13635
Q13635	Q96PU5
Q13635	Q9HCE7
Q13635	Q9HAU4
Q13635	Q9H0M0
P12004	Q5FWF4
P12004	P33993
P12004	P33991
P12004	Q13569
O15304	Q9NS91
Q13569	Q9NZJ0
P55211	Q13635
Q13635	Q14192
P04908	P38398
Q07021	Q96RL1
P34932	Q96RL1
P62753	Q96RL1
Q969K3	Q9Y239
O15524	P32927
Q14694	Q14694
P04637	Q8IWR1
O75385	P58004
P58004	Q8TDY2
O75143	P58004
O75385	Q13501
P31749	Q8N6T7
Q00987	Q8N6T7
P12757	Q9UPN9
P26651	Q12933
O75604	Q9NS91
P42345	Q5VZM2
O75376	Q99623
P08069	Q99623
Q9HB90	Q9NQL2
P61224	Q8N122
P00533	Q96PD2
Q96PD2	Q9Y4K3
O43707	P62879
P62879	Q9UQL6
P62879	Q02078
P62879	Q16778
P62805	P62879
O60260	Q07817
O60260	Q92843
O60260	Q07820
Q07817	Q9BXM7
Q92843	Q9BXM7
Q07820	Q9BXM7
Q02078	Q9UBI6
P20226	Q9UBI6
P20226	Q02078
Q02078	Q7Z7C8
P20226	P62879
P62879	Q7Z7C8
P62879	Q13469
P42224	P62879
P40763	P62879
Q9H0E2	Q9H492
Q13501	Q9H0E2
Q14596	Q9H0E2
Q8IYU2	Q96CV9
Q13501	Q96CV9
P61956	Q92985
P55854	Q92985
P35462	Q86UV5
Q53GS9	Q9UBE0
P0DMV8	Q9UBE0
P54652	Q9UBE0
P42345	Q6MZQ0
Q6MZQ0	Q9BPZ7
P05109	P19878
P06702	P19878
P10636	P27348
O00141	P63104
O00141	P27348
P07947	P35326
P35326	P46108
P00519	P35326
P00519	P55211
P31749	P98177
Q9NQX0	Q9NQX0
P83916	Q9NQX0
Q13547	Q9NQX0
Q92769	Q9NQX0
O15379	Q9NQX0
Q09472	Q9NQX0
Q9H9B1	Q9NQX0
P68431	Q9NQX0
P35326	P78352
P35326	Q92968
P08631	P35326
P35326	Q14247
P35326	Q08881
P12931	P35326
P68431	Q13029
P78545	Q09472
P12956	P78545
P13010	P78545
P78545	Q02878
O75828	P78545
P12956	Q9NZC4
P13010	Q9NZC4
P63104	Q9NX09
Q9H3M7	Q9NX09
Q13315	Q16665
P17661	Q969Q1
P17661	Q9BYV6
P68133	Q9BYV6
Q9BYV6	Q9UBF9
P19429	Q969Q1
P19429	Q9BYV6
P48788	Q9BYV6
P19237	Q9BYV6
Q14896	Q9BYV6
Q00872	Q969Q1
Q00872	Q9BYV6
Q8WZ42	Q9BYV6
O15273	Q9BYV6
P20929	Q9BYV6
O76041	Q969Q1
O76041	Q9BYV6
P21333	Q9BYV6
O75369	Q9BYV6
Q14315	Q969Q1
Q14315	Q9BYV6
Q15327	Q969Q1
Q15327	Q9BYV6
Q14192	Q969Q1
Q14192	Q9BYV6
Q9BYV6	Q9NP98
O75832	P34932
O75832	P07900
O00299	O75832
O75832	Q12849
O75832	O94760
O75832	Q02750
O43639	O75832
Q8IWV7	Q99741
Q96PU4	Q96PU4
O00233	P0DML2
O00233	Q96BH3
O75925	Q969Q1
O75925	Q9BYV6
Q969Q1	Q9Y6X2
Q9BYV6	Q9Y6X2
O75928	Q969Q1
O75928	Q9BYV6
Q58WW2	Q969Q1
Q58WW2	Q9BYV6
Q969Q1	Q9UBK9
Q9BYV6	Q9UBK9
Q9BYV6	Q9Y692
Q969Q1	Q9NZU5
Q9BYV6	Q9NZU5
Q15155	Q969Q1
Q15155	Q9BYV6
P26641	Q969Q1
P26641	Q9BYV6
Q969Q1	Q96RP9
Q96RP9	Q9BYV6
P60228	Q969Q1
P60228	Q9BYV6
Q8IXM3	Q969Q1
Q8IXM3	Q9BYV6
P49406	Q969Q1
P49406	Q9BYV6
Q08426	Q969Q1
Q08426	Q9BYV6
P06576	Q969Q1
P06576	Q9BYV6
O15239	Q969Q1
O15239	Q9BYV6
P12277	Q969Q1
P06732	Q9BYV6
Q53GT1	Q9P2J3
Q5HYK3	Q9Y3A0
Q5VVQ6	Q8TAT6
Q5VVQ6	Q92890
P61586	Q8WZ19
P61586	Q13829
Q14191	Q92793
P31749	Q14643
P31749	Q14573
Q12778	Q14192
P51668	Q9Y252
P45983	P63104
Q8IYW5	Q8IYW5
P00519	P46937
P42684	Q15642
O14908	P0DPQ6
O14908	P35638
O00429	P43355
O00429	P43357
O00429	P31350
O00429	Q8WXD2
O00429	Q99961
O43679	Q969G2
O43679	Q8TAP4
O43679	Q5U651
O43679	Q96NA2
O43679	P81877
O43679	Q9BWW4
O43679	Q99598
P47712	Q96GS4
P47712	Q01518
P47712	Q04323
P47712	Q04206
P47712	Q9HD64
Q16181	Q99719
Q96EK4	Q9BUW7
Q96CN5	Q96EK4
O15212	Q96EK4
P62195	Q96EK4
P12955	Q93009
Q13418	Q6R327
P42345	Q13418
P31751	Q05513
Q09161	Q9BZI7
Q09161	Q9BY77
P55884	Q09161
P23443	Q09161
P42345	Q09161
P06730	P23443
P06730	P42345
O60543	Q9Y478
Q13085	Q9Y478
P54619	Q13085
O15111	P42345
O14920	P42345
P42345	Q9Y6K9
O15111	Q8N122
O14920	Q8N122
Q8N122	Q9Y6K9
Q04206	Q9Y6K9
P25963	P42345
Q13393	Q15382
E9PAV3	P20290
P20290	Q13765
P31749	Q13322
P62258	Q13322
P42684	P42684
P23443	Q15382
P31749	Q86V81
Q13158	Q9H1Y0
O94817	Q13158
Q96LR5	Q9Y4X5
O00141	P42345
O00141	Q8N122
O00141	Q96B36
O00141	P46527
P00519	P01100
P62820	Q8N2Y8
Q08379	Q8N2Y8
Q15717	Q9UBN7
P31749	P67809
P31749	P68400
P23769	P31749
P31749	Q9UBP6
P18054	P18054
P37231	Q13131
P37231	P54646
Q15831	Q96EB6
Q09472	Q12778
P26927	Q12778
P28482	P52564
P08238	P08238
Q9NS75	Q9Y271
P22736	Q9HD36
P22736	Q16548
P10415	P10415
Q13111	Q14457
Q13111	Q6ZNE5
P06493	P07900
P06493	P34932
P07900	P30307
P30307	Q16543
P30307	P34932
P31749	Q16778
P31946	Q9NX09
P00519	P06493
P60323	Q8TB72
O75928	P49137
Q13164	Q16236
Q13547	Q16236
Q16236	Q92769
O15379	Q16236
O15379	Q02078
P27348	Q8NEB9
O00459	P27348
Q92793	Q9Y5W3
Q09472	Q9Y5W3
P14784	Q16610
P49841	P56524
Q05513	Q13164
P26599	Q15233
P00519	P35269
P00519	P30279
Q92831	Q9Y5W3
P19338	P27986
P19338	Q14103
Q14103	Q92831
O60481	P11831
Q03405	Q9BY14
P00749	Q9BY14
P24522	P27695
P24522	Q9UNL4
P24522	P42345
P24522	P40763
P13693	Q07817
P13693	Q07820
P13693	Q13885
P18054	P62736
P42684	P62993
P33527	P33527
P05412	P49841
P05412	Q08209
O60240	Q05469
O60240	O60240
P26651	P67775
Q13541	Q9BVC4
P42684	Q13671
P01112	P42684
P07451	P12931
P10636	P31749
P10636	P24941
O75581	P36955
P07900	P41222
P07900	Q13258
P28482	Q13258
P27361	Q13258
P47712	P60903
P07355	P47712
P08670	P14555
P42574	Q15185
P11021	Q96SL4
P38646	Q96SL4
P13667	Q96SL4
P68104	Q96SL4
Q96SL4	Q9UBS4
P16401	Q96SL4
P16144	Q13822
Q13822	Q92633
P16144	Q92633
P42771	Q07817
Q07817	Q8N726
P42771	Q07021
Q07021	Q8N726
P42771	Q14457
Q14457	Q8N726
P27361	P49675
O75469	P23443
P48736	Q14457
P36897	P49768
P36897	P46531
P0CG48	P49768
P42345	Q8TAI7
P19835	P78380
O14495	O14495
O43167	Q07812
O00429	O43167
P06493	Q96EB6
P14635	Q96EB6
O43791	P10070
Q7Z434	Q96AX9
P15976	P31749
O15287	Q96RL1
O15287	P46736
O15287	Q6UWZ7
P04637	Q99576
Q00987	Q99576
P04637	P0CG48
Q9H6R0	Q9UPN9
P61088	Q9UPN9
P51965	Q9UPN9
Q96P20	Q9H6R0
O75460	Q9UNE7
O75460	Q96FW1
O75460	P09936
O75460	Q9UKT6
O75460	Q86XK2
O15519	P06396
P06396	Q96J02
P62736	Q9C026
Q9C026	Q9UKB1
Q9UJY4	Q9Y3C5
Q96J02	Q9NZ52
Q5VT06	Q9NQC7
P30260	Q4G163
Q12834	Q4G163
P22314	Q8WUN7
P45974	Q8WUN7
P22314	P45974
P04637	Q13049
Q8TCT9	Q9BUN8
P17861	Q8TCT9
P17861	Q9BUN8
Q14204	Q8NG06
O14576	Q8NG06
Q8NG06	Q8TCX1
O43237	Q8NG06
Q8NG06	Q8NG06
P61077	Q8NG06
P20701	Q9H0F6
P11215	Q9H0F6
Q13349	Q9H0F6
P06213	P32121
P31749	Q96DZ5
P31751	Q96DZ5
P21580	P27348
P21580	Q9Y508
P06493	Q9Y297
P14635	Q9Y297
Q9H2X6	Q9NY61
Q8WWW0	Q9Y297
P62258	Q9NZJ0
P27348	Q9NZJ0
P63104	Q9NZJ0
P31946	Q9NZJ0
P61981	Q9NZJ0
Q04917	Q9NZJ0
P31947	Q9NZJ0
Q969V5	Q96LR5
P60604	Q969V5
P68036	Q969V5
O95166	Q969V5
Q12933	Q8TF05
Q8TF05	Q9Y4K3
P22681	Q15303
O60858	Q9Y6K9
P46934	Q93034
O95760	Q9UK80
O14503	Q9UK80
O14503	Q9Y297
O14503	Q9UKB1
P04637	P0DMV9
P04637	P54652
P04637	P17066
P04637	Q9UL15
P04637	P98179
P04637	Q14498
P04637	Q13247
O00571	P04637
P04637	Q562R1
P04637	Q9NY65
P04637	P35579
P04637	Q15746
O00159	P04637
P04637	Q9UM54
P04637	P09493
P04637	P06753
P04637	P67936
P04637	P47756
P04637	P06396
P04637	P08670
P04637	Q07065
P04637	Q9ULV4
P04637	Q16643
P04637	P21333
P04637	Q9UHB6
P02545	P04637
P04637	P46779
P04637	P62701
P04637	P62277
P04637	P62249
P04637	P62269
P04637	P39019
P04637	P14866
P04637	Q86V81
P04637	Q05682
P04637	Q9H444
P04637	P09496
P04637	P09497
P04637	Q00610
P04637	Q9BTZ2
O60841	P04637
P04637	P62879
P04637	P78347
P04637	P55084
P04637	Q8N5Z5
P04637	Q8ND56
P04637	P61626
O00746	P04637
O14974	P04637
O14744	P04637
P04637	P05141
P04637	Q9Y2W1
P04637	Q9BQA1
P04637	Q9GZQ8
P54252	Q13501
P0C2W1	P19022
P0C2W1	P35222
P19022	P63208
Q96K76	Q9BVG8
P63208	Q9BQ15
Q13616	Q9BQ15
Q9BQ15	Q9UKA1
O14773	Q93009
O14773	Q9BSI4
O14746	O14773
O14773	Q9NUX5
O14773	Q2NKJ3
O14773	Q9H668
Q8IXI1	Q9BXM7
Q13547	Q16531
Q16531	Q92769
Q16531	Q96ST3
Q16531	Q4LE39
Q16531	Q9H0E3
Q16531	Q9H7L9
O75446	Q16531
P09455	Q16531
Q13547	Q13620
Q13620	Q92769
Q13620	Q96ST3
Q13620	Q4LE39
Q13620	Q9H0E3
Q13620	Q9H7L9
O75446	Q13620
P09455	Q13620
Q16891	Q9BXM7
P35579	Q7Z6Z7
Q16531	Q7Z6Z7
Q7Z6Z7	Q9NX09
P31749	Q53GL0
P31751	Q53GL0
Q53GL0	Q9Y243
P10636	Q14203
P0CG47	Q7Z6Z7
P62318	Q7Z6Z7
P61313	Q7Z6Z7
P46781	Q7Z6Z7
P07814	Q7Z6Z7
P60900	Q7Z6Z7
O00763	Q7Z6Z7
P23396	Q7Z6Z7
Q01130	Q7Z6Z7
P62244	Q7Z6Z7
O14818	Q7Z6Z7
Q00610	Q7Z6Z7
P40429	Q7Z6Z7
P40926	Q7Z6Z7
P35606	Q7Z6Z7
O14980	Q7Z6Z7
P54819	Q7Z6Z7
P12277	Q7Z6Z7
P25788	Q7Z6Z7
P04908	Q7Z6Z7
P00558	Q7Z6Z7
P25789	Q7Z6Z7
P14625	Q7Z6Z7
O43809	Q7Z6Z7
P08238	Q7Z6Z7
Q7Z6Z7	Q9UNM6
Q7Z6Z7	Q8TDH9
Q12874	Q7Z6Z7
P13639	Q7Z6Z7
P09874	Q7Z6Z7
P49736	Q7Z6Z7
P25786	Q7Z6Z7
Q7L014	Q7Z6Z7
Q14697	Q7Z6Z7
P23526	Q7Z6Z7
P40937	Q7Z6Z7
P33991	Q7Z6Z7
Q7Z6Z7	Q99460
P38919	Q7Z6Z7
E9PAV3	Q7Z6Z7
Q13765	Q7Z6Z7
Q14CZ0	Q7Z6Z7
Q7Z6Z7	Q99436
P55060	Q7Z6Z7
P62847	Q7Z6Z7
P07900	Q7Z6Z7
O14602	Q7Z6Z7
P00338	Q7Z6Z7
Q7Z6Z7	Q9Y4E8
Q7Z6Z7	Q9Y5K5
P53396	Q7Z6Z7
P04406	Q7Z6Z7
Q7Z6Z7	Q92688
P25787	Q7Z6Z7
O43684	Q7Z6Z7
P00918	Q7Z6Z7
O00487	Q7Z6Z7
Q15084	Q7Z6Z7
P31689	Q7Z6Z7
P19338	Q7Z6Z7
P63104	Q7Z6Z7
P28066	Q7Z6Z7
O00410	Q7Z6Z7
O43707	Q7Z6Z7
P27824	Q7Z6Z7
P62241	Q7Z6Z7
P62937	Q7Z6Z7
P62081	Q7Z6Z7
P49411	Q7Z6Z7
P62829	Q7Z6Z7
Q12905	Q7Z6Z7
P22314	Q7Z6Z7
O00231	Q7Z6Z7
P11182	Q7Z6Z7
Q01105	Q7Z6Z7
Q13200	Q7Z6Z7
Q7Z6Z7	Q99714
Q15029	Q7Z6Z7
P04181	Q7Z6Z7
P04075	Q7Z6Z7
P25705	Q7Z6Z7
P46783	Q7Z6Z7
P36542	Q7Z6Z7
Q13162	Q7Z6Z7
P62191	Q7Z6Z7
P33176	Q7Z6Z7
O15294	Q7Z6Z7
Q12959	Q7Z6Z7
P22061	Q7Z6Z7
P26639	Q7Z6Z7
P30041	Q7Z6Z7
P22626	Q7Z6Z7
Q15393	Q7Z6Z7
Q13263	Q7Z6Z7
Q7Z6Z7	Q92598
P11177	Q7Z6Z7
P62195	Q7Z6Z7
P51665	Q7Z6Z7
P62333	Q7Z6Z7
P48556	Q7Z6Z7
P04632	Q7Z6Z7
O00303	Q7Z6Z7
Q7Z6Z7	Q96EY1
Q00839	Q7Z6Z7
Q07955	Q7Z6Z7
Q7Z6Z7	Q92499
Q13243	Q7Z6Z7
P05141	Q7Z6Z7
P17980	Q7Z6Z7
P10809	Q7Z6Z7
P46776	Q7Z6Z7
P34897	Q7Z6Z7
P56192	Q7Z6Z7
P39023	Q7Z6Z7
Q07021	Q7Z6Z7
P23246	Q7Z6Z7
P62701	Q7Z6Z7
P06733	Q7Z6Z7
P07195	Q7Z6Z7
P43686	Q7Z6Z7
O60763	Q7Z6Z7
P05388	Q7Z6Z7
P13010	Q7Z6Z7
P30040	Q7Z6Z7
O43681	Q7Z6Z7
Q7Z6Z7	Q9NTK5
P60842	Q7Z6Z7
P09429	Q7Z6Z7
Q09028	Q7Z6Z7
P50213	Q7Z6Z7
Q7Z6Z7	Q9Y2A7
P09622	Q7Z6Z7
Q15008	Q7Z6Z7
P07339	Q7Z6Z7
P35268	Q7Z6Z7
Q7Z6Z7	Q9NR30
P62906	Q7Z6Z7
P05023	Q7Z6Z7
P12236	Q7Z6Z7
Q07020	Q7Z6Z7
O00232	Q7Z6Z7
Q16186	Q7Z6Z7
P43307	Q7Z6Z7
Q09161	Q7Z6Z7
P04792	Q7Z6Z7
P55209	Q7Z6Z7
Q7L5D6	Q7Z6Z7
Q7Z6Z7	Q92890
O75390	Q7Z6Z7
P35998	Q7Z6Z7
P11498	Q7Z6Z7
P46777	Q7Z6Z7
Q7Z6Z7	Q9Y224
Q7KZF4	Q7Z6Z7
P53999	Q7Z6Z7
P52292	Q7Z6Z7
P62424	Q7Z6Z7
P06748	Q7Z6Z7
P84077	Q7Z6Z7
P61353	Q7Z6Z7
P39656	Q7Z6Z7
Q7L2H7	Q7Z6Z7
Q04917	Q7Z6Z7
P02786	Q7Z6Z7
P14618	Q7Z6Z7
Q7Z6Z7	Q99873
Q7Z6Z7	Q99623
P55084	Q7Z6Z7
P06576	Q7Z6Z7
P30050	Q7Z6Z7
P50395	Q7Z6Z7
O60762	Q7Z6Z7
Q7Z6Z7	Q9NQG5
Q14566	Q7Z6Z7
Q15459	Q7Z6Z7
P62917	Q7Z6Z7
P63241	Q7Z6Z7
Q12906	Q7Z6Z7
Q7Z6Z7	Q9H6E5
O95433	Q7Z6Z7
P12268	Q7Z6Z7
P05455	Q7Z6Z7
P31943	Q7Z6Z7
P05165	Q7Z6Z7
Q7Z6Z7	Q9Y678
P52655	Q7Z6Z7
P05198	Q7Z6Z7
P08559	Q7Z6Z7
Q16778	Q7Z6Z7
O75489	Q7Z6Z7
P35222	Q7Z6Z7
P06737	Q7Z6Z7
P26373	Q7Z6Z7
Q14974	Q7Z6Z7
O75937	Q7Z6Z7
Q7Z6Z7	Q96RQ3
Q06323	Q7Z6Z7
P08758	Q7Z6Z7
P68371	Q7Z6Z7
P47897	Q7Z6Z7
P61247	Q7Z6Z7
Q13885	Q7Z6Z7
P07437	Q7Z6Z7
O95994	Q7Z6Z7
Q7Z6Z7	Q9ULH7
P61981	Q7Z6Z7
P61163	Q7Z6Z7
P84103	Q7Z6Z7
P36578	Q7Z6Z7
P62269	Q7Z6Z7
P37108	Q7Z6Z7
Q7Z6Z7	Q9HAS0
Q15366	Q7Z6Z7
P62851	Q7Z6Z7
P06744	Q7Z6Z7
P13995	Q7Z6Z7
Q7Z6Z7	Q9Y266
P29692	Q7Z6Z7
Q6Y7W6	Q7Z6Z7
P62277	Q7Z6Z7
Q13011	Q7Z6Z7
P05166	Q7Z6Z7
P14678	Q7Z6Z7
Q7Z6Z7	Q8TD19
Q7Z6Z7	Q96QC0
Q00325	Q7Z6Z7
P62258	Q7Z6Z7
P25685	Q7Z6Z7
Q7Z6Z7	Q9H3U1
Q658Y4	Q7Z6Z7
Q15365	Q7Z6Z7
P27797	Q7Z6Z7
P61978	Q7Z6Z7
P51648	Q7Z6Z7
Q13347	Q7Z6Z7
P49321	Q7Z6Z7
Q6IN85	Q7Z6Z7
P62266	Q7Z6Z7
Q7Z6Z7	Q9UMS4
P42224	Q7Z6Z7
O43175	Q7Z6Z7
Q7Z6Z7	Q9BQE3
O43447	Q7Z6Z7
P62263	Q7Z6Z7
P35232	Q7Z6Z7
Q7Z6Z7	Q86T24
P52907	Q7Z6Z7
Q16576	Q7Z6Z7
Q7Z6Z7	Q92945
Q7Z6Z7	Q9Y3F4
P15927	Q7Z6Z7
Q15233	Q7Z6Z7
Q7Z6Z7	Q9Y383
P63244	Q7Z6Z7
P22234	Q7Z6Z7
Q13442	Q7Z6Z7
Q7Z6Z7	Q9HCC0
P62136	Q7Z6Z7
O43242	Q7Z6Z7
P47756	Q7Z6Z7
P06493	Q7Z6Z7
P11021	Q7Z6Z7
P60228	Q7Z6Z7
Q7Z6Z7	Q8NC51
O43324	Q7Z6Z7
O94842	Q7Z6Z7
P39019	Q7Z6Z7
P08708	Q7Z6Z7
Q7Z6Z7	Q9Y2J2
Q7Z6Z7	Q9NT62
P24534	Q7Z6Z7
Q7Z6Z7	Q9NQC3
Q7Z6Z7	Q9NZC7
P49327	Q7Z6Z7
P51571	Q7Z6Z7
P61289	Q7Z6Z7
O75534	Q7Z6Z7
P16949	Q7Z6Z7
P62249	Q7Z6Z7
P09661	Q7Z6Z7
P78346	Q7Z6Z7
P51003	Q7Z6Z7
P49959	Q7Z6Z7
Q15555	Q7Z6Z7
P17987	Q7Z6Z7
P78371	Q7Z6Z7
Q02878	Q7Z6Z7
Q7Z6Z7	Q9Y4P8
Q7Z6Z7	Q96HS1
Q6UXN9	Q7Z6Z7
P48643	Q7Z6Z7
Q3MHD2	Q7Z6Z7
Q7Z6Z7	Q9Y230
P49368	Q7Z6Z7
P50991	Q7Z6Z7
P40227	Q7Z6Z7
P55010	Q7Z6Z7
Q7Z6Z7	Q9Y265
P50990	Q7Z6Z7
Q7Z6Z7	Q9UHR5
Q7Z6Z7	Q99832
P14649	Q7Z6Z7
O60573	Q7Z6Z7
Q7Z6Z7	Q8WW12
P46109	Q7Z6Z7
O75663	Q7Z6Z7
P46108	Q7Z6Z7
P59780	Q7Z6Z7
P17252	Q9BYM8
P17252	Q96EP0
P24001	P24001
P24001	Q05516
P24001	Q8WW38
P02746	P24001
P16083	P24001
O15131	P24001
P11142	P24001
P24001	Q9H6E5
P24001	Q99608
P08621	P24001
P24001	P36578
P24001	Q05655
P24001	Q02156
Q02156	Q05516
P35637	P55072
P23246	P35637
P35637	P63104
P27348	P35637
P07737	P35637
P35637	P49327
P00558	P35637
P12277	P35637
P06733	P35637
P07195	P35637
P22234	P35637
O43175	P35637
P00338	P35637
P04406	P35637
P14618	P35637
P35637	Q8WWM7
P11586	P35637
P35637	Q13085
P00918	P35637
P04075	P35637
P06744	P35637
P35637	Q53H96
P17858	P35637
P35637	P36871
O95477	P35637
P00492	P35637
P35637	Q8IYS1
P29401	P35637
P22314	P35637
O00232	P35637
P35637	P55283
A6NMY6	P35637
P35637	P63092
P35637	Q5JWF2
O95467	P35637
P35637	P84996
P35637	Q9P212
P35637	Q8TD43
P35637	Q15758
P35637	Q5T6F2
P35637	Q14157
P35637	P61626
P35637	Q07065
O60688	P35637
P35637	P62805
P35637	P84243
P35637	Q16778
P35637	Q86XP3
P35637	Q14103
O60506	P35637
P35637	Q8IX18
P35637	Q15459
P35637	Q15393
P35637	Q15427
P35637	Q8NC51
P35637	Q8IYD8
P35637	Q9Y620
P12004	P35637
P35232	P35637
O15350	P35637
P35637	Q07020
P32969	P35637
P35637	P46781
P35637	P62380
P35637	Q15650
P35637	Q8IXB1
P35637	Q9UBE0
P09622	P35637
P00505	P35637
P25705	P35637
P09211	P35637
P35637	P49590
P35637	Q00325
P35637	P52292
P35637	P51149
P35637	Q9NWH7
P35637	Q9BZF9
P02808	P35637
P08758	P35637
P35637	Q99759
P0CG48	P35637
P07437	P35637
P23528	P35637
P35637	Q71U36
P35637	P60709
P35637	P52597
P31943	P35637
O43143	P35637
P35637	Q16630
P35637	Q12874
P35637	P61978
P35637	Q8WXF1
P14866	P35637
P35637	P46782
P35637	P62241
P30050	P35637
P04844	P35637
P13639	P35637
P26641	P35637
P07900	P35637
P35637	P48643
P35637	P40227
P08238	P35637
P35637	P78371
P35637	P50991
P14625	P35637
P35637	P49368
P35637	Q99832
P35637	P50990
P11142	P35637
P35637	Q8WUA2
P17987	P35637
P30101	P35637
P35637	P62937
P35637	Q04837
P00367	P35637
P06576	P35637
P35637	P38646
O75616	P35637
P35637	P49411
P10809	P35637
P32322	P35637
P35637	P40926
P35637	Q9UG63
P35637	Q14974
P35637	Q06830
P35637	Q9BS26
P08709	P35637
P02768	P35637
P35637	Q6NXE6
P35637	Q3MIX3
P35637	Q3V6T2
P35637	Q96P66
P35637	Q08881
P23743	P35637
P35637	Q9NSA0
P35637	Q8IVU3
P35637	P68363
P35637	Q765P7
P35637	Q8N8E3
P35637	P39060
P35637	P55735
P35637	P55209
P35637	P62316
P35637	Q86XI2
P35637	Q09028
P35637	Q3MHD2
O43809	P35637
P35637	Q92499
P35637	Q9Y224
P17844	P35637
P35637	Q5T1R4
P35637	Q14686
P35637	Q8IY67
P35637	Q15369
P35637	Q9NX01
P35637	Q6NXR4
P35637	Q17RS7
P35637	P50914
P35637	P62263
P06748	P35637
P35637	P62913
P35637	P36578
P35637	P60842
P35637	Q15366
P35637	P50502
P35637	Q15738
P35637	Q13126
P31153	P35637
P23526	P35637
P04181	P35637
P35637	Q9Y276
P05141	P35637
P35637	Q3ZCQ8
P35580	P35637
O00461	P35637
P35637	P55060
P35637	P62826
P35637	Q2TBA0
P35637	Q96PQ7
P01602	P35637
P13671	P35637
P35637	Q8ND71
P35637	Q99459
P35637	Q5JTW2
P35637	Q8NFT6
P35637	Q4VCS5
P35637	Q96KD3
P35637	Q08431
P35637	Q8NCA5
P35637	Q9BRQ4
P35637	Q9Y3I0
O94874	P35637
A6NIV6	P35637
P43405	Q96F46
O43734	P43405
P01889	P01889
P01889	Q92611
P53355	Q14457
P47712	Q9H4M9
Q8N3F8	Q9H4M9
O15169	P63092
