Q96FF9	Q9BYX7
O94888	Q9BYN0
P0C7P4	P51553
Q15019	Q6EMK4
P21281	Q9UJA5
P60903	Q00341
Q6I9Y2	Q8NI36
Q8WU90	Q96PF2
O75475	Q86VM9
Q13123	Q5BKZ1
Q6I9Y2	Q8WXB4
Q15424	Q92542
P78310	Q9UBQ7
P15313	P63146
P07900	P39023
P30041	P49755
O60907	Q96DI7
Q14103	Q92499
P06702	P60981
P68104	Q9Y2W1
O94905	Q14254
P25205	Q15054
O14980	P54578
P26038	P40939
P42765	Q9NQC3
P12081	P42356
P23352	Q86XP3
P23284	Q08211
P49411	Q9NSE4
P54578	Q9UIA9
P14866	Q14204
P20618	P62906
Q15637	Q9UPU3
Q8NHW5	Q92598
Q15019	Q9NP97
P28066	P54105
Q12906	Q9GZY8
P46937	P51668
O14880	Q92520
Q15393	Q9Y2W1
O95182	Q8WXI9
O75717	Q03405
P54105	P62987
P52597	P56589
Q00839	Q15019
P33176	Q9UHB9
P29558	Q9Y3A5
P63244	Q01085
O43395	Q9Y5B9
O96008	P42765
P08865	P38159
O60830	Q15388
Q99757	Q9NS69
P11021	P35579
P35579	P68366
P23526	P38606
Q6PFW1	Q9Y4Z0
Q15785	Q15942
P79522	Q92887
P32969	P82912
P19338	Q03164
Q6PJG2	Q96HC4
P35579	Q14152
O15514	P02792
P19022	Q9H009
Q14978	Q9Y3C1
Q5XKP0	Q9UHA4
Q96EV2	Q9H7X7
Q14152	Q9H2W6
P51991	Q32P51
O75955	P60903
O43175	P68104
A5PLL7	P30041
P31689	P62995
Q8IWZ8	Q8TAP9
P62837	Q01085
P30044	Q5T6F2
Q92995	Q96FV9
Q9H3U1	Q9UNM6
O14530	Q6PFW1
O43583	Q13426
Q969S3	Q9NW13
O75312	Q6I9Y2
Q15293	Q15942
P49368	P60900
P36578	Q14197
P48730	Q13895
O95104	Q13228
P34931	P82909
P22626	Q9Y5L4
P06576	P63241
P31943	Q96PK6
Q6IBS0	Q9Y4G6
P04004	P23246
P22626	Q13501
P35080	Q01581
Q8NHW5	Q9Y2X3
P16949	P31948
O75521	P22307
P39210	Q8WVM8
Q16181	Q6P2Q9
P49903	P61201
O96005	Q14197
O95400	Q96L91
O95486	Q9UNE7
Q9UKV3	Q9Y5B9
P45880	Q00839
P46937	P61960
P04004	Q13123
P35250	Q00577
Q86VN1	Q9NRS6
O75351	P04818
P62249	Q99757
P23246	P27695
O14979	Q13492
P63220	Q15819
Q03518	Q8IVS2
P04216	Q96KR1
O00217	Q92887
Q15185	Q9H2U1
O60832	Q9GZR7
P18754	Q9UKV3
O43615	O43819
P52272	Q9Y2Q9
P00387	P62081
P20671	Q71UI9
Q14978	Q8NFJ5
O00303	Q9H2W6
O15067	Q5H9R7
O43390	Q9GZT3
Q96NB2	Q9UQ90
P52272	Q5JTV8
Q96NB2	Q9P0U1
Q15654	Q99614
Q14166	Q99614
P40222	Q7Z2W7
O95801	Q9NUQ3
A6NIH7	Q9Y5S9
P62837	Q99614
Q15819	Q8N5M4
Q93009	Q9ULL5
Q99614	Q9UHD9
P15374	Q99614
P08670	Q5T4S7
Q6RFH5	Q96PZ0
Q7Z2W7	Q86VM9
Q86VM9	Q9NW82
P34931	Q96DA6
Q9NVA2	Q9P0T7
P63146	P63208
Q96L21	Q9Y487
O75351	P78318
P21333	Q14498
P42892	P84098
P19404	Q9UHD8
P61978	Q13813
P00533	P39210
O75400	Q9UI30
O95155	P04216
P28066	P49368
P51553	P61006
Q8NHW5	Q9H444
O00264	P84103
Q13488	Q9NUL7
P50454	Q9Y277
Q13492	Q9NR46
O00161	Q99729
P60981	P63146
P02533	Q00839
P06756	P12035
Q6ZRQ5	Q9HAU5
O60264	P62136
P21912	Q04837
P20962	P30044
P06132	P15531
P06576	P61247
P52272	Q9Y512
O94826	P52272
P33176	Q8IYW5
Q8NHW5	Q9HCE1
P57737	Q14118
O75955	Q7L5Y9
O43819	Q8IWZ8
Q15637	Q9Y3A5
O43143	Q99848
P20618	Q13404
P21912	Q15070
P14866	Q92616
O75368	Q9NX18
P11182	P33527
P42226	P60981
P21281	Q15942
P11586	Q15393
P21281	P30876
Q7KZN9	Q9UI09
P11021	P23396
O96000	Q14318
P09110	Q15427
O00762	P46937
O60493	P78318
O60888	Q9BWU1
O43169	Q9ULV4
P38646	Q14568
Q66GS9	Q9HCD5
P55036	Q13561
P39210	Q96EY7
Q5UIP0	Q8N5N7
P82930	Q12905
O75494	Q2TAY7
O95104	Q68D10
P31939	P61956
P04216	Q96EL3
Q15393	Q9NZR1
Q15386	Q92995
O43709	Q6RFH5
P63313	Q86U90
P14923	Q9NSE4
Q7Z7H8	Q92887
P31040	Q92616
Q00325	Q8WVM8
P53999	Q02543
P45880	Q86W42
P11021	P53990
P68036	Q8IWZ8
P04075	P09382
O43390	P62899
P25815	P78318
P23497	P78318
P42226	P78318
P78318	Q93008
Q04323	Q9UBS4
O95825	Q9BV86
P34931	Q9Y6M9
P10515	P34931
P07237	P27797
Q14318	Q9NS69
P78318	Q9BYN0
P29401	P61960
P26447	Q9Y2Z0
Q86UV5	Q9BZF9
P24752	Q15424
Q13595	Q16181
P13804	P40939
P45880	Q9NVA2
O95299	Q92887
P35658	P68104
Q9BVK6	Q9UHD8
P63092	Q6IAA8
Q5JWF2	Q6IAA8
O95467	Q6IAA8
P84996	Q6IAA8
O00217	P39210
O00159	Q96EY1
P07951	Q92804
Q12906	Q96DV4
Q99848	Q9H2P0
Q12857	Q9H2P0
Q15050	Q9H2P0
P62263	Q14498
P62753	Q9BYG3
O00422	Q9H2P0
O94842	Q9NRL3
P54819	Q9Y4R8
Q7Z6Z7	Q9Y4Z0
P60981	Q13287
P60981	Q9Y244
Q9NP81	Q9UMR5
P49750	Q9NZD8
O75367	Q13185
O60493	P20618
P07237	Q9BVK6
P09661	P13473
P13473	Q86W42
P63027	Q14157
Q9NSE4	Q9UMR5
O75380	Q7KZN9
P12236	Q13423
P61006	Q9P2E9
P12270	Q15029
P08648	Q00839
O43314	Q08AM6
P42765	P63027
P06748	Q15942
O95425	Q9UHD8
Q00796	Q96S19
Q6ZUT9	Q9BV86
Q86TC9	Q9H6A0
O60313	Q15818
Q02809	Q92499
P46087	Q8NHW5
Q8TAE8	Q9Y3B7
Q9NRX2	Q9NUL7
Q7Z2W9	Q96CS3
P60903	Q96CS3
Q13813	Q96KA5
O15355	Q92783
Q66K14	Q9UBK7
P55072	Q9H009
P60981	Q6ZVM7
Q15645	Q6PGP7
Q16763	Q9C0B7
P60981	Q9C0B0
P07947	Q96CS3
P60981	Q96K21
O75312	P62942
Q8IYI6	Q9Y4G6
Q08945	Q6PD62
P33981	P61964
Q8ND56	Q92499
Q7Z3B4	Q96T58
A0AVT1	Q4G0F5
P26583	Q9UPN6
O43808	Q92817
P26368	P45880
P07947	Q2NL82
P00441	Q01085
Q96AC1	Q9NVA2
P36542	Q04837
P08174	Q3ZCQ8
P68104	Q96S59
O95139	P39210
P51659	P63244
P07237	P14314
Q96AE4	Q9Y6G3
O00264	P60866
Q12906	Q99757
O75616	Q9H845
P42224	Q96D46
P62736	Q15942
O75477	Q9UNL2
P11142	Q9NVZ3
Q12884	Q96B97
P18754	P61978
O43395	Q13423
P30044	P40925
Q13769	Q9UDY2
P39210	Q16864
O00193	P14649
Q12905	Q9NUL7
O15160	Q14011
O43143	P56589
P28288	Q8IXM3
P11142	P18583
P63027	Q14254
P63027	Q04323
P15313	Q9H0H0
P35998	Q9Y3D3
P82650	Q9H061
P06576	P40926
O15083	Q8IUD2
P43307	P50991
P09493	Q00796
O95071	Q9Y676
Q07955	Q9Y6M5
P49792	P78527
P35658	Q5VSL9
P07910	Q9Y6G3
P53992	Q9H2H8
O94842	Q12874
P45880	Q04837
P15408	P18846
P25787	P50454
P15559	Q9BY77
Q00688	Q9UKS6
Q7Z4G1	Q9H0A8
Q9GZR7	Q9H8H2
Q14320	Q86W50
Q14004	Q9BTC8
P49411	Q9UMX5
P78527	Q96BW5
Q14978	Q15050
Q9P2N5	Q9Y2Q9
A8MWD9	Q9UKV3
Q86TU7	Q9UHB4
Q13641	Q2TAY7
P62256	Q06830
P32119	P62256
P51665	Q92890
Q92890	Q9H3U1
P49756	Q9BVJ6
Q96QK1	Q9BV44
Q9GZY8	Q9NUL7
O75477	P50416
P62841	Q16540
P33527	Q14318
P35610	Q12905
O94966	Q9H0D6
P50552	P61088
P11021	Q93052
P08670	Q15942
O75717	Q13228
P37275	P52655
P24539	Q9UI12
Q9UI12	Q9UMX0
P17661	P60660
O75306	Q8N684
O43815	Q16630
O00422	O15260
P04004	Q16531
P09012	Q9Y5L4
P35749	Q12965
O60828	P11441
O15160	P23528
P46783	P48047
P24539	Q9Y6G3
Q6I9Y2	Q9UI30
P11717	Q9NRX5
P33527	Q8TCJ2
P51531	Q9NVA2
P09493	Q9NY27
Q9H267	Q9UBQ0
P09936	Q6UXN9
P68104	Q9Y5B9
Q12905	Q99707
P61106	Q9Y6A5
O95155	O95182
P04406	Q9NTK5
Q15904	Q99729
Q14974	Q96P70
P62857	Q9Y2Q9
P62269	Q14197
P07741	Q9P2P5
O95757	Q9Y5Y2
Q8NFH4	Q9Y4L1
A6NHG4	O15212
O43390	Q9BVG9
Q00325	Q5XKP0
Q8NHP8	Q9NTZ6
Q96LT9	Q9BWU1
P62736	Q9Y399
Q70UQ0	Q96CM3
Q9UHA4	Q9UM00
Q70UQ0	Q7Z7H5
P10599	P62837
O75436	Q9BV44
Q01831	Q5VYS8
P25787	Q9UPT8
P04216	P36543
O43314	Q6RFH5
P06744	P13929
P21281	P50990
O75436	Q14671
O75396	Q96I99
Q00839	Q7Z7H8
P09622	P54819
P33993	Q9Y224
P62736	Q9Y2R9
P11021	Q9UJZ1
Q15149	Q86UE4
P50454	Q15436
P25205	P28340
O60783	Q9UBX3
Q92499	Q9BWF3
P28066	P68036
Q00325	Q99805
Q4U2R6	Q9UHA4
P62269	Q86TS9
P07951	Q14204
O43819	O60828
Q16630	Q9BYX2
P55809	Q14247
P26368	Q15424
Q9H223	Q9H4M9
P30044	Q9BW83
P31327	Q9BYN8
P18583	Q13243
P61353	Q9BYC5
P78318	Q9BRT9
P22061	Q9NR45
O43314	Q9NNW5
Q86XP3	Q9Y314
Q12846	Q9Y6M9
O14965	P26639
P11413	P50991
P38606	Q9BRA2
P45880	Q16864
Q96KR1	Q9BRG1
O14818	Q01082
Q92917	Q99700
P40939	Q96KR1
P39210	P47985
P14927	P62249
Q92820	Q9NXV6
O60812	Q1KMD3
Q92887	Q9Y6H1
Q3YEC7	Q9NX70
P22307	Q13636
Q15293	Q9H2H8
Q5T653	Q99613
Q9BWH6	Q9H2H8
O75448	Q9UPN7
Q96EV2	Q9UPU3
O76070	P49411
Q05086	Q9Y4Y9
O94888	Q9Y3C8
O94888	P61960
Q70CQ2	Q9C0B0
Q9C0B0	Q9UMX0
P38606	Q8IWV7
P21281	Q9NUQ8
O95801	Q9UBQ0
O94888	P46937
O75152	P09132
O75152	Q9NUQ3
Q5VT66	Q9UPT8
O76080	P09132
Q93008	Q96K21
O94906	Q5BKZ1
P28288	Q8N9F8
Q16401	Q9UPN3
O43390	Q16891
Q13242	Q9BYN8
O43852	P00533
P82673	Q15758
P11279	Q12905
P13639	P31943
P06576	P36578
P60866	Q9H9E3
Q6UX04	Q96KG9
Q5TC82	Q92499
P62263	Q96L21
O43678	P21589
P30044	Q14914
O43852	P46778
P09651	P53041
P09622	P31930
P49821	P50416
O43670	Q8NBS9
Q641Q2	Q9Y3C0
O00425	Q9P032
Q12906	Q9UP95
O43464	Q01518
O00330	P33527
P19022	Q16643
P06400	P32780
P49755	Q99613
P14618	P32119
Q12906	Q9BRZ2
P50552	Q16222
Q12905	Q99757
O60825	P61201
P07814	Q86XP3
Q6IBS0	Q96PU4
P62753	Q13151
P20618	P83731
P61586	Q07020
P35658	P84098
P52758	Q9UHD8
P55769	Q9Y3C1
P30405	Q8N183
P51688	P55809
O43598	Q9NP77
P51692	Q96DM3
P61956	Q9NX18
O43598	Q8IWV7
P0C7P4	P23246
O94888	Q93008
Q8N2U0	Q9Y277
Q14202	Q8NI27
O00488	O43598
O75312	Q15942
P84103	Q15717
Q92520	Q9Y5U9
Q12846	Q9UBX3
O15145	P15311
O43633	Q9P2E9
P46939	Q96J01
P25205	P40938
O15160	Q07021
P07237	Q99832
P30405	P46060
Q9NP97	Q9Y2Q5
P17813	P49411
P28288	Q9NPL8
P51991	P62857
Q01085	Q15427
O43143	Q9UBU9
O43852	Q9NSE4
Q8WVJ2	Q9H2H8
P54105	Q9UMX0
P38159	Q96PK6
P19338	P55809
P04792	Q8WX93
P09884	Q00577
P17661	P18621
Q4G0F5	Q9Y376
P29350	Q9NVE7
O75886	P05787
O43264	Q00341
P41252	Q99471
P21127	P62834
P09661	Q9NS69
O60885	Q02878
P33527	Q15526
O60828	Q9P2E9
O95182	Q9Y277
O15296	O75616
P58107	Q2NL82
P16989	Q07021
Q14147	Q8IYI6
P42892	Q96CS3
P43304	Q96CS3
O75844	Q9BUJ2
Q15070	Q96CS3
O15031	Q9GZT8
P31930	Q58FG0
Q12906	Q14257
O00115	P23921
P62280	Q2VIR3
P08621	Q9GZT3
Q7Z7N9	Q9BUJ2
Q5SRD1	Q96CS3
O94842	Q9NVK5
P15559	Q9BYJ9
P46060	Q8TCS8
P00387	Q15758
P07947	Q12905
P11117	Q9UBS4
Q15056	Q9UHX1
P09110	P82979
O75376	Q9UGU5
Q92733	Q9BQ15
O75448	Q9UBB9
P31930	Q15526
O94905	Q1KMD3
P46060	Q14686
Q8IWB7	Q9UMX0
O75027	O75340
P52272	Q9P258
P28482	Q9BV86
P27361	Q9BV86
P61247	Q16540
Q13813	Q15691
Q15424	Q9UKV3
P09012	Q92973
O60506	P10253
P49841	Q06124
O95182	P22307
O95182	P09110
P07602	P37840
Q9NS69	Q9UI09
P46108	P50454
Q14694	Q9Y2X9
A0AVT1	O95155
O43390	Q9Y2Q9
P49756	Q9Y5B9
P49721	P63146
P19338	P25490
O14497	Q8WUB8
O00567	Q15050
Q1KMD3	Q9BUJ2
P60900	P68104
P54727	Q9Y5S9
O75475	P62280
P43243	Q9NZM1
P10809	Q9NWU2
P60981	Q96BN8
P33778	Q96QV6
O75844	Q8IYS2
O75526	Q92696
O60568	Q14204
O75844	P18031
Q15434	Q9NX20
O75844	Q9NQ50
Q8IY81	Q9Y3B4
Q5JTH9	Q9H1D9
P62263	Q96QV6
Q01844	Q9BQC6
P63000	Q9Y617
O43765	Q8IY18
P84103	Q9NUH8
O60506	Q53S58
P84103	Q53S58
O00273	Q6ZVM7
Q6PI78	Q9NQC3
Q13243	Q9Y320
P60981	Q99614
O75643	P68363
P52888	Q16222
P55060	P61964
O14745	P23396
P08574	Q9P015
Q13151	Q96PK6
P58107	Q14204
O60506	Q08380
P84103	Q12857
Q9UHA4	Q9Y277
P11021	P80723
P11233	Q12906
P40227	P45974
Q01081	Q9Y4B6
Q12906	Q7Z7F7
P28288	Q9NX14
P14618	P30041
O75436	Q92889
P18583	Q05519
P62140	Q9H7Z6
Q8N4V1	Q9ULV4
P46108	Q9NR45
O00625	Q96T58
O00625	P67775
P61978	Q9UQM7
Q8WUM4	Q9UBV8
P05386	P35637
O75396	Q96ST3
P09972	Q9NTK5
O00255	Q9NQW6
Q6NZY4	Q8WU90
P28062	Q93008
Q16611	Q9NRK6
P62854	P82912
O00308	Q9H270
P18124	Q9H3N1
Q00839	Q8ND56
P13804	Q00796
P52701	Q9Y5B9
O95391	P48643
O95400	Q14019
Q13630	Q8WXX5
A6NHG4	Q9UL46
P18124	Q58FG0
P05141	Q9NQ39
P61758	Q9NXH9
P40222	Q6P3X3
Q15459	Q6EMK4
P21281	Q9Y3C8
O75351	Q70CQ2
P67775	Q99460
P25705	P62244
Q00688	Q9UNS1
O60783	P39210
P09661	Q9Y5K5
P17844	Q13426
P22307	P51553
O60828	P51553
Q01082	Q99757
P30044	P49459
P49257	Q96S52
P25786	P26447
P21283	Q9BRA2
P11441	Q04837
P61163	Q15050
Q8WVM8	Q96EY1
O43815	P05198
Q00688	Q32MZ4
Q86UE8	Q9UIA9
O95155	Q15427
Q14204	Q96RQ3
Q14204	Q9HCC0
P52594	Q9P2R7
P41252	Q01581
P60981	Q8TBC4
Q12824	Q13595
P09211	P62736
O43847	P04792
P50990	P60900
P43243	P49406
O00116	P33897
P22307	Q9UQ35
O75494	Q96PK6
P34896	P34931
Q96JC1	Q96QU8
Q00325	Q9BYN8
P12270	Q02878
O60506	P10599
P62191	Q9NYU2
P26599	Q8TCS8
O14980	Q9H832
P63146	Q92889
O95433	Q9UDY4
P61201	Q8N3D4
Q6PKG0	Q96FF9
Q9BYZ2	Q9NUT2
P30086	Q14914
O15160	Q8IY37
O76021	Q9H1D9
P84103	Q15434
A0MZ66	Q9Y617
Q96A26	Q9UNL2
O76070	P50225
O43663	O95359
Q13428	Q15818
Q6YHU6	Q9Y617
O75663	Q9NP77
P60174	Q9NP77
Q99614	Q9Y617
P68363	Q01081
O00625	Q96S82
Q5T6F2	Q96KR1
P78318	Q96K21
Q70J99	Q9H0D6
Q07955	Q9BTV4
P49411	P54819
O43674	Q13421
P51665	Q15459
P38606	P45974
P35579	Q99613
O43776	P60891
P04818	P30566
O43819	Q07157
P20700	Q9H0U3
Q9BUJ2	Q9H4G0
P62701	Q15050
Q3ZCQ8	Q9BWM7
Q9NUL7	Q9Y3B7
Q16181	Q9H2U1
Q10570	Q9Y5Q9
O94992	Q14204
Q9H299	Q9Y6I4
P21589	P57105
Q01581	Q15046
P60981	Q9NXW2
P23284	P46060
O00762	Q13404
P61960	P62987
P24752	Q9P0U1
P63279	P82979
P21796	P42765
P12814	Q05682
P14854	Q15067
P78527	Q9P016
Q96J01	Q9Y2L8
P37198	Q86XA9
P53990	Q00266
P24539	Q15388
O14802	Q9P253
P20645	P49792
P16403	P20671
Q93009	Q9BSL1
Q6NZY4	Q9UNM6
Q7L014	Q8TEQ6
O75175	Q8WVV9
P54317	Q7L014
Q6N069	Q9NX55
P46087	Q2VIR3
O15355	P25786
A6NED2	P53384
P62829	Q9H009
P39210	Q9H9J2
Q9H2W6	Q9UJS0
Q96KA5	Q9HD33
P23396	Q9NQ39
P46087	P46782
P62241	Q58FG0
O00422	Q2VIR3
P41223	Q16181
Q00325	Q96NB2
P35270	P51553
O75694	O95359
P23588	Q92526
P11717	Q9Y5J6
Q5JTV8	Q9UKX7
P07951	Q7L014
O75934	Q6EMK4
Q5T6F2	Q9UBQ0
Q2VIR3	Q5BKZ1
O75312	Q9NX55
P31327	P38646
P49903	Q14671
P14868	P38606
P36543	Q04837
Q16795	Q16891
Q9UBX3	Q9Y2Q9
Q16531	Q9UBU9
Q13123	Q96PK6
P50990	Q9GZZ9
Q15070	Q70UQ0
P62244	Q13151
Q9GZL7	Q9Y2Z0
P20618	P62266
O60828	Q9Y2Q9
Q86V81	Q9GZZ9
Q04721	Q96ST3
P15927	Q04323
P05386	P82673
Q15070	Q16540
O75915	Q93008
P33527	Q8WUM4
P61201	Q14C86
O75369	P04080
Q8N1F7	Q9Y4G6
P35269	Q96T76
P21912	P46940
P43246	Q9UHD8
P25325	Q9NVA2
Q16222	Q96JC1
Q13045	Q8WYQ5
O00116	P51553
Q04837	Q15427
Q14203	Q9NRL3
P46108	Q08211
P04406	Q86U42
Q9C0J8	Q9NVC6
P13929	P68104
P13639	Q8IXI1
P10599	P31939
P52272	P55265
Q13423	Q14318
P26639	P36578
Q00613	Q6ZUT9
Q9NQR4	Q9Y639
Q12906	Q9H1E3
O14745	Q9Y570
Q13636	Q92887
P62820	Q13636
P13489	Q9ULL5
Q6P1L8	Q8TAE8
P22234	Q9BWH6
O43865	P11021
O15355	O43865
O60232	P22234
Q6YHU6	Q96ST3
Q92542	Q9NUH8
Q1KMD3	Q9NYL9
Q14166	Q96ST3
P0C7P4	Q93009
P45880	Q12931
Q15631	Q9UBQ0
P55060	Q06323
O75152	Q15427
Q14204	Q9UPT8
Q14202	Q9UDY2
Q3LXA3	Q9BWD1
P20618	P62424
Q14197	Q8WXH0
P31350	P38159
P10515	Q9H845
Q15648	Q9UKM9
Q9NQC3	Q9UBX3
O14979	P13639
O43396	P48643
Q16795	Q92887
O60504	Q9UI12
P46937	Q9BRG1
O43819	Q9Y237
Q9Y237	Q9Y277
P27105	Q15393
P55327	Q9NR31
P60842	P68104
O43395	P22087
P50402	Q9H2P0
Q9NYK5	Q9UHA4
P53990	Q969X5
P14859	Q01082
Q15459	Q9UI30
O95155	P30405
O75368	Q9UNE7
P09622	Q15233
P43307	Q07955
P19784	Q8N7H5
Q0VDF9	Q8N7H5
O75494	Q13247
Q08211	Q9BYV6
Q9H2U1	Q9NRV9
Q16531	Q9UHR5
Q9BRT9	Q9Y6K9
P07602	Q13243
P41208	Q96FF9
P18887	P52815
P11441	P24752
P38117	Q9H1B7
P34949	P61604
Q99613	Q99733
Q15393	Q9BYV6
Q04837	Q16540
O95182	P35658
P12268	P15328
P34931	Q9UJZ1
P55795	Q99439
P49736	Q8N684
O00186	Q9H299
O75526	Q9BRP7
P13645	Q8IVF2
P20618	Q9NVF7
P53350	Q53FA7
P46777	Q8IY81
O43865	P50454
O43865	Q9H299
Q9NQC3	Q9UMY4
O43865	O60493
O43865	Q93045
Q96ER3	Q96PV0
P28331	Q8IUX1
O60232	Q9Y6A5
Q9BUF5	Q9BYN0
O43865	Q9UGI8
P62072	Q13405
O60232	P29401
O60232	Q04726
Q6ZVM7	Q9UBT2
O43865	P09493
Q9BTF0	Q9NXH9
Q7Z2W7	Q92541
O60232	Q8N5M4
O43865	P04818
O60232	P63146
O60232	Q96S82
P0C7P4	Q9UHD8
O43865	P61960
Q9BYN0	Q9C0B0
O43865	O75436
P04004	P35659
O94782	P55060
Q96TA2	Q9Y277
Q6EMK4	Q86VM9
O43865	Q96K21
O00488	O60763
O75312	Q9BYN0
P05141	Q9Y639
P07919	P39210
Q15800	Q16891
O95983	Q16531
O95104	O95292
P52758	Q9Y5M8
Q13595	Q15149
P60981	Q9Y6Y8
O75717	P25490
P60900	Q13148
P31040	Q99460
P36871	Q96AE4
P46939	Q15386
P06702	Q00839
O43390	Q9Y3D3
P63279	Q9UIA9
Q13243	Q70UQ0
P08195	P16615
P33527	Q9UI12
P36543	Q8IWZ8
Q969G3	Q9UGU5
O75533	Q96PK6
P36871	Q9UBQ7
P31040	Q9UNN8
O43390	Q9BRJ2
P20929	P28482
Q15349	Q15833
P25705	P80723
P06576	P51991
Q12905	Q9H9B4
P21333	Q70UQ0
P07919	P68104
P21333	P62995
P50552	Q4VCS5
Q96I99	Q9NX18
O75027	O95139
P31040	Q8TDB8
P15924	P50135
P07900	Q58FF8
P09913	Q7Z478
O43390	Q99538
Q9NUU7	Q9UBU9
O14745	Q8IXS6
P13010	Q96BW5
Q96PU8	Q9UKY7
P54105	P54725
P36578	Q8NC51
P60866	Q6P1L8
P54920	Q7Z478
P62191	Q9UMY4
O15400	O60493
O43242	Q9Y2Z0
Q9H9B4	Q9P0S9
P13797	Q16881
P22314	Q9NUQ3
P47985	Q92544
Q9NW82	Q9Y5U2
O75663	Q9NQW7
O60493	O75152
O14530	O75312
P20671	P61513
O00233	P60981
P17844	P62249
O43314	Q8WU90
P26038	Q9UKN8
P62847	Q9BYG3
O43318	P51610
O43390	Q9NQ50
O75368	O95400
P13639	P14866
P51784	Q01831
Q9NUT2	Q9UNN8
P20671	P68104
O43809	Q9UNN5
P45984	Q01581
O15067	P30041
O00422	P04004
P39023	Q9UMR5
P62854	Q9UMR5
O43674	P39210
O75380	P39210
P55209	Q99613
Q13641	Q9Y3B4
P54105	P63220
Q13641	Q15019
P35749	Q14152
P47985	P60842
O75955	P67809
P28066	Q9Y2R9
Q12905	Q9UHA4
Q14254	Q9Y3E5
Q92520	Q9BWM7
Q12906	Q8NF37
P57740	Q07021
P22234	Q9Y6A5
Q02127	Q12906
P49903	P55327
Q01082	Q16643
O75368	P42226
P11142	P62917
Q08211	Q8IXI1
P40938	Q96QR8
P43686	Q6NZY4
P07437	P62195
O96008	P23246
P14927	Q02878
P05198	P67809
O95747	P50750
O14949	Q96CS3
P62820	Q32P51
P46087	Q08945
Q7L7X3	Q8N5C6
P22234	Q53S58
P06703	Q6ZVM7
P12270	Q15020
P62837	Q58FG1
P41229	P45974
O43396	P55060
Q15942	Q9Y3C8
P22626	Q96FQ6
Q14258	Q16222
P06703	Q15436
P42766	Q96L21
O95400	Q9Y244
P24752	Q9UNY4
Q12906	Q9Y6M9
O43765	P60981
O43143	Q9BYC5
Q9H6Z4	Q9NRX4
P35579	P67936
P49721	Q15436
Q8WYQ5	Q9H211
P46777	Q13523
P17844	Q13151
P13639	P17844
Q00325	Q9BYD2
P67936	Q99460
P35580	Q00688
Q04446	Q3LXA3
P42224	P46459
P50552	Q16864
P15374	Q9H267
O75376	Q12830
P11498	Q9UMR5
P23284	Q15366
P13639	Q9UI12
O14818	P98179
P63027	Q9BWM7
Q86UV5	Q96QK1
O75340	Q70UQ0
P40939	P68371
P29401	Q06830
P68104	Q9H8Y8
P23246	Q9Y5J7
P23497	P60981
O75027	P31930
P39019	Q8IWZ8
O43809	P23396
P21283	P82673
O95400	Q8IWI9
P26447	Q13228
P31946	Q9Y4P1
P33897	Q14573
O43181	P28288
Q14764	Q9H444
P61160	Q9ULV4
P18859	Q5JTJ3
P12814	Q96CS3
P55795	Q9UFG5
O75955	Q8N766
P62820	P62834
P06702	Q9NR30
Q08211	Q8IX01
O60493	P13797
Q8IVS2	Q9BSE5
P37837	Q9Y617
O75533	P68363
P23921	Q53S58
Q14558	Q8WVY7
Q05086	Q13838
Q6PHR2	Q6UXN9
Q5T200	Q9Y2W2
Q96KR1	Q9BV44
P22695	Q5BKZ1
Q5VSL9	Q9BWF3
P07814	P08243
P06702	P12270
O75955	Q16706
Q13561	Q14566
Q6STE5	Q9P2I0
P68104	P98179
O75935	P51808
O00116	P17931
O75533	Q04837
O75083	Q9Y2L1
O14980	P07814
O75489	P09001
Q7Z7H8	Q9Y276
P35579	Q9Y676
P45973	Q9P0M6
P62269	P82933
P35998	P61758
O00255	P10644
P42704	Q12906
P62851	Q6P2Q9
P46778	Q15185
Q04941	Q9BYD2
Q12905	Q9H0N0
P60981	Q96HC4
P30041	P35241
P62917	Q6VMQ6
O43390	P56589
P62745	Q9ULV4
O95169	Q9UBF2
P12270	Q9BWF3
P08621	P67936
Q07955	Q96PK6
P61020	Q08211
Q9UIG0	Q9UQ35
P33527	Q15424
Q2NL82	Q9NW08
O75475	Q9Y2W1
P35580	Q16181
Q00325	Q9Y6N5
P40926	P50454
O75396	Q9BSH4
P52272	Q02127
Q15436	Q9UHD9
P07477	P17844
P12235	Q8NHW5
P28072	Q6NZY4
P07942	Q9C005
O75306	P34931
P47985	Q92887
O00625	P52565
P62899	Q13724
O14757	Q96RN5
P04899	P35580
O14880	O43181
P10768	P40925
Q13283	Q14978
P11498	Q969G5
O60216	Q16626
Q15293	Q96GA3
P30050	P60903
Q8IX01	Q9HCE1
O43865	Q96ST3
P51571	Q969G5
O43175	P42224
Q6ZVM7	Q9BYN0
Q92783	Q9C0B0
Q8NBT0	Q9NVK5
P24752	P55060
Q96QU8	Q9BZV1
O75312	P21281
O43504	P60981
O75934	P10646
Q03405	Q04721
Q15637	Q9NVA2
P21912	P28331
P08243	Q16719
P09493	Q15436
P29401	P51668
P07814	P21281
P60981	Q14671
P26641	Q5VSL9
P62826	P62995
O43390	Q92542
P50995	P63220
O15260	Q15019
Q13813	Q16643
P60842	Q8NFJ5
P39210	Q9Y3D3
P67936	Q99757
Q15233	Q9Y3U8
P67936	Q01130
Q15637	Q96ST3
Q16763	Q9Y237
