P43034	Q8NI77
P35228	P78540
P35499	Q9NY37
P17600	Q15431
Q9NRN7	Q9UDR5
Q08211	Q9UIG0
O15553	P98182
Q14241	Q96PM5
O96018	P20336
Q6DKK2	Q9Y262
P26599	Q15560
O75881	Q96RI1
Q9NZN3	Q9Y3E7
P24385	P43686
Q9UNG2	Q9Y5A7
O43174	P40925
P61371	Q13516
P51948	P62487
Q13761	Q8TDD2
P00367	P31327
P28331	Q7L1Q6
Q16533	Q96RS0
O15146	P48048
P60520	Q96KP1
P63220	Q9UNX3
P12830	P13591
P31939	Q9NUL3
O75665	Q9Y6F1
P51955	Q9Y6F1
Q92832	Q9NQ90
Q6P1Q0	Q9NX63
P00156	Q15011
Q15637	Q9Y2X3
Q96T83	Q9HBD1
O15457	Q9UJX2
Q9BTC8	Q9UFF9
P17735	Q13395
O00167	P15173
Q92805	Q9UHI6
Q8TA86	Q9UHI6
O75478	Q15544
P49336	Q15544
O00410	P43487
O95838	Q9NYW6
Q96T58	Q9GZT3
P48163	Q8IXL6
Q8IWJ2	Q96T83
O43747	Q96T83
O75843	Q96T83
P62318	P67809
Q13487	Q8IZT6
Q14789	Q9Y6D6
O14494	O75907
P0DPB5	Q02641
P0DPB6	Q02641
O60447	P25205
O60447	Q9BSJ2
Q02078	Q13555
O15409	Q8IXJ6
P53350	Q8WUM0
P27338	Q16613
O15496	Q9UBM1
P25092	Q14123
Q8NCW6	Q9NSC7
P11940	Q71SY5
P11940	Q04837
P11940	Q92922
Q15147	Q9UQM7
O95819	Q96Q05
Q12873	Q14527
P46060	Q14683
Q14683	Q8IY18
P18887	Q14590
Q7Z460	Q9UIF3
O75530	Q96Q89
Q8IYM9	Q99816
P35346	Q9HBY0
Q93098	Q9H461
P04054	Q13393
P15291	P51149
P51149	Q15075
P53992	Q9NQW1
P40692	P83916
P40692	Q9UBB4
P10398	P51786
P08069	Q9NP95
Q15154	Q92949
Q15154	Q9BW19
P23763	Q9NR31
O95070	Q9NR31
Q14807	Q9UQB9
Q92499	Q9NY93
Q14137	Q92499
O14640	P40126
P51531	Q9BS16
P29372	Q9UJV3
O60729	P49450
O60729	P60896
O95777	Q8TEQ6
P01116	Q8IUD2
Q96MU7	Q9H307
P55199	Q9UQN3
Q8WYL5	Q9BVA0
P41252	Q13347
P46100	Q07837
P18074	Q9Y3D8
Q92830	Q9Y3D8
P32780	Q9Y3D8
O14662	O15126
Q8NBT2	Q96EE3
P42566	Q8TB24
P62995	Q12986
P18583	Q12986
Q12986	Q9UPR3
P09913	Q9BQI3
O94827	Q8N427
P11234	Q7Z6Z7
O43264	Q15047
P62195	Q16576
O43684	Q9ULW0
P01036	Q9NWM0
P01037	Q9NWM0
Q8IW41	Q9UNM6
P11166	Q9UGH3
P05388	Q99848
Q9NQX4	Q9Y2J0
P01210	P05060
P24534	P30040
P51508	Q9UQ05
Q15773	Q9UHX1
Q08378	Q8N6T3
P20023	Q13310
P51571	Q13310
A4D0S4	P02452
A4D0S4	P02462
P07942	P68133
P40879	Q13239
O75443	Q9UKN7
O95072	Q9Y5N6
Q92771	Q9Y5N6
Q8N441	Q96KN7
O14893	Q9NY93
O14893	Q8TA86
Q96QT4	Q9HBA0
O43175	P19012
Q14050	Q16527
Q9NRR4	Q9UL18
Q5SXM2	Q9UJX2
A2RTX5	P49366
P48444	Q9Y263
O00469	O43174
O43795	Q8NEV4
P38432	Q96SB4
P23769	P28698
P13984	P48556
O15047	Q15542
Q96FW1	Q9NZ01
O15371	P19388
P19388	Q9BVG4
P19388	Q9P2I0
P10242	Q96RN5
Q14677	Q9BXF3
Q12824	Q86V81
P62318	Q9BZI7
O00541	P49450
P28482	Q9UNK4
P62841	Q9Y262
Q9NXF8	Q9Y262
P62847	Q9NS69
P00387	Q9P0U1
O15371	Q9BQ67
O15371	Q9BWL3
Q15388	Q9Y5K8
Q9NUZ1	Q9NVL8
Q9H0H5	Q9UEU0
Q8TB24	Q9UN37
O15504	Q9UPY3
Q86U42	Q99613
P29218	Q9P2T1
O00425	Q9P2T1
P25067	Q9NZR4
Q9BT81	Q9UJQ4
P78406	Q96H20
P01213	P19086
P08047	P08631
O95149	Q9BZJ0
P46781	Q9BZJ0
O95793	Q15691
Q9H598	Q9Y566
P01036	Q9BSJ2
O14734	O43933
O60907	Q8N668
P49798	Q9UJG1
P13797	P53667
P28370	P49321
P28370	Q15283
Q8WXJ9	Q96DX5
O75461	Q16576
P51825	Q06787
O60828	Q86XP3
P14652	P15976
P06280	P06865
O95147	P27361
P30085	Q13232
P51665	Q99627
P27986	Q01650
Q15370	Q5XUX0
O75150	Q5VTD9
O75822	Q15477
A4D1E9	Q9NV88
Q93045	Q9Y4A5
O75486	Q9NRG0
P33991	Q03188
O14795	Q9P2U7
O60499	Q96KP1
P52701	Q71SY5
Q13487	Q15648
P31946	Q9Y421
Q16740	Q9UHV8
P36954	Q9NRX2
Q9H1K4	Q9NZM5
Q7L0J3	Q9UI14
O95716	P60903
P40818	P55199
P49747	Q92752
O14579	O14653
P02462	P26012
P41223	Q9Y6A9
P50914	P55884
P49848	Q9NR00
P55000	Q13155
O75486	P78424
P09913	Q15056
Q15056	Q8IWZ3
O95025	Q92828
P41567	P60468
P00568	Q04760
O43889	Q10587
O00151	Q96JY6
O00151	Q53GG5
P04053	P31645
O75477	P22760
O75477	Q13438
O60494	Q9H0U4
P55075	Q9NPH9
Q96BD5	Q9UQE7
Q13402	Q9UQE7
Q06210	Q9UQE7
P58340	Q13617
P09919	Q9HC23
O43242	P49411
Q07021	Q9NPY3
O95249	P36406
O95249	Q9NX95
P07327	P30838
P14061	P49888
P02452	Q16363
P02452	P24043
O95059	Q15029
Q15768	Q15811
Q15546	Q9ULV8
O14745	Q13237
P49888	Q9BY64
O00462	P16112
O95198	Q7L7X3
P12235	Q14331
Q15822	Q8N5Z0
P0DP57	Q8N5Z0
P0DP58	Q8N5Z0
Q96PE2	Q99584
O15303	P43004
P24941	P35790
P08151	Q01658
O75880	P50579
Q9GZV9	Q9NR21
P53778	Q9BY84
O14519	Q9UBB4
P56705	Q9ULW2
P43354	Q86VP6
P78543	Q86VP6
P51955	P57740
P57740	Q9HBM1
P17812	Q13601
Q96P44	Q99715
O60942	Q8TF01
O43776	P04179
O94979	Q9H0U6
O95757	P40123
P52701	Q9ULK4
O75496	Q14202
P60896	Q96KP1
P39748	Q5XG87
P56597	Q8NEP3
Q96J94	Q9NRR4
O60671	O60832
O60841	Q8TDN6
Q8TDN6	Q9Y333
Q92878	Q9Y6X3
Q56NI9	Q92878
O14776	Q86V81
P01042	P14770
P50120	P61204
O00144	P41221
P11172	P30085
Q9BST9	Q9NQY0
P82979	Q9Y3B4
P49450	Q7RTS9
P18564	P50552
P13612	P57087
O15355	Q12874
P50461	Q14192
P63165	Q12874
P22528	P35270
Q15008	Q9NSD9
O15335	Q92752
Q6UWL6	Q9NP85
P35268	Q92901
P35268	Q14240
Q01433	Q9H0P0
Q8N264	Q92974
P20941	Q149N8
P60896	Q8IYI6
A0A0B4J2D5	Q16222
P0DPI2	Q16222
P35606	Q9Y2D8
P50219	Q15291
Q92748	Q99848
P20674	P62851
P18850	P60893
P04439	Q14094
O60437	P22528
P63146	Q9C035
Q02224	Q7Z7A1
O00444	Q7Z7A1
O14957	P51970
Q8IXK2	Q9NY28
Q9H553	Q9UBM8
P09913	P20042
O96033	P09913
Q92535	Q9HCL2
P24043	Q9UQP3
P28039	Q8N0S6
Q14651	Q9Y678
O95067	P42167
Q96JY6	Q9NPC6
O95237	Q96NR8
Q92748	Q9NP64
P50914	Q9NP64
Q969K7	Q9Y446
P49915	Q9H0P0
Q14582	Q16589
Q9H427	Q9UPX8
O95630	Q8WUX9
P08579	Q04760
P22570	Q04760
P48436	P48681
P51398	Q9Y2R9
Q13112	Q15361
Q8NDX1	Q9NR80
P35269	Q68CP9
O15235	P62829
P62829	Q92748
O00212	Q15642
O75356	Q9BY32
Q9UF47	Q9Y282
P30550	P34741
P78559	Q96CW5
O14746	Q9Y3A5
P47710	P48730
P01037	P02808
O75643	O75937
P35658	Q9HC62
P55795	Q9Y3U8
P55345	P55795
P78426	Q9NYW6
O15078	Q8N441
O60412	P78426
O14957	O75347
P62314	Q13685
Q99996	Q9BVA0
P60896	Q9Y2D4
P11234	P60896
P60896	P62875
O60645	P60896
P60896	Q9UPT5
P26651	Q14119
Q06203	Q9NZI8
Q04917	Q8WU20
Q5J8M3	Q9BRJ2
O15235	P22570
O14929	Q14202
P31277	Q15465
O95243	Q9UHV2
P50461	Q5VST9
Q9BX69	Q9NZN9
Q9NZN9	Q9UHD9
P51116	P62913
P42331	Q9Y6Q5
P23528	Q9Y572
P58340	Q15843
P61803	Q86V81
P58004	Q9GZZ6
Q7Z5B4	Q9GZZ6
O43566	Q5FBB7
Q5FBB7	Q6NXT2
P06753	P19429
Q8N4N8	Q9BSJ2
O43633	Q7RTT9
P30532	P58004
O75821	O96033
O75821	Q9C0J1
O60832	Q9H814
O00757	P20929
O95835	Q86VZ5
O95149	Q14498
O75161	Q9Y267
Q6Y288	Q86X52
Q8IUC4	Q99584
P17024	Q9NZL3
P61421	Q9C035
O15055	Q92783
Q13131	Q9Y2R2
O75153	O96033
P60880	Q5T7P8
P38919	Q9UKK6
O75880	Q9NTG7
O75880	O95478
O75880	Q8IWA4
P35247	Q9UKX5
P09488	Q16772
Q8NFZ0	Q9NP62
O43447	Q96I25
P11712	P51589
A7KAX9	O00212
P26436	Q12955
P01236	P05814
Q6NUQ1	Q96JH7
O43920	P08962
O94826	Q96MF6
Q9BWQ8	Q9Y566
Q8NG04	Q9NRY4
Q8NG04	Q99584
O95487	Q13438
P40429	Q99832
Q99584	Q9Y613
A3KN83	Q8WUH2
O43674	O95373
O00499	O14994
P28289	Q9NYL9
P98082	Q9NY64
O00206	Q96MN2
P01106	Q6ZN17
O75935	Q53EZ4
O75935	Q9UBQ5
O43559	Q9C004
