O75144	Q5TFQ8
P05120	Q86U17
P05155	Q86U17
P08697	Q86U17
P36952	Q96P15
Q86U17	Q9UIV8
Q8TAS1	Q9UKV8
O95057	Q13795
Q16254	Q5SQQ9
P61077	Q6P1K8
P23246	Q9H6E5
Q9BQ04	Q9H6E5
Q13795	Q9NYR9
Q13795	Q9Y272
P35030	Q6ZWK6
P04278	Q6UXK2
Q05397	Q9P2S2
P11215	Q9UHI8
Q05397	Q9Y4C0
O95835	Q01860
P23743	Q5KSL6
Q6ZV89	Q96KQ4
P00734	Q8NFT8
Q12846	Q68EM7
Q04759	Q9UQC2
O15259	Q7Z6J0
Q6UXY1	Q7Z6J0
Q9NZM3	Q9UQB8
O14776	Q8WYQ5
Q7Z7A4	Q96BY6
O15524	P48740
P20336	Q9Y587
P29279	Q63HQ2
P08908	Q9H244
Q14203	Q92783
O43283	Q13043
P20138	P20702
P08100	P21917
O95136	P25089
P32247	P46094
P08100	P51677
P10586	Q12866
P20701	Q13478
P24821	Q14517
O95976	Q5ZPR3
O95976	Q86YW5
P04201	Q8NDV2
P35367	Q8TDS5
Q12929	Q8WWN8
Q5H8C1	Q96GW7
P04201	Q96P69
O95136	Q99705
O60755	Q99788
O95136	Q99788
P34972	Q9BXC0
Q96S86	Q9BZZ2
P20701	Q9HBG7
O60667	Q9NQ25
P12111	Q9NQ25
P11215	Q9NYZ4
P20701	Q9NYZ4
P20702	Q9NYZ4
Q5ZPR3	Q9NZC2
P06729	Q9UGN4
O60755	Q9UKP6
O60500	Q9UMF0
P12111	Q9Y336
P20701	Q9Y336
Q8WUD1	Q92930
P10600	Q6UXY1
P01111	Q96KC2
Q06055	Q99643
P22301	Q07699
P17301	Q5H8C1
O14931	Q8NBP7
Q8N2Q7	Q8TDW7
Q7L014	Q9UHI6
O15117	O75962
P00746	P49862
P03951	P49863
P26927	Q16651
P10721	P22612
P56937	Q9H2F3
O00292	P34820
Q14952	Q8N149
P28069	P49639
P09086	Q00444
P09086	Q15699
Q14116	Q5VST9
O15522	Q9UKI9
Q8TDW7	Q9ULB1
Q14896	Q9Y624
P17252	P51148
P05556	Q08708
O14827	Q5VST9
Q5VST9	Q7Z628
O75385	Q99759
Q9NR81	Q9Y4F1
P51812	P62330
Q00535	Q9H2K8
O15211	P51153
P62877	Q8WVN8
O15211	Q9UL26
P61956	Q9Y6I4
P01138	P20160
P52564	Q13873
O14944	P04637
P04085	P08138
P11717	Q09472
P78411	Q8WU20
P07766	Q96EP0
Q15436	Q9Y5R8
P16157	Q9Y5S2
Q15796	Q92823
P11362	Q9Y4K3
O43581	P50570
A7KAX9	Q9ULW5
O14842	P30556
P35462	P46089
Q8IZ41	Q92737
P60763	Q96M96
Q96A47	Q96QS3
P04216	P07358
P39905	Q13591
Q96A72	Q9NWB1
P15498	Q6ZV89
O00160	O15117
Q02779	Q9NYY3
O95970	Q9NZR1
P10600	Q04759
O15119	Q92908
P06213	Q15208
O43739	Q70Z35
Q15438	Q8N5V2
P06493	Q9BXA6
Q15438	Q9HCM4
Q9NQT8	Q9UJT0
P51991	Q01081
P19235	Q8IWV2
P61586	Q8N4G2
Q13017	Q96AX2
P52565	Q96KC2
Q15771	Q9BQI7
P50148	Q9NR31
P53667	Q9UKI8
O00213	Q92560
Q14289	Q92952
O43307	Q9NR48
Q99767	Q9UNA1
P35968	Q9HB19
P0DML2	P10451
P0DML3	P10451
O14917	O60469
O75022	P09326
O75023	P09326
P14543	P98172
Q12860	Q13634
Q14116	Q30201
P20336	Q92572
Q96LC7	Q99062
P35625	Q9UKP5
Q99062	Q9Y336
O60469	Q9Y5H5
Q92752	Q9Y5H5
P51955	Q00535
O76039	Q13233
O60504	Q8WUF5
Q8IZP0	Q96KQ4
P19174	Q99961
Q96DA2	Q9H628
Q7Z444	Q86X27
Q7Z444	Q92565
P07358	P10144
Q6UWQ5	Q9BZP6
P98172	Q9Y6N7
P15882	Q5HYI8
P31483	Q9HCG8
P41208	Q9NRM7
O76064	P35226
P16471	Q16143
O95365	Q8WZ60
P23378	Q9Y697
P20809	P26583
O94779	O94985
O15143	P10301
Q14982	Q8TAB3
O94985	Q9P232
O75385	Q8IV63
O94768	Q04721
O60260	Q07699
P52737	Q8NEA6
Q02790	Q9H0B6
P01112	Q9HB21
Q9ULC3	Q9ULL1
P48167	Q5T7P8
O15350	P16471
P10721	P33681
P01009	P50452
P43146	Q7Z553
P32121	Q92673
Q14919	Q9NRG0
P19174	Q6S5L8
P20936	Q6S5L8
Q16763	Q96B02
Q86W92	Q96NU1
Q6ZV89	Q9H6Q3
Q9P1V8	Q9ULJ8
O00555	O15020
O60603	P01024
P01024	P02747
P01024	P10909
P04003	P13671
P01137	P17676
P02751	P17676
P08887	P17676
P01137	P18206
O60603	P19438
P01024	P19438
O75592	P21728
O00305	P28223
P12644	P28827
P31644	P35368
P01137	P35579
P28223	P43115
O15143	P47756
O00555	P48058
P48509	P50281
P11229	P52824
P21728	P55290
O75508	P60201
P01024	P78552
P42695	Q02224
P13612	Q03014
P08913	Q12879
P25929	Q12879
P12644	Q13275
O75145	Q14416
P21579	Q14416
P48167	Q14416
P42695	Q14674
P51587	Q14674
P41145	Q14832
P10124	Q14956
O00555	Q15784
P21860	Q16880
P21728	Q6DN14
P50748	Q6PCD5
Q02224	Q6PCD5
O60641	Q7Z3G6
P17676	Q86VB7
P10636	Q86WK6
O43303	Q86YS3
O75145	Q8IWV2
O00305	Q8N135
Q16515	Q8N135
P26232	Q8TBJ5
Q8N145	Q8WZA2
Q01518	Q92608
P17787	Q92736
P35368	Q92736
Q14416	Q92736
Q8N135	Q99250
Q92574	Q99250
O75145	Q9BZB8
Q12879	Q9BZB8
Q14289	Q9HCC9
Q06643	Q9NR97
Q9GZY6	Q9NYK1
P17600	Q9P2S2
P17787	Q9P2S2
P21728	Q9P2W3
P28223	Q9P2W3
P41594	Q9P2W3
Q96FF9	Q9UBU7
O43147	Q9ULP9
Q8WVK7	Q9ULW0
P08887	Q9ULZ3
Q14416	Q9Y4C0
O75145	Q9Y639
Q9UBB6	Q9Y639
P11055	P35580
O00213	Q03164
P22694	Q06124
O14672	Q14511
P61968	Q86YT6
P23560	Q9NYB9
Q9UGJ0	Q9UKG1
Q9UP38	Q9UPW6
P04626	P52564
P48740	Q9UQC2
P15498	P49810
O43353	Q9UKE5
O43295	P51149
P38405	P57771
O43295	Q14088
Q12756	Q15438
P51159	Q8N392
Q13637	Q8N392
O43295	Q96E17
P15882	Q96E17
O43310	Q99747
Q13671	Q9H4E5
Q15283	Q9UF11
Q08881	Q9UIA0
Q53QZ3	Q9UL26
Q8TBP5	Q9BVN2
Q86VZ4	Q9C0E4
Q8N3C7	Q9NR48
Q8TBP5	Q9P2F6
Q8TBP5	Q9Y657
Q9H2H8	Q9UNP9
O14965	Q15131
P08631	Q9UQF2
P42081	Q8IUD6
P62834	Q6ZV73
Q5JS13	Q70Z35
P61088	Q7Z6E9
Q52LW3	Q8IXI1
Q5VWQ8	Q8IXI1
P98174	Q96HU8
P06239	Q99683
Q8N1C3	Q9GZZ6
Q13017	Q9HBH0
P51151	Q9NZM3
Q5JSP0	Q9Y3L5
O43307	O75553
P09871	Q07325
P36406	Q14155
P00749	Q15633
P53667	Q7Z699
Q12852	Q8IV63
Q96P47	Q9NR81
P52566	Q9Y689
P13611	Q08722
P68402	Q9Y297
P08887	P19838
P19320	P19838
P32004	P49407
Q13464	Q16584
Q14118	Q92823
P21579	Q92915
P61966	Q9Y296
P48304	Q07108
Q8N1Q1	Q9ULX7
P21675	P35713
P09429	Q01082
P00750	Q8IUA0
Q8N103	Q92619
Q9NYF5	Q9P2F6
O14936	Q9ULH1
Q8IXI2	Q8WWW0
P20936	P57075
O75604	P41743
P51991	Q13243
Q13625	Q8N5V2
Q13418	Q8IUD6
Q13418	Q9Y508
O60260	Q09470
Q86YM7	Q9H2B2
Q8WZA2	Q9NZ72
O75689	Q9NZL6
O60260	Q9UPW8
O75147	P19793
P10826	Q8WZ42
P60008	Q8WZ42
P23560	Q8IWV2
P00519	P11473
P15151	Q9HC29
Q8NI17	Q9NPH9
Q5VST9	Q99704
Q15669	Q9NYY3
O15117	Q86WN1
Q8IW93	Q8N2Y8
O75886	Q9BVN2
O15075	P06213
O94812	P17252
P61019	Q9P212
O43186	O60315
O15499	O60422
O43186	P09067
O43316	P09629
O14594	P13611
O94856	P13688
O60422	P14859
O43316	P17482
O43316	P17509
O95076	P20264
P17509	P20265
P16471	P22105
O43316	P23760
O95096	P23760
P09629	P23760
P20264	P23760
A2RU54	P28069
O14627	P28069
P14653	P28069
O14813	P28356
P20264	P31249
O43316	P31267
O15522	P31268
O43711	P31273
P09067	P31314
P31273	P31314
P08631	P34925
P12931	P34925
O43316	P35453
O60315	P39880
P17948	P42680
P28069	P47902
P20719	P49335
P49335	P52945
P19622	P52952
O15522	P54821
O15499	P56915
O60422	P56915
P20340	P62826
P20265	P78367
O43186	Q01826
O60422	Q01851
P23760	Q01851
P32519	Q01892
P78545	Q01892
Q01974	Q13882
O00533	Q14324
P35453	Q14774
O14842	Q15077
O75445	Q16363
P07550	Q16557
O15522	Q5XKR4
Q13203	Q7Z5N4
Q14774	Q8NFW5
A2RU54	Q8TAU0
O15522	Q8TAU0
O60422	Q8TAU0
P09017	Q8TAU0
P35548	Q8TAU0
Q8NFW5	Q8TAU0
O43506	Q8TC27
P40189	Q92752
O94856	Q92859
P16471	Q92859
Q12837	Q96IS3
P24530	Q96LB1
P52952	Q96QS3
O43699	Q96RL6
Q92826	Q99453
P23760	Q99697
Q96T37	Q9BY77
O15522	Q9BZE3
P52945	Q9BZM3
Q01826	Q9H161
Q8NFW5	Q9H161
O14627	Q9H2W2
O15522	Q9H4S2
P54821	Q9H4S2
P37288	Q9NPC1
P32519	Q9NZC4
Q07687	Q9NZR4
O94813	Q9P2S2
Q9H2U9	Q9UKF2
P58397	Q9UKF5
Q8TE60	Q9UKF5
P31249	Q9UKI9
Q8TC27	Q9UKJ8
Q9H324	Q9UKJ8
Q9H324	Q9UKP4
Q9UKJ8	Q9UKP4
Q9H324	Q9UKQ2
P28069	Q9UMQ3
Q9H2W2	Q9UMQ3
Q8WXS8	Q9Y3Q7
O15178	Q9Y458
O43541	P04004
Q13322	Q8N5H7
P42081	Q9UIR0
P16885	Q6S5L8
O43491	P41743
P14859	P23760
O95147	Q9BVJ7
Q9BVJ7	Q9Y6J8
O75093	O95359
P46531	P48431
P78552	Q9Y4K3
Q8IV04	Q92609
Q9H2X6	Q9ULC3
Q8N5T2	Q9Y3P9
P62491	Q12979
Q12979	Q15907
P36406	Q9NZN5
P01903	P12018
O94776	P15036
O75078	P78536
P08922	Q08881
P31371	Q5VST9
P46721	Q6ZQN7
P50613	Q9UQ07
O00533	Q9Y2H6
O60667	Q9Y624
P00748	Q9UGM3
P20929	Q13387
Q12965	Q6XZF7
P16885	Q8IZP0
Q8IZP0	Q9NZM3
Q9NYB9	Q9NZM3
Q8IZP0	Q9UKS6
O14497	P0C1H6
P60953	Q8WZA2
P13762	Q14116
P04201	Q15743
P46089	Q15743
P62070	Q2M1Z3
P16234	Q99986
O00468	Q6UW60
Q99759	Q9NYJ8
P29279	Q13418
P35713	Q6UWV2
P02654	Q9Y616
P43405	P51955
Q6TGC4	Q9Y2J8
O95096	P06213
P06213	P50219
O94769	P50281
O43763	Q92570
O43602	Q92823
P08567	Q15848
P02776	Q86YW5
O43524	P15692
Q15382	Q5JS13
P52564	Q99640
O95136	P34998
P50750	Q16659
P63279	Q9NPD8
P49023	Q09472
P11362	Q9H2W2
P21579	Q86YM7
Q96SI9	Q9Y657
P09016	Q9UQB8
P35913	P56715
P61769	Q12933
Q8N441	Q9GZT9
Q8WU20	Q9GZT9
P04264	P09871
O43293	O95382
O43293	P34947
O43293	Q14012
O43293	Q15772
O43293	Q9NQU5
O43293	Q9Y463
P35712	P49640
P12644	Q04721
P01588	Q969J5
Q5SW96	Q9BXN2
O43739	P15153
O60469	P24394
O95319	P26368
O14770	P31273
P35716	P49335
O14770	P54821
O43186	P55347
O15524	P57075
P20265	P78411
P26378	Q12849
P09012	Q13148
P52298	Q13151
P52272	Q14966
O43639	Q15813
P15153	Q8WWN8
Q12849	Q8WXF0
P51157	Q92730
Q8WVN8	Q969M7
Q14863	Q96QS3
O95319	Q9BQ04
P52597	Q9BQ04
Q92879	Q9BWF3
Q12837	Q9H4I2
Q9BQ04	Q9H6T0
Q15717	Q9NQ94
P57735	Q9NZQ0
P61018	Q9NZQ0
Q15771	Q9NZQ0
Q5HYI8	Q9NZQ0
Q8WXH6	Q9NZQ0
P31276	Q9UBR4
P35453	Q9UBX0
Q9BQ04	Q9UKM9
Q13191	Q9Y2T1
Q00013	Q05655
P06239	Q86UX7
P20908	P22894
P22694	Q13976
P30874	P35346
P35346	P41146
P27338	Q6QHF9
P00439	Q04656
P10586	Q9UBD9
P16070	Q4KMG0
Q8IV63	Q9H422
O75592	Q9UPQ4
P24385	Q9Y2U5
P30101	Q9Y320
O60229	P07949
O43602	P16333
O15344	P43403
P36405	Q15811
P14616	Q16671
Q5VST9	Q96AQ7
O75398	Q9NP31
Q9HCM4	Q9NYB9
O60543	Q9NZN5
P14210	Q9UGM3
P56945	Q9UHG0
O14641	Q9UKW4
O75398	Q9UKW4
Q13761	Q9UKW4
Q93038	Q9Y239
O15075	P31749
Q9BX66	Q9Y4G6
O60663	P10415
P22413	Q6ZWJ1
P20264	Q9UJU2
Q15811	Q96QB1
O14944	O60603
O75578	P02461
P06401	Q02962
P07358	Q15485
P40933	Q8NET5
O43474	Q9BT81
O43474	Q9H6I2
P13612	Q9UDY8
P43489	Q9UH65
P17301	Q9Y4K3
Q9Y2X7	Q9Y6D5
P01112	Q8IW00
P49815	P52198
O15520	Q14183
Q96GM5	Q9NVW2
P05362	Q9BRK3
Q5VT52	Q9UPN6
P08218	P49862
P20718	P49862
Q14002	Q9HBG7
P07996	P33681
P31268	P42229
P26718	P43405
P41743	Q02641
Q6P9H4	Q9Y2G2
O75386	Q9Y6N7
P16219	Q9H845
P35968	P47712
P17600	Q14416
Q13873	Q15796
Q12923	Q9UDY2
Q5TCQ9	Q9UDY2
Q9UDY2	Q9Y4G8
O60939	P41217
P41217	Q7Z3B1
Q13322	Q15642
P50458	Q96KN3
O00560	Q07157
P17948	Q16760
P98174	Q9Y6N7
O95263	P54750
P07947	Q15811
Q13671	Q6T310
P55854	Q96HU1
P15882	Q96L33
P57729	Q96P48
P42680	Q9BRR9
P54750	Q9NP56
O00257	P14210
O95759	P15153
O60229	P55040
Q15311	Q15382
Q15311	Q92730
P51151	Q96HU1
Q15907	Q96HU1
Q96HU1	Q9BPW5
Q96HU1	Q9BW83
Q9NYR9	Q9NZM3
O15085	Q9Y272
P49761	P78368
P02489	P12755
O15178	P18075
P07358	Q9BXR6
Q13191	Q99607
P02775	P49765
P46531	Q99684
O00305	O43639
O95835	O96017
O95057	P08134
O95057	P17081
O43639	P54284
P11234	P57729
P41743	Q13976
P11233	Q96BM9
P11234	Q96BM9
Q8WXH6	Q96BM9
Q9BPW5	Q9H0F7
P51151	Q9NVJ2
P57729	Q9NVJ2
Q96AX2	Q9NVJ2
P01116	Q9UPQ3
P04049	Q9Y2T1
O60481	P46531
P05362	P49767
O15230	Q9NS68
Q9NPG1	Q9Y4K3
Q2TAC6	Q86VH2
Q9UIB8	Q9Y6N7
Q01524	Q9BZP6
P24593	P55268
P04216	P40259
P33527	Q92887
O14813	P09067
P31275	P31276
P16871	P40238
O00409	Q01167
P55316	Q01167
P15498	Q7Z4S9
Q71RG4	Q96B97
P04085	P09529
P24043	Q8WZ75
O14641	Q9H116
P55286	Q9HCK4
P10145	Q9Y4H2
Q99570	Q9NYV4
P12755	P46531
P28223	Q9BRI3
Q6UXH9	Q7RTY7
P61006	Q96P48
P15692	Q99466
Q14896	Q99814
P21918	Q9Y2T6
P29320	Q12913
O96018	Q8TF72
O60315	P40425
O14543	Q02779
P49792	Q8IXY8
Q13017	Q8WWN8
Q8TE77	Q99956
P43405	Q9BY11
Q13322	Q9BY11
P20338	Q86YR7
P49703	Q86YR7
Q15771	Q9HCE6
O43353	P80511
O60260	Q15628
Q68CZ1	Q9Y337
O15350	P78509
O60312	Q9Y2Q0
Q8WUA7	Q9Y3P9
O15198	P06241
O43566	P16949
P12643	Q8WU17
Q13263	Q99728
P35241	Q9BUP0
O14791	Q9BPW4
Q969M2	Q96HC4
O43295	Q96B97
P98160	Q14162
Q02410	Q99435
P98160	Q9NPY3
P01112	Q96MS0
Q13185	Q9Y6F8
P22003	P55103
O60506	P33240
O43390	Q9H0L4
O43390	Q9Y5S9
Q8IYX4	Q9Y5S9
O15519	P08138
P49640	P54753
O00175	Q70Z35
Q15811	Q96M96
P52952	Q92997
P98161	Q96SI9
P54753	Q99835
P04637	Q14774
P08173	P13945
O94856	Q6ZN44
O15146	Q92823
P62993	Q9NZR2
Q07157	Q96RT1
O14980	P20338
P43250	Q13177
P46100	Q9NRZ9
O76050	P45379
P17275	Q13118
P13612	Q14511
P01137	Q14956
O43424	Q16602
P51617	Q92692
P28907	Q96GW7
Q16665	Q99835
O15105	Q9BZR6
O00222	Q9H2B2
Q00535	Q9NQ66
P35590	Q9NY15
P17787	Q9NYB9
O14672	Q9Y4K3
P68133	Q9H981
Q13310	Q9BZB8
Q5SZQ8	Q9H361
P30679	Q08462
P06681	P40763
O60739	P23588
O95900	Q96BT7
Q86YR7	Q969Q4
Q96G23	Q96LT4
Q7Z3T8	Q9H8T0
P43146	Q8TEY7
O14770	P17483
P56945	Q92968
Q9NYT0	Q9UI08
Q9UMQ3	Q9Y6X8
P04004	P08697
Q8N4G2	Q8WXH6
P15498	Q9NRC9
Q7Z6J0	Q9Y371
P09619	Q7Z3E1
O75636	O95727
P01116	Q13017
P62745	Q13017
Q04771	Q16584
P62877	Q16763
P29317	Q495M9
Q15057	Q6ZV73
P80192	Q8IX03
Q02779	Q8IX03
Q16584	Q8IX03
P31314	Q96A47
P55345	Q9H3R0
Q14289	Q9NZI8
A1X283	O75791
O60229	Q12965
P20936	Q15080
O43639	Q5TCZ1
Q12965	Q5VST9
Q96D71	Q9BV35
Q8TE67	Q9BXT8
Q7Z572	Q9NZM3
O60330	P10586
P16871	Q71H61
P10586	Q9Y5G7
P10586	Q9Y5H1
Q9UN74	Q9Y6N7
Q9Y5G6	Q9Y6N7
Q9Y5I1	Q9Y6N7
P29074	Q13425
Q13616	Q5M7Z0
P15529	Q7Z407
Q16584	Q7Z4I7
P40225	Q9BRK3
P07766	Q9H7M9
P35226	Q9ULK6
P00519	P21709
P11362	P42680
P11362	P51451
P42680	P54756
O14933	P61081
P29558	Q13148
P20701	Q13203
P52756	Q13310
O00762	Q8N2K1
O14933	Q8N2K1
P61081	Q8N2K1
P61086	Q8N2K1
Q8N2K1	Q969M7
Q99801	Q9H9S0
P16234	Q9NYL2
P32243	Q9UPW6
P22894	Q9Y5R2
P62993	Q13422
P46109	Q9UKN7
Q15303	Q9HC98
O60810	P12724
A6NKC9	Q13094
P22897	Q5QGZ9
P34096	Q5VWM6
Q5D862	Q86YZ3
A6NKC9	Q8N5H7
P01375	Q71H61
O60229	O94885
Q13387	Q96PC5
P42680	Q9NSI8
Q96PC5	Q9UQF2
O15254	P11310
O76036	P40189
P08476	Q8IV16
P00751	Q8IUX4
Q5TCX8	Q8N5S9
O43307	P43034
O00567	Q01780
P06729	Q9BY67
P08246	P46934
P07332	P49761
P16234	Q13177
P35670	Q13232
Q15738	Q53GQ0
P16234	Q9HAZ1
Q04759	Q15306
P01137	P17947
P55291	Q9NYQ8
O14786	P00533
P05231	P07766
P17301	Q03001
P43403	Q9Y4K3
O00213	O95248
O43566	Q16623
O95294	Q86UR5
Q4G148	Q8WZA1
Q9BT67	Q9NQ38
P08754	Q5JTN6
P22455	Q02763
P62820	Q8N4Z0
Q13464	Q96HU8
P61088	Q5TCX8
P54296	Q86YM7
O00425	Q9NYG5
P10966	Q96J02
Q13131	Q9BST9
P25067	Q15223
Q99757	Q9BS26
P36402	Q06945
O94813	P55107
P07357	Q9Y279
P11047	P24821
P08476	P49767
P15692	Q08334
P31371	Q92729
P16109	Q9UHF1
Q9HCK4	Q9ULB4
P13497	Q9Y4K3
O94811	Q9UHD9
O00305	Q15813
P04180	Q9Y5X9
P18031	P54756
P07478	P08311
P07359	P26718
O95711	P06681
P28827	Q9Y4C0
O94806	P29353
P51148	P55735
O75689	P63165
P51959	Q13164
P26045	Q6ZV73
P20138	Q92956
P38405	Q96CN4
Q14964	Q96M96
Q5JWF2	Q9BXI6
O43307	Q9NZL6
Q6ZV73	Q9Y2J2
Q9UNA1	Q9Y490
O43364	P26367
O60496	Q8IVF5
Q15628	Q9BWT7
Q8WYL5	Q9HD43
P27986	Q9NQC7
Q9H6X2	Q9UKX5
P06241	Q13422
P31749	Q12852
P48061	Q5JRA6
Q13017	Q9H3D4
P49840	Q8TAS1
P01579	P19237
A1IGU5	P51159
P10911	P61225
A1IGU5	Q15669
P55854	Q9H0E7
O14965	Q9HBH9
P06340	Q9NZP8
P51671	Q14155
Q13634	Q8N126
P08684	Q6UW02
O00233	Q96QZ7
O00237	Q5VVQ6
Q765P7	Q9UQ16
P48201	Q06055
O94985	P32004
P32004	P55289
P16471	Q00888
P09382	Q14112
P06681	Q9Y275
P01597	Q9BY67
Q96HF1	Q9BY79
P01703	Q9NZC2
P19474	Q8TEY7
Q5T124	Q96B97
O43236	Q15286
Q15286	Q9UH03
P25098	Q8N136
P02461	P16410
O94813	Q9Y297
O14770	O43316
P46109	Q8IW93
Q04743	Q9UBX0
Q9HAQ2	Q9UIL4
P16871	Q9Y6N7
P04233	Q9NQ25
O14593	P50613
P42773	Q9H1R3
P03951	P83110
Q9BVS5	Q9NRN9
P51957	Q6P3R8
O15169	Q8IWN7
O14965	Q8N752
P13611	Q8WZ42
Q03164	Q9UBC3
O94887	P63000
P55042	Q92870
O43639	Q92956
P10415	Q9BRJ9
O95631	P29323
P19957	P98073
P78380	Q9NZS2
O95238	P41212
O95238	Q06546
P19174	Q96HU1
P06702	P11215
P46531	Q9NWX5
P13747	Q9ULY5
P51512	Q8WXS8
O00468	P37023
O75116	P43146
P14317	Q13490
Q6IQ55	Q9Y6M4
P32297	P34903
P49427	P55854
O60890	P61587
P60604	Q13501
Q12849	Q15233
Q14103	Q15696
P10911	Q5JS13
Q14644	Q5VST9
Q14644	Q8IW93
Q15831	Q8TDC3
Q12849	Q8WVV9
P57729	Q8WWN8
Q2M1Z3	Q92730
Q5JS13	Q96P47
Q86X27	Q96P47
Q92995	Q96PU4
Q5JS13	Q9BQI7
Q9BQI7	Q9BYX2
O43896	Q9NRH3
Q92737	Q9NZM3
Q14644	Q9NZN5
Q8WY64	Q9UKV5
Q15283	Q9UKW4
Q5JS13	Q9UKW4
Q13017	Q9Y272
Q9NQW6	Q9Y6R0
O75970	Q8TF65
O14795	Q02410
P17947	Q99728
P63000	Q9BYX2
P23246	Q9HA38
Q5VST9	Q9ULW5
P09769	P51812
P30291	P53671
Q15349	Q16584
O00238	Q5VT25
O75385	Q8IZL9
P27361	Q96RR4
Q14680	Q96RU7
O60285	Q9NRH2
P43034	Q9UH03
Q6KF10	Q9NR23
Q7Z4P5	Q9NR23
O15197	Q8IV01
P20701	Q8TDQ0
Q8IYS5	Q9Y279
Q86UR1	Q9BY11
Q01844	Q9H361
O95271	P25098
P02652	P30533
P13667	P32119
O95727	P03952
O43307	P36404
P36404	P52565
A6NIZ1	P61106
P61106	P61224
Q15311	Q5JT25
Q15311	Q9H0N0
O43307	Q9UBK7
P20936	Q9UBK7
O43307	Q9UNT1
P20936	Q9UNT1
Q96J65	Q9NP78
P78357	Q9Y639
P46379	P61956
P23468	Q7Z4K8
P61956	Q8N7F7
P23468	Q8TC99
Q8N7F7	Q8WTU0
P57075	Q96PC5
O94888	Q96PU4
P19878	Q9BVT8
Q6ZUT3	Q9BVT8
Q96PU4	Q9BVT8
Q8WUN7	Q9BZL1
P10398	Q9HAC8
P19878	Q9HAC8
P10600	Q96P48
P01040	P37173
O94813	Q9UPM6
O14944	Q92949
P19113	P34896
O15164	Q8IWX8
O14836	P28070
P29323	Q9P2D1
P55289	Q8TAB3
P49675	Q96QB1
P36404	Q03113
P36404	Q14344
P61106	Q7Z444
Q7Z444	Q96BM9
Q5JWF2	Q9H0N0
P17081	Q9UBK7
O95661	Q9UNT1
P61586	Q9UNT1
P84095	Q9UNT1
Q15382	Q9UNT1
Q96PC3	Q9UPM8
P20936	P61106
P30874	P34972
Q86VY4	Q9NR48
P43119	P51677
Q6ZV73	Q92529
O95256	Q9Y2C9
P20160	P46939
Q12809	Q99814
P22626	Q9HAU5
O15530	Q13202
Q6IE81	Q96A58
Q14116	Q99607
O75821	Q9UBS0
O00401	O75563
P01215	P08476
P12111	P20138
P12018	P20701
O14638	P22413
P07332	P30530
P13987	Q04771
O75019	Q08708
O75022	Q08708
P41145	Q15391
Q08708	Q99062
Q8IV63	Q9C098
Q16763	Q9H832
Q16539	Q9HCP0
P18825	P32245
P34972	P50406
O14492	Q15052
P17693	Q29983
P41743	Q9H254
O76039	P31749
O15204	P08648
O95936	Q02447
O95936	Q13422
P49639	Q9BRK5
P53779	Q02763
P29323	Q8TAS1
O95361	P49767
O15146	P52952
P47871	Q02643
P56178	Q15303
P28358	Q92570
P52951	Q92570
Q14563	Q9BY67
P55107	Q9H2X0
O60687	P29317
P36897	Q6UXY1
Q9NP62	Q9NYJ7
P02753	Q9Y4H2
Q9H1R3	Q9P0L2
Q16602	Q9HCK4
P0DI81	Q15436
P0DI82	Q15436
Q6IPX1	Q96BZ9
Q8IZP1	Q96BZ9
Q9BUY7	Q9NP86
O14543	O14867
P15882	P61586
P11684	P22301
Q6ZV73	Q765P7
O75023	Q4ZHG4
Q8N9C0	Q9UMF0
P51617	P78368
P07203	Q9H299
O43927	Q9Y258
P09341	Q9Y258
P10145	Q9Y258
P19875	Q9Y258
O60939	Q16653
Q15743	Q9H228
O43294	P40617
P29122	Q16584
P61328	Q5TCX8
P10415	Q13158
P10826	Q15475
O15520	Q68CZ2
P04233	Q9H257
P31942	Q92945
O76075	Q9NRC6
O15116	P60228
P78549	Q9UBC3
P61077	Q8IWR1
P61088	Q8IWR1
Q14155	Q96PC5
P07996	P20333
P32004	Q15848
P09172	P78509
Q92630	Q9BX66
P16234	Q9HB21
Q16773	Q8TD30
P01116	Q14896
P05000	P29460
O60496	Q70Z35
Q6ZSZ5	Q8NDX1
O15020	Q96AC1
O60469	Q99715
Q12860	Q9P218
P51452	Q8WUK0
O76041	P42679
O76041	P80192
O60229	Q86UR1
O60565	Q92854
P01116	P52657
P45378	Q9P212
A6NEQ0	O43251
O43251	O43390
P33240	P55795
Q13595	Q14103
Q12837	Q6NT76
A6NEQ0	Q6NXG1
P26368	Q8WVV9
P22626	Q9BZB8
P22626	Q9H0L4
Q9BZB8	Q9NW64
O60260	P19438
P98175	Q8NFH5
O95757	P48741
P26045	P51532
O00468	Q08289
P46531	Q8TAU0
P01127	Q9HB21
O14757	Q9H2X6
O14512	Q8WXI2
O00160	Q15642
P30679	Q96F15
O94806	Q13233
O15072	P09238
O95243	P04637
P43034	Q05397
P05111	Q8TEB7
Q02962	Q9P212
Q9NPD8	Q9UM13
Q9UM13	Q9Y2X8
P28068	Q9Y4K3
O75643	Q7L014
O15530	Q9NP72
P31371	Q92736
Q15223	Q9BY11
P31749	P61812
P36507	Q9H2K8
P00749	P31994
O75582	P35626
P34947	P51813
P78368	Q16512
P51955	Q16539
Q86Y07	Q96BR1
Q15349	Q96S38
Q8IWQ3	Q96S38
Q96S38	Q9Y2H9
O43248	P35222
P28356	P35222
P12319	P40189
P21554	P49019
