O75144	Q5TFQ8
Q13285	Q9H4S2
P14868	P49591
P12081	Q9NSD9
O95206	Q02410
Q15691	Q71UI9
P61968	Q96HC4
P55290	Q99435
P02461	P42226
P05549	Q13873
Q9HBU1	Q9NSA3
P31314	P39880
P35548	P50219
P02461	P35968
O75385	Q8N5V2
Q19T08	Q96MX0
O75022	P08887
P02751	P15813
O15259	P56597
P08887	Q8N149
P08887	Q8N423
P02751	Q96LC7
P15813	Q99062
P20138	Q99062
Q99062	Q9BZZ2
P02751	Q9UGN4
Q13449	Q9UQ52
P04049	Q13588
O15357	Q13813
P30679	Q15311
P29074	Q86WG5
O76036	Q86YW5
P33981	Q8TAS1
P34969	Q8TDS5
P43146	Q9BXN2
Q9H6Q3	Q9HBE1
P46108	Q9NS23
Q92529	Q9NZN5
Q9NZM3	Q9P212
Q13185	Q9P2D1
Q9NS23	Q9UKW4
P13765	Q9UNN8
P50395	Q9UPQ3
Q92738	Q9UPQ3
Q96HU1	Q9UPQ3
P49639	Q9UQB8
O75689	Q14161
P01133	P10071
P00533	P11047
P10070	P12830
P07942	Q14623
O00468	Q9UJU2
P06340	Q92692
O00187	P23946
P07948	Q00013
P06493	Q07912
Q16787	Q9C0A0
Q14964	Q8WUD1
O60469	P35240
Q6UXL0	Q9BY67
O75828	P47895
P03973	P06870
P61077	Q8IYU4
P03973	Q9H3S3
Q05329	Q16719
P49591	Q6PI48
O00308	P06241
P62256	Q13501
P62877	Q14139
O75554	Q6NWY9
P29375	Q6ZMT4
Q07889	Q8WZ64
O60504	Q92993
P15529	Q96D42
Q7Z569	Q9NZC7
B2RNN3	Q13201
P04233	Q9Y219
Q9NPG4	Q9UHC6
P09067	P39060
Q13268	Q8IZV5
Q13268	Q8NBQ5
Q53GQ0	Q9NYR8
Q9UIJ7	Q9Y6K8
P01772	P01857
P01764	P01859
P01772	P01859
P01764	P01860
P01772	P01860
P01593	P04439
P01599	P04439
P01597	P04439
P01594	P01903
P01602	P01903
P01903	P06312
O14931	P01721
P01599	P01889
P01889	P06312
P01721	P01889
P01850	P01911
P01593	P15813
P01594	P01911
P01597	P01911
P01599	P29965
P06312	P29965
O43930	P31751
P01764	P61769
P01593	Q30154
P01594	Q30154
P01599	Q30154
P01597	Q30154
P06312	Q30154
P01721	Q30154
P01764	Q95460
Q8N8S7	Q99666
P01772	Q9NPF7
Q6A1A2	Q9P1W9
Q9UHI8	Q9UNA0
Q96S82	Q9H329
P36894	Q9HAU4
P04233	P48740
P50613	P62487
P17787	P78352
Q13009	Q86WK6
O96017	Q8WTP8
P21728	Q9NRD5
O43294	P12757
P19438	Q16873
P10721	Q13253
O95271	P54764
A6NEQ0	Q15020
P29323	Q15569
Q13310	Q86U06
P19838	Q9UH73
Q8WWQ0	Q9UIG0
A6NJZ7	P42685
A6NNM3	P42685
O94885	P52735
O60260	Q6EEV6
P46379	Q6EEV6
P54725	Q6EEV6
Q14CS0	Q6EEV6
P52735	Q6ZMT1
Q6EEV6	Q8WUN7
O14562	Q9BVT8
A6NNM3	Q9H6Q3
P42685	Q9UFD9
Q6EEV6	Q9UNZ2
Q8N6H7	Q96P48
Q969Q5	Q9C0C7
Q969G2	Q9ULC3
Q92673	Q9NZM3
P42701	Q14623
O00560	Q96HC4
Q07954	Q9P212
Q15633	Q96J02
O43293	Q6A1A2
Q07960	Q9UBK7
Q07960	Q9UNT1
P35712	P48436
Q16787	Q9BX66
P01133	P01137
O14896	Q9H3D4
O14640	Q5T2T1
P43403	Q5VZ18
O75901	Q96LJ8
Q5VT06	Q9NZM3
Q5SQS7	Q9UJV3
P48546	Q14184
Q14126	Q9NYQ6
P01178	P08311
P10114	Q86YS6
P40616	Q92730
Q8IZ41	Q96S79
P61586	Q9UL26
Q06141	Q8NFW1
Q96S53	Q99683
Q96BT7	Q96FX7
Q86Y82	Q9NZD4
O60496	Q969H4
P08631	Q9P0V3
O00194	P46459
Q5T124	Q8IYU4
P63165	Q8WVY7
O15085	O15392
P38398	Q13619
Q9P2M4	Q9Y3P9
Q86WV1	Q9NSI8
P04049	Q9UK80
P78352	Q9ULJ8
P43354	P56177
P11474	P56178
P04629	Q03014
Q8N8U9	Q9NR61
O14944	O60504
P07948	P08047
O75144	P16410
P53680	P63000
P14416	Q8NDV2
P20916	Q9HCK4
P32121	P42229
O15164	Q14258
P00519	Q04656
P07225	P41970
P32242	Q12951
O14786	Q14118
P29460	Q9BZM6
P54578	Q8WUN7
P31942	P42696
O15034	Q5TDH0
P42696	Q76FK4
O00148	Q8NHQ9
