Q8NER1	Q9P2E9
Q7L099	Q8NER1
Q8NER1	Q9Y6B6
O75368	Q8NER1
Q7KZF4	Q8NER1
Q8NER1	Q9Y5M8
P04216	Q8NER1
P13693	Q8NER1
Q8NER1	Q9Y3Q8
Q8NER1	Q9H4B7
Q8NER1	Q9BUF5
P26368	Q8NER1
Q8NER1	Q9BZF9
P18206	Q8NER1
Q6H8Q1	Q8NER1
P61163	Q8NER1
P35612	Q8NER1
O95831	Q8NER1
P47756	Q8NER1
P12109	Q8NER1
P21291	Q8NER1
Q8NER1	Q92841
Q03001	Q8NER1
P07814	Q8NER1
Q8NER1	Q9NSD9
P14324	Q8NER1
P02671	Q8NER1
P02100	Q8NER1
P52272	Q8NER1
P41252	Q8NER1
P01871	Q8NER1
Q8NER1	Q9UHB6
Q7KZI7	Q8NER1
O94832	Q8NER1
Q15907	Q8NER1
Q15286	Q8NER1
P15880	Q8NER1
Q8NER1	Q9Y512
P43307	Q8NER1
Q12792	Q8NER1
P16989	Q8NER1
P49454	Q12846
P10636	P12277
P19532	Q9HB90
P19532	Q9NQL2
P19532	Q8IV63
P19532	Q9Y6J0
P19532	Q8IYD8
P19532	Q9NUW8
P19532	P31939
P19532	Q9UI12
P15924	P19532
P19532	Q96KQ7
P19532	Q99798
P19532	P60709
P19532	P68032
P19532	P63261
P09874	P19532
P05186	P19532
P19532	Q13330
P19532	Q9BTC8
P12235	P19532
P05141	P19532
P05388	P19532
P00966	P19532
P19532	Q15911
P18846	P19532
P19532	P25705
P06576	P19532
P19532	P38606
P19532	P21281
P19532	P61421
P19532	P36543
P19532	Q93050
P19532	Q14103
O14867	P19532
P19532	P54132
P07355	P19532
P0DP23	P19532
P0DP24	P19532
P0DP25	P19532
P19532	P27797
P19532	P78371
P19532	P49368
P19532	P50991
P19532	P48643
P19532	P40227
P19532	P50990
P19532	P23528
P12277	P19532
P19532	P39880
P19532	Q13948
P17844	P19532
P19532	P68104
P13639	P19532
P05198	P19532
P19532	P60842
P19532	Q9NZI8
P19532	P22087
P19532	Q02790
O75955	P19532
P19532	Q14254
P02751	P19532
P12956	P19532
P19532	P50395
P19532	P63244
P19532	P30101
P11021	P19532
P16402	P19532
P19532	P84243
P19532	Q5TEC6
P19532	Q92769
P19532	P54198
P16104	P19532
P09651	P19532
P19532	Q99729
P19532	P61978
P14866	P19532
P11142	P19532
P04792	P19532
P10809	P19532
P08238	P19532
P07900	P19532
P19532	P34932
P19532	P38646
O75874	P19532
P14923	P19532
P00338	P19532
P19532	P49916
P19532	P20700
P04083	P19532
P19532	Q9NPG3
O15525	P19532
O95983	P19532
P19532	P25205
P19532	P33993
P19338	P19532
P19532	P48681
P19532	Q14966
P19532	Q9BQG0
P19532	Q06830
P19532	Q15366
P12004	P19532
P07737	P19532
P00558	P19532
P19532	P35232
P14618	P19532
P19532	P26599
P19532	P63313
P19532	Q09028
P15927	P19532
P19532	P62906
P19532	P35268
P19532	P61254
P19532	P46779
P19532	Q02878
P18124	P19532
P19532	P62263
P19532	P62841
P19532	P62249
P08708	P19532
P19532	P39019
P19532	P62701
P19532	P46782
P19532	P62753
P19532	P62081
P19532	P62241
P00441	P19532
P19532	P48431
P19532	Q9BXA9
P19532	P55769
P19532	P31948
P19532	Q9HD40
O15119	P19532
P17987	P19532
O60293	P19532
P19532	Q92734
P19532	P29401
P19532	Q6NT76
P19532	P42166
P19532	P42167
P19532	Q13472
P19532	P60174
P14625	P19532
P13693	P19532
P19532	P68363
P07437	P19532
P19532	P22314
P08670	P19532
P19532	Q96E14
O95785	P19532
P18887	P19532
P13010	P19532
P19532	Q96RR1
P19532	Q16352
P19532	P62258
P19532	Q04917
P19532	P63104
P19532	P68371
P19532	Q8WXI9
P19532	P35637
P19532	Q86YP4
P19532	P49588
O75531	P19532
P19532	Q562R1
P19532	Q9C0A1
O94776	P19532
P19532	Q15365
P19532	Q96Q89
P19532	Q96JM2
P19532	Q5VZM2
P19532	Q16576
O75367	P19532
P19532	Q8TF68
P19532	P26373
P08243	P19532
P19532	Q13488
P19532	P62424
P19532	P62280
P19532	P39023
O60281	P19532
O15060	P19532
P19532	Q6ZU65
P19532	Q9P2D1
P19532	Q86UW6
P19532	Q5T7N2
P19532	Q04837
P19532	Q9UIF8
