P14136	Q9BVA1
P14373	Q01826
P14616	P54753
P14653	P17509
P14902	P23381
P14923	Q08881
P14923	Q93008
P15036	Q06481
P15036	Q12778
P15169	Q8TCN5
P15822	Q86UW1
P15822	Q96MN9
P15924	P25054
P15927	Q14686
P15976	Q92731
P16157	P35609
P16220	P67870
P17252	P35568
P17535	P20749
P17612	P45983
P17655	P49768
P17706	P62258
P17706	Q08345
P17844	P34932
P17858	P62249
P17987	P46940
P18206	P28827
P18583	P49761
P18621	P81605
P18669	Q9BXS0
P18847	Q9Y6Q9
P19087	P63096
P19174	Q99759
P19235	Q12866
P19338	Q12888
P19397	Q9ULZ3
P19474	Q09472
P19793	Q99750
P19838	P53618
P20138	P42768
P20292	Q14019
P20333	P25774
P20700	Q9ULX6
P20823	Q13761
P20823	Q14653
P20936	Q02297
P20963	P29466
P20963	P49863
P21802	Q15303
P21918	Q5T3I0
P22314	Q00341
P22626	Q16181
P22681	Q99952
P22692	P63261
P22736	Q15750
P23025	Q9BVW5
P23246	P62244
P23297	P48730
P23381	P28838
P23396	Q9Y5U5
P23443	P78344
P23458	P78324
P23458	Q68CZ2
P23527	P49619
P23528	Q12933
P23528	Q9H0B6
P23921	Q9H0H5
P24310	Q99608
P24592	Q9Y5P3
P24941	P31350
P25705	P56192
P25774	Q9NZF1
P25787	Q7L2H7
P25789	Q9BUL8
P25815	P36871
P25942	Q01201
P25942	Q9H857
P25963	P32927
P25963	Q03169
P25963	Q9NRY4
P26358	Q13257
P26678	P61925
P27348	Q13576
P27361	Q16594
P27482	Q14012
P27824	P62829
P28065	Q92731
P28482	Q13523
P28749	Q08211
P28838	Q9HB58
P28908	Q92838
P29350	P55196
P29350	Q08722
P29350	Q9NYB9
P29353	Q92870
P29375	Q9H4A3
P29536	Q4L180
P29558	Q03135
P30086	P40763
P30260	P78396
P30291	Q86W92
P30291	Q9HC77
P30305	Q8IW41
P30305	Q99741
P30307	P49918
P30556	P62314
P30622	P52564
P31151	P48643
P31483	Q8N3X1
P31749	P56945
P31751	P46734
P31930	P61421
P31930	Q96G21
P32249	Q93091
P32927	P52333
P32927	Q07666
P33176	Q96B36
P33176	Q96TC7
P33552	P56282
P33993	P42704
P34931	Q07011
P34931	Q9HC29
P34932	P35222
P35221	P63208
P35222	Q12959
P35228	Q92793
P35232	Q13526
P35240	Q7L5Y6
P35268	P36575
P35398	Q06413
P35573	Q8IWV8
P36542	P62310
P36575	Q13268
P39656	P63261
P40261	P50454
P40429	Q9UBQ5
P40763	Q16584
P40763	Q9UKG1
P40818	P46940
P40937	Q9Y253
P40939	Q08211
P41222	Q9H7H0
P41252	P62258
P41252	Q9UHB6
P41743	Q14155
P41743	Q9NYJ8
P42224	P51587
P42226	Q13363
P42262	Q16143
P42262	Q9C026
P42345	P52294
P42680	Q03135
P42684	Q7Z569
P43405	Q7Z6A9
P43489	Q9UHD2
P45983	P50613
P45985	Q05513
P46060	Q99497
P46060	Q9UBC3
P46087	Q5JTH9
P46108	Q9Y2X7
P46459	Q9UI12
P46778	Q9P2K8
P46934	P78317
P46934	Q9Y2X8
P46940	Q15303
P48050	Q9ULB1
P48058	P78348
P48549	P63215
P49321	Q13111
P49368	Q71UM5
P49418	P53779
P49450	Q9Y5N6
P49459	Q9ULC4
P49642	Q15004
P49848	P50750
P49848	Q00613
P51617	P78527
P51955	P60484
P52907	Q6WCQ1
P61077	Q9UN86
P63220	Q00653
P63316	Q96NX5
P78314	Q14315
Q00535	Q04917
Q00987	Q13464
Q04917	Q9UPT6
Q06418	Q6PIZ9
Q07666	Q15366
Q12841	Q96AC1
Q12888	Q16576
Q13033	Q969G9
Q13263	Q13952
Q13472	Q9NUX5
Q13480	Q86WV1
Q13509	Q15208
P0DPH7	Q9UQF2
P0DPH8	Q9UQF2
Q14832	Q70YC5
Q15293	Q8N1N0
Q15542	Q92994
Q32P44	Q9UPU9
A8MWD9	O95777
Q5JSH3	Q6WKZ4
Q5VUB5	Q9Y2E4
Q6ZMQ8	Q96SZ6
Q86UW1	Q8TE02
Q8N1N0	Q9Y2K5
O00221	P62888
Q92830	Q9UBS5
Q92832	Q9P2R6
Q92905	Q9GZT8
Q92934	Q9Y4H2
Q92993	Q9NVI1
Q93045	Q96FH0
O00459	O15162
Q96MH2	Q9Y5B9
Q96MN9	Q9UKJ3
Q9BVA1	Q9ULV4
O00743	P10415
Q9H0H5	Q9UBF8
Q9H8V3	Q9Y6A5
Q9NS56	Q9Y3C5
Q9NZQ3	Q9ULH1
Q9UKW4	Q9Y490
O14490	O60885
O14744	Q9NPE3
O14920	P36507
O14936	Q9BTT6
O14965	P33991
O15085	Q92888
O15111	P40939
O15111	P42229
O15169	P51955
O15467	Q99616
O43150	P18433
O43557	Q9Y4K3
O43639	P16591
O60282	Q9HCU4
O60282	Q9NYX4
O60333	P51674
O60763	O95373
O75925	Q96EY1
O76021	P05186
O94850	P62760
O94973	P22681
O95373	Q9UNM6
O95379	P01040
O95665	Q99801
O95944	Q15784
O95965	Q14767
O95999	P31689
P00519	P12318
P01375	Q06643
P01563	P29597
P01571	P21731
P01574	P15408
P02461	Q9HCU0
P02671	Q14314
P04049	P11831
P04637	Q8WUI4
P04637	Q96EY1
P04637	Q9Y232
P05387	P40939
P05412	P46695
P06748	Q15047
P07355	P62314
P08069	P68036
P0DMV8	P29590
P0DMV9	P29590
P0DMV8	Q92922
P0DMV9	Q92922
P08238	P43246
P08581	Q07954
P09341	P17676
P09769	P28482
P09874	P20963
P10636	P33176
P10721	Q9ULV8
P10809	Q9HC77
P11473	Q92753
P11831	Q99750
P11940	Q15046
P12236	P62753
P12236	Q13576
P12931	P40238
P13498	P60709
P13631	Q13547
P13637	Q6P1W5
P13637	Q86UW1
P14373	Q8IUC6
P14616	P46934
P14867	Q9NTI2
P15311	Q99759
P15884	Q9NQB0
P17544	Q16659
P18031	P42345
P18146	Q96RS0
P19105	Q04941
P19397	Q06643
P19878	Q13239
P20749	Q15466
P21291	P61371
P21579	Q96C24
P21580	P29466
P23025	Q14191
P25490	Q96RT1
P26998	Q9Y342
P27708	P61353
P27708	Q02878
P28062	P31146
P28482	Q92985
P29466	P50591
P30291	Q13671
P30307	P40937
P30530	Q9Y2H0
P31151	Q86SG5
P31749	Q99638
P31943	Q99590
P31946	P98170
P31947	Q01094
P33991	Q9Y6A5
P33993	Q7Z6Z7
P34932	Q14164
P35232	Q9NY61
P40121	Q15021
P41222	Q6P1W5
P41222	Q96MN9
P41279	P62913
P42224	Q92547
P45984	P63261
P48047	Q9NY65
P48643	Q71UM5
P49773	P62316
P49841	Q00653
P51452	Q9NRW4
P51693	Q14982
P51911	Q13813
P53007	Q15006
P55957	Q15628
P61158	Q9BUL8
P62136	Q15036
P62993	Q14686
P63000	Q8WYP3
P81605	Q7Z2W4
P98170	Q15628
Q00653	Q71UM5
Q00889	Q9UDY6
Q01638	Q9NR96
Q04759	Q9Y6Q9
Q05193	Q96BY2
Q05209	Q92529
Q06455	Q9UKG1
Q07687	Q92793
Q08170	Q14739
A7E2V4	Q8N1N0
Q10587	Q15744
Q12796	Q9BUI4
Q12873	Q8N488
Q13233	Q8N5C8
Q13233	Q8TD47
Q13363	Q92993
Q13546	Q9H853
Q13616	Q99697
Q15038	Q96BY9
Q15058	Q9UH17
Q15293	Q86UW1
Q16512	Q8TEL6
Q16658	Q5SW79
Q16665	Q9UBK2
Q53T94	Q9HAW0
Q6AI08	Q9Y575
Q7Z570	Q9UBD0
Q86Y34	Q9GZZ7
Q8IWT3	Q96GM8
O00168	P24592
Q8N1N0	Q92609
Q8N1N0	Q9UKJ3
Q8N684	Q9UHX1
O00232	Q14997
Q8WV28	Q96T58
Q92609	Q9H7H0
Q92609	Q9UBD0
Q96JQ5	Q9BXD5
Q96RF1	Q9HCC0
Q9BUI4	Q9H9Y6
Q9BVC3	Q9UGP5
O00750	Q8WX92
Q9GZV5	Q9P0V9
Q9H081	Q9NQS7
Q9H422	Q9Y2U5
Q9HCC0	Q9NUC0
Q9NRX4	Q9UKJ3
Q9P1A6	Q9UQ26
Q9UBD0	Q9UKJ3
Q9Y676	Q9Y6B2
O14733	P27708
O14920	P36873
O14920	Q12905
O14933	Q9UBS8
O14964	P27449
O14979	P38159
O15111	P52292
O43504	P14406
O43708	O75167
O43734	Q9BVA1
O60216	P11388
O60341	Q9UK53
O60716	Q16825
O75015	P05109
O75792	Q7L590
O76015	Q9NQ94
O76096	Q9UIV8
O94888	Q9NWT6
O95297	P10721
O95619	Q04206
O95670	P60201
O95831	P55210
O95863	Q9UER7
O96019	Q9NYJ8
P00374	Q96KB5
P01100	P09038
P04040	Q9UQC2
P04049	P33993
P04156	P60880
P04259	Q96RF1
P04632	P17858
P05013	Q14653
P05771	P31644
P06213	P31997
P06239	P16157
P06748	P24864
P07196	Q9UL42
P07948	Q15139
P08670	P35813
P09038	P49810
P09629	P15927
P0C0S5	Q08050
P10144	P49841
P10275	Q15291
P10600	Q04771
P11142	P62937
P11274	Q02750
P11387	P56693
P11388	Q71UI9
P11388	Q9H4H8
P12931	Q96CW1
P13591	Q13554
P13611	Q9BSN7
P14921	Q92993
P17706	P38484
P17858	P62979
P17931	P26006
P19174	Q99952
P19784	P62993
P20674	P48201
P20749	P53539
P23297	P60903
P23468	Q9HD43
P23471	Q9UQ16
P24593	P62736
P26038	P51884
P29084	Q53T94
P29692	P46783
P31323	Q02952
P31689	Q00403
P32121	Q9Y6D6
P33993	P35659
P38117	Q13011
P38936	Q9BW61
P41743	Q6DT37
P41743	Q99558
P42858	Q9UNF0
P43246	Q9UHC1
P46778	Q14004
P48556	P53680
P49023	Q9UNF0
P49368	P62249
P49802	Q16288
A0AVK6	Q9Y6A5
P50748	Q02224
P50990	Q92769
P51398	P51617
P51532	P51692
P51532	Q02556
P51617	Q02078
P51674	Q99689
P51679	P55773
P51693	Q9BZQ4
P51956	P62993
P52747	Q13568
P52799	Q08345
P54652	Q8N163
P54753	Q9BX66
P55042	Q06187
P55060	Q96P70
P56159	Q9P104
P60484	Q92922
P60896	Q7Z589
P60953	Q96JZ2
P60981	P62328
P61353	Q9NR30
P61812	Q04771
P61964	Q15326
P61978	P78314
P62136	Q13509
P62249	Q9HAV4
P62316	Q9NPE3
P62333	Q92769
P62837	Q9NR28
P62993	Q9ULZ2
P62995	P63165
P63104	Q14511
P63208	Q13127
P63244	Q9UNS2
P63279	Q93008
P67809	Q06609
P68400	Q9Y243
P78357	Q9UL42
P78396	Q00987
P81605	Q96RF1
P98177	Q16539
Q00005	Q08462
Q00005	Q9NYB5
Q00577	Q16254
Q01831	Q9HAP6
Q01968	Q96CV9
Q02241	Q9UBU7
Q02556	Q9NUV9
Q03135	Q14247
Q03169	Q92750
Q03431	Q05586
Q04206	Q86VP1
Q04917	Q9Y2W1
Q05086	Q15418
Q05193	Q7Z2D5
Q05193	Q9BT88
Q05639	Q9BV68
Q05655	Q14653
Q06124	Q13153
Q06455	Q13330
Q07954	Q13526
Q08289	Q8IVL0
Q08881	Q96RU3
A6ZKI3	P01034
Q09472	Q16514
Q12824	Q13625
Q12879	Q14118
Q12888	Q13547
Q12933	Q15645
Q13002	Q14957
Q13094	Q8WWW8
Q13164	Q9H2X6
Q13363	Q9UBC0
Q13490	Q14974
Q13554	Q14982
Q13554	Q9Y4J8
Q13620	Q14999
Q13796	Q9BY71
Q13813	Q9NYL9
Q14195	Q8N4L8
Q14195	Q8NF91
Q14195	Q9GZV5
Q14206	Q5JY77
Q14289	Q16620
Q14515	Q96DZ5
Q14676	Q8IYW5
Q14999	Q9UKT5
Q15170	Q5JY77
Q15363	Q9NR31
Q15468	Q9NSG2
Q15545	Q96BN2
Q15583	Q7L2E3
Q15628	Q16665
Q15788	Q9UBS8
Q15788	Q9ULI0
Q15819	Q9NVT9
Q15831	Q96GM5
Q15831	Q99558
Q16512	Q9H0R3
Q3ZCQ8	Q9H171
Q53GL7	Q8N6R0
Q5JY77	Q8IW00
Q5TGY3	Q9H7H0
Q66K89	Q8WUF5
Q6AZZ1	Q9UER7
Q6FHJ7	Q9BX67
Q6K0P9	Q92736
Q6PEY2	Q9Y4K3
Q6WCQ1	Q86X27
Q7L2E3	Q9H7L9
Q7Z6J0	Q9NR80
Q86UW1	Q9H7H0
Q86UW1	Q9UKD1
Q86UW1	Q9UKJ3
Q86XK2	Q9NRG4
Q8IXW5	Q9BWH6
Q8IYA6	Q9NYZ3
Q8N163	Q8TEL6
Q8N720	Q9NS64
Q8NFM7	Q9H293
O00192	Q9UQ13
O00206	O00459
O00206	P42684
O00221	P10145
O00257	P46060
O00294	P15586
Q8TB24	Q9ULH1
Q8TCE9	Q9NQ94
Q92793	Q99583
Q92831	Q9NRL2
Q92878	Q9NUW8
Q92900	Q96QC0
Q92993	Q99873
Q969S8	Q9UKG1
O00327	Q15185
O00445	P26998
O00459	P02751
O00459	P51813
O00463	O43187
O00479	Q9BTT0
Q96EQ8	Q9H1Y0
Q96HA1	Q9H7H0
Q96I25	Q9BWJ5
Q96N03	Q9H7H0
Q96N03	Q9UBD0
Q96NS5	Q9UMY4
Q96RS0	Q9Y6Q9
Q96RU3	Q9NRI5
Q99259	Q9H5I1
Q99457	Q9UQ16
Q9BRK4	Q9BZE0
Q9BRR3	Q9GZU2
Q9BTX1	Q9BXS6
Q9BVM2	Q9NV56
Q9BWQ8	Q9Y2H2
O00560	P51668
O00754	P05107
Q9H2X9	Q9ULB1
Q9H467	Q9Y6K9
Q9H7H0	Q9UKJ3
Q9H7H0	Q9Y2K5
Q9H7L9	Q9UIF9
Q9HCB6	Q9P2D7
Q9NPF5	Q9UBC3
Q9NPL8	Q9Y5J9
Q9NV56	Q9UHD2
Q9P0K7	Q9UM54
Q9P0W2	Q9Y618
Q9UJA3	Q9Y5P8
Q9ULD4	Q9Y5X2
Q9UPV7	Q9UQM7
O14490	P05067
O14498	Q07092
O14512	P14616
O14514	O60333
O14561	P14854
O14594	Q13387
O14776	Q96PY5
O14777	Q8IX90
O14782	Q9P2U7
O14920	Q9NR30
O14964	Q13263
O14965	Q9UBU7
O15056	P48023
O15056	Q14155
O15111	Q7KZI7
O15151	P32780
O15151	Q13309
O15151	Q9UDY2
O15151	Q9UQ35
O15350	Q04206
O15350	Q99986
O15519	Q13322
O15524	P25963
O15524	Q13480
O15525	P15407
O43164	O94874
O43175	Q9UM54
O43318	Q9BQE3
O43318	Q9ULG1
O43474	P38398
O43482	Q5BJF2
O43524	Q86W92
O43561	P09326
O43592	P09001
O43593	P06400
O43593	Q9H7L9
O43609	P62851
O43719	P27348
O43749	P01571
O43900	O75751
O43913	P53350
O43914	Q14242
O60285	Q96MC5
O60341	Q13422
O60566	Q9NPD8
O60602	Q01638
O60716	Q15139
O60825	Q6WCQ1
O60925	P11441
O75030	P01106
O75030	Q92754
O75081	P48552
O75083	Q8IVH8
O75312	O75815
O75400	O94782
O75414	P22392
O75444	P62805
O75446	P25963
O75469	P08235
O75469	P49116
O75475	Q86X95
O75554	Q9UKA4
O75578	Q9GZZ7
O75608	O94874
O75628	O95544
O75674	P40818
O75807	Q9Y6K9
O75815	Q8IZV2
O75888	P30273
O75899	Q16143
O75914	P60763
O75928	Q6AZZ1
O75937	Q15393
O75947	P19404
O94811	O95970
O94811	P10636
O94817	Q6ZNE5
O94868	Q8N3V7
O94985	O95704
O94989	Q9UK39
O95071	P15336
O95149	P52948
O95166	P04629
O95232	Q9UHV7
O95232	Q9Y2I7
O95239	Q9Y5N6
O95297	P35568
O95602	P06396
O95602	Q12967
O95602	Q9Y535
O95613	Q9UKE5
O95619	Q01201
O95714	Q9Y3P9
O95813	Q8IVF5
O95816	P61353
O95831	Q9NR30
O95983	Q9BQA5
O95999	Q92844
O96019	P10275
P00367	Q08211
P00736	Q9Y6C2
P01138	P05112
P01374	P62829
P01375	P25705
P01562	Q92985
P01571	Q14653
P01903	P09871
P02511	Q14206
P02746	P24557
P02774	Q8WXH0
P03372	Q92753
P03956	P19876
P04049	P50750
P04049	P60484
P04083	P54849
P04150	P08631
P04150	Q9UBE8
P04350	P46531
P04629	P31994
P04637	Q9Y252
P04818	Q53HL2
P05067	Q07889
P05107	P52790
P05141	Q92598
P05155	P29558
P05198	P98170
P05455	Q15072
P05783	P49840
P06340	Q9H2X3
P06400	P52655
P06401	Q14541
P06454	P52566
P06702	P33764
P06748	Q14566
P06756	P17931
P07437	P17676
P07437	Q14152
P07550	Q9H204
P07686	P31949
P07814	Q9Y4K3
P07954	P24752
P08238	P36897
