O96020	Q8IZT6
P14373	Q13535
P14625	Q9HB96
P15056	P61513
P15586	Q8N4C8
P18031	P22455
P19484	P61244
P19838	Q7Z406
P20151	Q96KC8
P20273	P27701
P20810	Q9ULD4
P20941	Q14749
P21333	Q13547
P23528	P50552
P23771	P61296
P24864	Q9NZJ0
P24928	Q96GM5
P25713	Q16653
P25963	Q9HB19
P26038	P29353
P26436	Q5SRR4
P27361	Q9Y618
P27695	Q9H3D4
P27816	Q92988
P29350	Q15796
P30260	P46108
P32246	Q8NHL6
P35030	Q9UNI1
P35222	P35638
P35555	P53609
P38398	Q7KZI7
P38936	Q05086
P39656	Q9NQH7
P41161	Q5THR3
P41180	Q8WUP2
P41226	Q92793
P41271	Q07092
P42858	P54132
P43243	P62979
P45973	Q6DRA6
P45983	Q96S44
P47775	Q5T3I0
P48047	Q96P70
P48059	Q9BWU0
P48729	Q9Y2K2
P48730	Q13625
P49023	Q13683
P49407	Q99697
P49674	Q9Y608
P49810	Q07812
P49917	Q9UGP5
P50591	Q7Z434
P50991	Q15185
P51784	Q5JY77
P51797	P51798
P52209	P62195
P52294	Q92499
P54652	Q14974
P61201	Q9UHA3
P62191	Q9Y277
P62258	Q07352
P62263	Q9Y297
P68133	Q15303
P78559	Q9GZN7
P84095	Q13094
Q00653	Q92905
Q01201	Q9P2J5
Q03252	Q13111
Q03431	Q99801
Q06187	Q96IZ0
Q08380	Q16666
Q08462	Q9Y4J8
Q08881	Q8TBX8
Q12837	Q9HD15
Q13153	Q13523
Q13191	Q92973
Q13233	Q53EL6
Q13507	Q9Y6F6
Q13535	Q7Z3B3
Q13546	Q96BR1
Q13576	Q13813
Q13642	Q8N488
P0DPH7	Q9UM73
P0DPH8	Q9UM73
Q14314	Q16617
Q14520	Q14624
Q14566	Q96H20
Q15843	Q9UKT8
Q16342	Q96EY1
Q16658	Q9Y5V3
Q16666	Q8TCB0
Q3SXP7	Q8TDI0
Q86U42	Q9Y618
Q8IY22	Q9UQQ2
O00159	Q92769
O00165	O95429
Q8N108	Q9Y618
Q8N1N0	Q96K80
Q8N488	Q9UK53
O00221	Q92985
O00273	P61289
Q92769	Q92908
Q92769	Q9NXG2
Q92831	Q9NR33
Q96B01	Q9NRZ9
Q96DI7	Q9BRX9
O00560	Q8N5C8
O00571	P16333
O00629	P63261
O00750	Q14008
Q9H222	Q9NQ76
Q9H2K2	Q9NYB0
Q9H4L5	Q9HAP2
Q9HBZ2	Q9Y2H2
Q9HC98	Q9ULJ8
Q9NSC2	Q9UKV0
Q9UBS5	Q9UNK0
Q9ULD4	Q9UQ26
O14525	P30531
O14757	Q5T2R2
O14920	P12830
O14920	Q9BYH8
O15069	P05230
O15069	Q7L1I2
O15146	Q01973
O15212	Q99832
O15297	Q7LG56
O15392	Q8IYA6
O15530	Q9BUZ4
O43184	P84095
O43303	P40145
O43390	Q9Y4K4
O43426	Q9H788
O43491	Q8IUD2
O43505	O94985
O43896	Q7L8J4
O60437	P62993
O60496	P07766
O60516	Q9NRA8
O60832	Q9Y572
O75335	P60880
O75427	P07332
O75604	Q13885
O75952	O95925
O95741	Q9BWQ8
O95786	P03372
O95983	Q9UIF8
O96008	P22001
O96020	P09936
P01308	Q13029
P01574	P38646
P02794	Q99583
P04150	P04406
P04440	P20963
P04554	P51854
P05015	P42262
P05106	P29350
P05155	P24592
P05455	Q9BQ39
P06241	Q86YW0
P06241	Q9Y572
P06729	Q02763
P07196	Q9UPP2
P07437	Q71F23
P07900	Q14012
P07910	Q13242
P07942	P09486
P07948	P50281
P08138	Q9NYJ8
P08238	Q9NSK0
P08575	Q8WV28
P08588	P13569
P08708	P11142
P08779	P81605
P09651	Q13263
P0C0S5	Q8WXX5
P10809	P49642
P11166	Q9UER7
P11532	Q9UPT5
P13611	Q68BL8
P13671	Q9H5I1
P14616	Q8TC17
P14854	P56385
P14923	Q03164
P15169	Q9NRM0
P15170	Q99558
P15311	P49841
P15923	P56524
P18583	Q92625
P19174	Q9Y371
P19419	P26367
P19438	P41212
P19484	Q06413
P19838	Q08117
P20963	Q92918
P21359	Q9HCB6
P22090	P62244
P22460	Q14957
P22557	Q02161
P23229	Q9UQC9
P23443	Q9UKG1
P26436	Q99963
P26436	Q9GZS9
P27540	Q9HD15
P27986	Q9UHV7
P28749	P67870
P29353	P54253
P29558	Q9GZV5
P30281	Q99613
P30304	P78527
P31943	Q14978
P31946	Q8IUE6
P32239	Q08345
P34931	P49841
P35555	Q96AY4
P35555	Q9GZV5
P35609	P68032
P36871	Q15052
P36873	P54132
P41222	Q5JSZ5
P41279	P62993
P42224	P62805
P42229	Q15596
P42566	Q92529
P42574	P78371
P42680	Q16620
P43403	Q6GTX8
P45984	Q5T230
P45985	Q15418
P46063	Q8N3U4
P46940	Q92597
P48052	Q9NQR9
P48052	Q9UIB8
P48681	Q96KB5
P49023	Q8TF42
P49327	Q15758
P49368	Q13541
P49761	Q8IYB3
P50570	Q13480
P51693	P62805
P51812	Q13976
P51884	P98082
P52961	Q92750
P55060	Q9BVP2
P55199	Q9BRG1
P60604	Q04323
P61981	Q96EB6
P62633	Q9NSE4
P63104	Q08881
P80098	Q99727
P84095	Q13177
Q01484	Q13425
Q03001	Q5SW79
Q05586	Q9BTT6
Q07954	Q96DZ5
Q09013	Q93009
Q12815	Q9HBM1
Q12840	Q9Y278
Q12929	Q96M96
Q12933	Q8IYW5
Q13077	Q9GZT8
Q13387	Q9NWB1
Q13765	Q9H1I8
Q14164	Q16539
Q14565	Q9Y6N8
Q15059	Q92974
Q15293	Q5JSZ5
Q15329	Q8N9B5
Q15532	Q15672
Q15648	Q9BVP2
A8MW92	Q8NCD3
Q5H9S7	Q8TEB1
Q5JSZ5	Q96N03
Q6AI39	Q9UMS4
Q6VMQ6	Q8N4L8
Q7L0J3	Q9Y2H2
Q8NCG5	Q9GZK3
Q8NEZ4	Q969G3
Q8TAT5	Q9BSJ6
Q8TD08	Q99683
Q8TE67	Q9Y2R2
Q92844	Q92973
O00411	Q07020
O00459	P22455
Q96H22	Q9H4H8
Q96PK6	Q9UBK2
Q9BY71	Q9UQ26
Q9C0A0	Q9Y624
Q9C0C7	Q9Y4W6
Q9UHL9	Q9UKV0
O14525	Q99767
O14544	Q8IY22
O14745	Q8N130
O14757	Q86WB0
O14832	P00742
O14901	P16989
O15111	P05198
O15182	P31483
O15350	Q92918
O15350	Q99708
O15372	P30281
O15393	Q9NQU5
O43143	Q14149
O43150	Q9UQC2
O43390	O75925
O43395	Q9HCG8
O43513	P32780
O43747	Q14872
O43749	Q13368
O60218	Q13131
O60260	Q99666
O60494	Q8IWY4
O60496	P42229
O60762	Q9Y4Y9
O75116	P46940
O75444	P04150
O75496	P39748
O75593	Q13547
O75691	Q8IX12
O75794	Q92783
O75807	P42679
O76064	P46736
O94763	P50990
O94921	P10398
O94989	Q8WYR1
O95196	Q9UK28
O95373	Q9HC62
O95475	Q9NR48
O95602	P06748
O95670	P41732
O95967	P08572
O95970	P15882
O95976	P09769
P01033	P14209
P01574	Q99626
P02545	P27635
P02751	P19320
P02778	Q92750
P04150	Q13330
P04440	P16871
P04626	P61247
P05067	Q01201
P05412	Q9UBT2
P05549	Q8WUF5
P06239	Q15678
P06400	Q13769
P06493	P37840
P07197	Q13547
P07197	Q9HAU4
P0DMV8	P51948
P0DMV9	P51948
P08138	P35580
P08575	Q92637
P08581	Q9Y5Y6
P08697	P15502
P08708	Q8IUE6
P08708	Q9H3K6
P08779	Q8IX90
P10636	Q9P0K7
P10645	Q9NTI2
P10914	Q99683
P11021	P62899
P11387	P27695
P12931	Q15291
P12931	Q8TD23
P13236	Q99731
P13637	Q96K80
P13645	Q9GZM6
P13995	Q15398
P15173	P49137
P15498	Q9Y228
P15918	Q8IY92
P16035	P45452
P16284	Q8NHL6
P17676	Q9NY61
P19320	P19397
P20265	P43694
P20290	Q9Y4A5
P20393	P35869
P20711	Q9NQU5
P20749	P51532
P20807	Q7L5A8
P20941	Q08289
P20941	Q9HC16
P21796	P34932
P22681	Q9P1A6
P25774	P28062
P26373	P46108
P26436	Q9UKF5
P26599	P60842
P27348	Q6Q0C0
P28702	Q6PL18
P29350	Q7L591
P29353	Q96RT1
P29992	Q9HBW0
P35221	Q9ULB4
P35251	Q8N3C0
P35354	Q9UM63
P35462	Q13641
P38159	Q92769
P38398	Q9NWS0
P38936	Q13489
P38936	Q92841
P39748	Q8NI77
P40227	Q13610
P41180	Q07157
P41222	Q13822
P41235	Q6W2J9
P41279	Q92547
P43686	P62136
P43694	Q92585
P46778	P62316
P46934	Q9Y6I3
P48436	Q96CK0
P49761	P62258
P50281	P51512
P51116	Q86TA1
P51790	P51797
P51884	P55001
P52435	P62136
P52737	Q8NFT6
P53804	P62253
P54136	Q15031
P55040	Q99933
P55081	Q96NE9
P55795	Q96BY9
P55916	Q9UBF8
P60842	Q9UKV8
P60842	Q9Y297
P0DP23	P60983
P0DP24	P60983
P0DP25	P60983
P61619	Q14677
P61764	Q8WVM8
P61981	Q92900
P62328	P98153
P62424	Q969H0
P62899	Q9UHK0
P63279	P98177
P68400	Q13901
P78314	P78357
P78347	Q9UBE8
P78536	Q9BUB5
P84243	Q99592
P98161	Q86TG7
Q00610	Q9UNE7
Q00839	Q14978
Q03135	Q9ULV8
Q03167	Q13873
Q04206	Q05195
Q04637	Q14444
Q04864	Q8IUC6
Q05481	Q9Y383
A7MCY6	P46782
Q12805	Q9BRK3
Q13094	Q9ULZ2
Q13163	Q96T58
Q13227	Q92828
Q13315	Q9Y572
Q13427	Q32P44
Q13478	Q9NP60
Q13490	Q15072
Q13501	Q9NRM7
Q13794	Q9HD36
Q13796	Q9Y2A7
Q14201	Q9H7H0
Q14498	Q7L014
Q14498	Q86YS7
Q15223	Q9BX66
Q15262	Q92625
Q15848	Q96AQ7
Q16566	Q16816
Q32P44	Q8N3F8
Q4KMG0	Q92597
Q53EZ4	Q5BJF2
Q5JSZ5	Q9NRX4
Q5VTD9	Q96RU7
Q6AI08	Q9P035
Q6MZQ0	Q9Y2U5
Q6QNY0	Q9ULM2
Q6VMQ6	Q9UBB9
Q7L576	Q92608
Q7Z2E3	Q96EB6
Q7Z6Z7	Q9NTJ3
Q86UE4	Q92886
Q8IUD6	Q9NWF9
Q8IWU2	Q96SN8
O00148	P31350
O00148	P32246
O00160	P0DP23
O00160	P0DP24
O00160	P0DP25
Q8IYX8	Q9Y496
Q8N264	Q9UQQ2
Q8N3C0	Q92905
O00180	Q9BR01
O00255	P04406
Q8NHQ8	Q9Y6A4
Q8NHZ7	Q9UER7
Q8WWQ0	Q9NZJ0
Q92793	Q9UI95
Q92882	Q9Y5X1
Q96B02	Q9HBE1
O00311	Q9BXS6
O00445	Q9NYX4
O00471	P27708
O00479	O95551
Q96K80	Q96MN9
Q96LC9	Q9UMX3
Q99558	Q9H4B7
Q99767	Q9Y6N8
Q9BRR3	Q9Y342
Q9P0U3	Q9Y3V2
Q9P2U7	Q9UBL0
O14558	P62258
O14559	P36544
O14776	O95251
O14782	O43660
O14929	Q9NQ92
O14964	P18085
O14965	P13693
O14976	Q8NC96
O14980	Q92621
O14981	Q15572
O15111	P10145
O15151	Q8N9B5
O15162	P28799
O15264	Q07021
O15303	Q9UKU0
O15304	P07910
O15350	P32121
O15350	Q07869
O15371	P48643
O15379	Q00610
O15519	P06400
O15530	Q05397
O43143	Q9Y657
O43184	P60953
O43390	P83369
O43482	Q08999
O43670	P52907
O43674	P11142
O43683	Q14160
O43761	P42262
O43896	Q6UUV7
O43900	P06239
O60216	Q13535
O60229	Q9Y3P9
O60239	Q13480
O60282	Q99459
O60763	P26374
O60828	P23760
O60890	Q6DT37
O75167	Q8N4C8
O75167	Q9UQ26
O75175	P62324
O75312	P13866
O75330	O75717
O75460	Q9H857
O75474	Q04721
O75509	P36544
O75558	Q8IUH5
O75578	Q15884
O75592	Q9Y6M7
O75821	Q00653
O75821	Q9NZM5
O75832	P49458
O75899	P51674
O94907	P52737
O95067	P54132
O95248	Q96EF0
O95295	Q86SS6
O95336	P19388
O95373	P62269
O95665	P11686
O95665	Q9HBB8
O95751	Q9UQL6
O95793	Q9Y4K3
O95863	Q15759
O95967	Q9BUH8
O95997	P41002
O96020	Q96R06
P01100	Q9NR30
P01112	Q96ST3
P01116	P27348
P01730	P80075
P02533	Q8IX90
P02751	P10721
P04150	P43243
P04271	P60880
P04350	P10914
P04406	P46778
P05014	Q8TC59
P05067	P32927
P05067	Q04864
P05067	Q9NZJ7
P05107	Q04206
P05204	Q8TAD8
P05386	Q9UNK0
P05783	Q00610
P06396	Q00610
P06396	Q9UHP3
P06400	P10589
P06400	Q92878
P06454	P25440
P06730	P47813
P06753	P24855
P07333	P08514
P07333	Q9UQC2
P08047	P50549
P08047	Q96T76
P08069	P13688
P08069	P51812
P08631	Q13507
P08670	Q9Y2J2
P09234	Q9H840
P09326	Q9HB58
P09874	P43246
P10275	Q14318
P10276	Q8N2W9
P10619	Q9P2E9
P10636	Q8IZQ1
P10644	Q8NFW9
P10909	P41222
P11142	P51665
P11388	Q02078
P11473	Q9Y6K9
P11712	P19823
P12004	Q13485
P12036	Q16288
P13056	Q9UPN9
P13612	Q14161
P14324	Q15464
P14373	Q99623
P14625	P60709
P14784	Q9UKJ1
P14921	Q92985
P14921	Q9Y252
P15056	Q16513
P15311	P68363
P15924	Q8IX03
P17535	Q9Y6W5
P17706	Q9NYJ8
P17858	Q9BV68
P17948	Q9P104
P19544	Q8TDN4
P20042	P46777
P20073	Q8WXI7
P20226	Q15466
P20265	Q04206
P20265	Q92786
P20936	P49790
P22223	Q14192
P22307	P35354
P24588	P49840
P25490	Q9Y6Q9
P26038	Q99969
P26196	Q15633
P26436	Q14168
P26640	Q5T5U3
P27824	Q02750
P28482	P52272
P29083	Q08945
P29350	Q86Y07
P29466	Q8IY34
P30153	P61978
P30307	P52564
P30307	Q92889
P35222	Q13115
P35222	Q96T76
P35268	P50395
P35408	Q9H2W1
P36873	P50613
P37173	P37231
P41091	P55212
P41212	Q02880
P41279	Q96L21
P41279	Q9BYH8
P41743	Q9BXM7
P42680	P63104
P45984	Q15464
P45985	P62304
P46937	Q9Y2U8
P47736	Q96NY8
P48023	Q13536
P48729	Q6ZNA4
P49023	Q13136
P49757	Q06330
P49760	Q53ET0
P51888	Q9BX67
P62913	Q92769
P62937	Q14318
P63165	Q15910
Q00610	Q13164
Q00610	Q13428
Q02078	Q9UER7
Q06187	Q15080
Q13233	Q9H9Y2
Q13315	Q15532
Q13813	Q9UHD2
Q14596	Q9HAJ7
Q14764	Q9Y3P8
Q16555	Q8N448
Q32P44	Q9H4L5
Q6P1M0	Q6ZNE5
Q7LG56	Q92831
Q86VE9	Q9UPY3
Q8IY18	Q8IYU8
Q8WU20	Q9H0H5
Q96NL1	Q9H492
O14576	O60268
O14713	P06858
O14757	Q15759
O15056	P10912
O15056	P60709
O43143	Q14692
O60763	P54136
O75167	P13671
A6NCE7	Q674R7
O75478	P38398
O75528	P25208
O75843	Q9BSA4
O75928	P84243
O76021	Q07020
O94805	Q8NFZ8
O94875	Q00535
O95229	P17812
O95848	Q8IXH7
O95863	P63279
O95944	P01258
O96020	Q52LA3
P00533	Q6ZUM4
P01106	Q12947
P01730	Q9Y6Y9
P04150	P24864
P05015	Q76N89
P05141	Q9NY65
P06239	P30203
P08047	Q99608
P08571	Q8IYL9
P09619	P51636
P09874	P11802
P10599	Q9UIF7
P10809	P56945
P11142	Q9Y4W6
P15173	P52434
P17152	Q08722
P17677	Q96RR4
P18084	Q9UBI6
P19784	Q14289
P19838	Q8IX12
P21333	Q01484
P21333	Q8WV28
P22692	P68363
P22794	Q93091
P25205	Q562F6
P25490	P56545
P25705	P63173
P27694	P62191
P28482	P48634
P31153	Q53R41
P37840	P43146
P38646	Q96CX2
P48023	P48065
A0AVK6	Q8NI77
P51532	Q96EB6
P52272	Q5JTH9
P53365	Q92556
P61964	Q9Y6J9
P62487	P62877
P78527	Q92499
P81605	Q14244
Q02930	Q03060
Q05513	Q16825
Q13206	Q14692
Q13315	Q9NS91
Q13569	Q99497
Q14596	Q96NL1
Q14687	Q9UJC3
Q15047	Q9BTC8
Q15326	Q8WVJ9
Q16537	Q99759
Q6N022	Q8IUX7
O00124	O94868
O00231	Q01201
O00303	P62266
Q8WWY3	Q9HCG8
Q92905	Q9Y6K9
Q96L91	Q9Y3M2
Q96QK1	Q9Y657
Q9BYX7	Q9NQH7
Q9H2X6	Q9P1Z2
Q9NVP2	Q9Y242
Q9UEW8	Q9Y6Q9
O14867	Q9Y6Q9
O15056	Q15311
O15118	Q9HD42
O15442	Q63HM2
O15524	P12830
O43353	P09327
O43683	P0C0S5
O75446	Q15466
O75626	Q13422
O75771	Q9H9A7
O75935	Q8TD16
O94817	P11362
O95406	Q13185
P02144	P06753
P02686	P51452
P06400	Q9UKE5
P07339	P53350
P07900	Q06124
P07900	Q13576
P07948	Q15654
P08069	Q9Y4K4
P08473	Q96EY1
P08603	Q99608
P10244	Q8TAT5
P10828	Q99929
P11021	Q92918
P11498	Q7Z2W4
P12004	Q04864
P12883	Q9H0D6
P13056	Q15652
P14854	P56378
P17600	Q9NYI0
P17931	P31946
P18085	P40763
P20336	Q8IZD9
P23443	P50613
P25685	P49137
P26436	Q9UK39
P27348	Q9Y3P9
P32121	Q9UQQ2
P32927	Q13432
P35269	Q8IXH7
P36896	P55107
P45983	P52272
P46695	P49407
P46934	Q9UMZ2
P48047	Q9UNS2
P49207	Q9Y262
P49821	Q15773
P49959	Q9NXR7
P50613	Q99697
P51571	P62888
P52294	Q15628
P52429	Q9P2K8
P52732	P60660
P53350	Q9UBN7
P53618	Q9Y5K6
P53674	Q02779
P54136	Q9Y265
P54259	Q9Y6R0
P55199	Q9NS56
P56278	Q9Y2V2
P56537	Q15149
P60228	Q9Y3U8
P61764	Q9H169
P61981	P63165
P62070	Q9Y2D8
P0DP23	Q9NPE3
P0DP24	Q9NPE3
P0DP25	Q9NPE3
P62266	Q12933
P62316	Q9HCG8
P62834	Q16825
P62906	Q12933
P63165	Q05397
P78314	Q99759
P78559	Q9Y316
P84098	Q9UK53
Q00537	Q8NEB9
Q01959	Q16515
Q01970	Q13009
Q05516	Q9BXC9
Q05586	Q15784
Q07092	Q66K79
Q08378	Q9BSJ8
Q09472	Q8WX92
Q12929	Q9ULZ2
Q13017	Q8IW93
Q13023	Q9Y6D5
Q13029	Q9UGL1
Q13107	Q92793
Q13177	Q16512
Q13216	Q9NXF7
Q13263	Q8IZL8
Q13362	Q99832
Q13398	Q9Y383
Q13526	Q92870
Q13596	Q9BRG2
Q13636	Q71U36
P0DPH7	Q9HAV4
P0DPH8	Q9HAV4
Q14145	Q14151
Q14186	Q9Y618
Q14192	Q2LD37
Q14203	Q7KZ85
Q14315	Q9Y5K6
Q14511	Q99952
Q14676	Q96NY9
Q14683	Q9UBU9
Q14957	Q99569
Q14982	Q9NYX4
Q15036	Q9NYQ7
Q15052	Q96T58
Q15149	Q9UQC9
Q15293	Q8N1L9
Q15293	Q93062
Q15648	Q9NXR7
Q16288	Q9H1D0
Q16543	Q9UBE8
Q5QP82	Q7L5Y6
Q674R7	Q96NL1
Q6PD62	Q92794
Q7Z3B3	Q9UMS4
Q7Z3S9	Q9BXJ1
Q8IW70	Q9UPP5
O00124	Q9UNZ2
O00160	P0DMS8
O00160	P0DMS9
Q8N684	Q8WWM7
Q8NAA4	Q9H0Y0
Q8NEZ4	Q9H4Z2
O00193	O94763
Q96BD5	Q9UIF9
O00458	Q9UK53
Q96CS2	Q9Y5K5
Q96EX2	Q9NYQ7
Q96K80	Q9H869
Q96L91	Q96NT1
Q96MN9	Q9NX95
Q96NL1	Q9BXW4
Q99969	Q9BQJ4
O00750	O15524
Q9H6S3	Q9Y2R2
Q9NZH6	Q9NZH7
O00762	Q92674
O14512	O15056
O14524	Q9NVI1
O14757	Q9NW38
O14776	Q12972
O14777	O75419
O14920	P09327
O14920	Q13526
O14965	P51532
O15027	O95238
O15069	P04271
O15169	O96017
O15169	Q53EL6
O15303	Q9NYV7
O15371	P62891
O15530	Q9Y572
O43164	P37275
O43294	P10301
O43318	P06454
O43318	P62987
O43526	Q96RR4
O43665	O76081
O43699	Q96RT6
O43708	P13671
O43809	P41252
O60229	O75044
O60307	P35222
O60307	Q08495
O60504	Q07890
O60674	Q8IVT5
O60749	P51148
O60831	P13236
O60861	P00533
O75081	P35222
O75112	Q16082
O75362	O94805
O75362	Q9H7L9
O75363	Q9Y4I1
O75369	Q9NQB0
O75461	P49848
O75475	Q6PGP7
O75674	P22681
O75791	Q9NV31
O75821	P11277
O75995	P42331
O94906	Q92616
O94906	Q9Y5Q9
O94915	Q9H0D6
O95214	P29084
O95714	Q12769
O95757	P04350
O95782	Q9UBC2
O95835	P23528
P00325	P10643
P00367	P04406
P00451	Q9UK55
P00533	P52799
P00558	P41743
P01009	P05155
P01033	P07942
P01040	Q13636
P02730	Q13009
P02760	Q9P1A6
P04054	P08218
P04114	P11166
P04259	Q9H0K1
P04626	Q9UBE8
P04628	P23760
P04637	Q16695
P04637	Q2M1K9
P05107	Q08881
P05112	P51460
P05112	Q13261
P05141	Q9BYH8
P05161	Q12834
P05412	P25208
P06239	P23743
P06401	Q15650
P06493	Q9BTT0
P06734	P50406
P07332	P42679
P07333	Q92637
P07737	P09211
P08247	Q9UM19
P08253	P39900
P08575	P78324
P08670	Q15121
P08729	P53680
P09211	P49918
P09234	P57678
P09471	Q96GW7
P09874	P62244
P10398	P61201
P10415	Q13564
P10636	P51610
P10909	Q05193
P11166	Q8IVD9
P11217	Q99615
P12757	Q9H3D4
P12931	Q86YW0
P13349	P35222
P14136	P31150
P16144	Q15303
P17252	P19086
P17301	P42830
P17612	Q02750
P17947	P50591
P18031	Q07955
P19447	Q9H160
P19838	P62241
P20226	Q8N3C0
P20591	P29590
P20749	P35869
P20936	Q9Y2R2
P21731	P51582
P21918	Q14123
P22087	P62841
P22102	P26640
P22460	Q9NQT8
P22681	P60880
P23297	Q96FQ6
P23511	P67809
P24588	P27815
P25445	P56945
P25963	Q9UKC9
P26640	Q9Y285
P27816	P68400
P29353	Q96MU7
P29375	Q16533
P29622	Q9Y2P0
P29692	P62888
P30047	Q02447
P30153	Q15759
P30291	Q04206
P30307	Q13501
P31152	P84022
P31358	Q9UBW5
P31749	Q9UHH9
P31939	Q06203
P33991	P49959
P33991	Q15468
P34947	P68400
P34947	Q14289
P35232	Q05516
P37275	Q14526
P39059	P43121
P39059	Q9NPY3
P40227	P54652
P40261	Q14699
P40939	P61247
P40939	P63165
P41235	Q15418
P41970	Q99259
P42566	P62258
P45984	Q9UIV1
P46779	P60228
P46781	Q13263
P46940	Q9H3G5
P47929	Q9UL15
P48048	Q9NWQ8
P48729	Q9HCP0
P48730	Q9H7Z6
P49407	Q9ULX6
P49411	Q8WVK7
P49450	Q9NQR1
P49674	Q15691
P49768	P51693
P49848	Q00987
P60866	Q13895
P61024	Q9BYD2
P61619	Q9BUF5
P78508	Q12879
P78527	Q8NFZ5
Q08945	Q9BQG0
Q12947	Q6P1X5
Q13133	Q15562
Q13185	Q7Z589
Q13526	Q9Y2U8
Q13617	Q9BZV1
Q13625	Q86Z02
Q13905	Q14155
Q14152	Q86UP2
Q14498	Q8TDD1
Q15406	Q9NXR7
Q53HL2	Q9BTX1
Q5T5U3	Q86UP2
Q70EL1	Q8WWM7
Q8N1N0	Q8WWM7
Q8N3F8	Q9Y6A4
O00267	P35637
Q92575	Q96JH7
Q93009	Q9NY61
Q969S8	Q9UQ80
Q96B97	Q9UJU6
O00401	P08047
Q99570	Q99661
Q9BZJ0	Q9HCG8
Q9NRM0	Q9NYV7
O14558	P17812
O14746	P68400
O14776	P61086
O14776	P62318
O14795	P00519
O15360	P25963
O15530	O60346
O43809	P84103
O60346	P49137
O60637	P21926
O60673	Q14966
O60869	P17096
O75365	P62745
O75376	Q8NEZ4
O75874	Q92878
O75925	P49842
O75925	Q16633
O76021	Q12905
O94763	Q9NXR8
O94967	Q08209
O94972	Q8N6Y0
O95166	P61586
O95425	Q13772
P01100	P09341
P02745	Q6P9H5
P02751	P23458
P04259	Q8WVK7
P04350	Q9UBK9
P05067	P68133
P05107	Q8WV28
P05114	P61925
P05161	Q08050
P05412	P61289
P10124	Q01518
P10415	P50591
P12931	Q13200
P13500	P14555
P19419	P19784
P22004	P36896
P22102	P53621
P22736	Q13153
P25963	P52429
P28324	P43694
P28482	P62913
P29074	Q96NT1
P30291	Q05655
P32745	Q7Z406
P34932	Q16539
P34972	Q92784
P35998	P53350
P40189	Q16827
P41220	Q9NPQ8
P42229	Q02297
P42262	Q9UNK0
P42285	Q14692
P42566	Q92569
P43354	P51843
P48065	Q6IB77
P51531	P62805
P51668	Q7Z569
P51946	Q15648
P52655	Q9Y6Q2
P53041	Q9NPQ8
P53355	Q13535
P54762	Q13153
P55212	Q9NWB7
P56524	Q86W92
P56945	P84022
P57059	Q01113
P58549	Q9UI15
P60510	Q9H0K1
P60709	P84077
P61006	Q13233
P61247	Q15052
P61962	Q9NZL4
P62993	Q92796
P62993	Q9HB96
P63027	Q8IW70
P63104	Q07817
P63173	Q9P035
P63261	P63279
Q00537	Q96L34
Q00610	Q7KZF4
Q00987	Q13523
Q01813	Q15758
Q03701	Q8WU90
Q04206	Q14978
Q04637	Q9UJA5
Q04759	Q9UBS0
Q07912	Q9UQF2
Q09472	Q92597
Q12834	Q9NRZ9
Q13077	Q9H4B7
Q13615	Q9NXD2
Q13625	Q15797
Q13636	Q99969
Q13813	Q9Y4K3
Q13882	Q99836
Q13950	Q8WXI7
Q14318	Q15628
Q14790	Q9UER7
Q14839	Q86XR8
Q14847	Q9BSH5
Q15329	Q9H1K1
Q15532	Q9UBN7
Q15648	Q9BXW9
Q15797	Q9Y6B2
Q15915	Q9Y297
Q16799	Q9UJ04
Q5JTD0	Q9BTT6
Q5VWQ8	Q96AG4
Q5VWQ8	Q96DZ1
Q5VY80	Q9BZM4
Q5VY80	Q9BZM5
Q6H3X3	Q8TD07
Q6UUV7	Q96NE9
Q86TM6	Q9UHD9
Q8N0X7	Q9Y572
Q8N196	Q96K80
Q8N6R0	Q92616
Q8NAP1	Q99759
Q8NFT6	Q9H5Z6
O00273	P34932
O00303	P41567
Q8TAC9	Q9P2U7
Q8TDR0	Q9Y3A3
Q92538	Q9UPU9
Q92830	Q9H3D4
O00445	Q2M2I8
Q96Q42	Q9HAP2
Q96RK1	Q99626
Q96T49	Q9GZN7
Q99259	Q9H222
O00487	Q8WU90
O00560	Q15654
O00571	P51398
O00602	P01024
Q9GZZ7	Q9H2X3
Q9H0D6	Q9Y496
Q9H222	Q9NYQ7
Q9H9A7	Q9UJW9
Q9NRM7	Q9Y4K3
Q9NVI1	Q9NYP9
Q9P2J5	Q9Y6Q9
Q9UIE0	Q9Y383
Q9UKV5	Q9Y297
O00762	Q13042
O14543	Q13651
O14646	Q13133
O14654	Q9NRF2
O14709	Q9Y2D1
O14782	Q9ULP0
O14782	Q9Y2H9
O14910	Q13884
O14920	P26640
O14920	Q96ST3
O14977	Q92905
O14986	P07948
O15027	Q07020
O15117	Q9BXM0
O15264	O75689
O15294	Q9NVW2
O15350	P19419
O15360	P63261
O15360	Q00653
O15524	P52926
O43236	Q13875
O43708	P20810
O43708	Q9UMN6
O60333	P14136
O60359	Q15784
O60493	Q07666
O60603	Q05397
O60674	Q92793
O75110	Q9BXW6
O75592	Q07866
O75604	Q92736
O75969	P53041
O76096	P01034
O94763	P38646
O94832	P19838
O94875	Q07890
O95071	Q14966
O95071	Q15369
O95166	P62854
O95182	Q15475
O95210	P41145
O95631	P62266
O95665	Q9NQV8
O95793	Q8IU60
O96019	Q9HCK8
P00736	P35625
P01344	Q9BXP8
