A8MW92	Q9Y232
Q6P1X5	Q92769
Q6ZW49	Q96RU2
Q86X29	Q9Y6M7
Q8IZL8	Q9Y230
Q8IZP0	Q9H992
O00231	P04350
O00305	Q99584
Q8WXA9	Q8WXW3
Q92574	Q96TC7
Q92793	Q9P2W1
Q99784	Q9BZQ4
Q9BUE0	Q9UBK2
Q9H0Y0	Q9H492
Q9NW38	Q9NZJ0
Q9UL15	Q9UM73
O14733	Q16513
O14920	Q15596
O14948	O60759
O15075	Q93045
O15372	P52907
O15519	P14317
O43236	Q6GPH4
O43283	P28482
O43304	Q9BYJ1
O43684	Q96B26
O43736	P08183
O60282	P15882
O75122	Q9UJ04
O75155	Q9NZN8
O75159	P07948
O75330	Q9NYZ3
O75362	Q9UPW6
O75940	Q8WWY3
O94805	P21802
O94992	O95789
O95716	P20336
O95944	Q13368
O95970	Q9BR01
O96017	Q16665
P03372	Q13131
P05014	Q13368
P05204	Q9H160
P05388	P08670
P05771	P28482
P06213	P51681
P06493	P55316
P06493	Q92759
P06576	P30084
P07225	P09486
P07332	P51692
P08572	Q9HCU0
P08648	Q15583
P09417	Q9H9H5
P09619	P35579
P10243	P41235
P10523	P49327
P11831	Q92831
P12838	P36222
P12882	Q16352
P14316	P15336
P14616	Q9NSE2
P14868	Q8IVH8
P15311	Q13153
P15941	Q9UQF2
P16070	Q14451
P17252	Q99856
P18848	P52435
P19388	P36507
P20339	P31749
P22674	Q9UGP5
P23284	P46782
P31151	P34931
P31151	Q7L5N1
P31946	Q9Y618
P31949	P49716
P34972	Q0VGE8
P36575	Q9UHB6
P36873	Q9NSE4
P39656	P63173
P42684	Q12852
P43686	P78371
P46527	Q13547
P48050	Q4VCS5
P49407	P49459
P49459	Q86TM6
P49619	Q6P3W7
P49761	Q8IUD2
P49761	Q9P0V3
P50613	P53779
P55854	Q13547
P56524	Q07021
P56524	Q13287
P56524	Q9UBF8
P61289	Q9H0M0
P61812	Q92870
P61978	Q99683
P62314	Q96I25
P63165	Q13362
P63173	Q00653
P63244	Q8IZL8
Q00653	Q92925
Q05513	Q9UQM7
Q05639	Q13576
Q08397	Q99969
Q0VDF9	Q12933
Q12929	Q9C0H9
Q12967	Q96HU8
Q13242	Q7Z6M2
Q15078	Q8ND76
Q15645	Q9BZD4
Q16513	Q7KZI7
Q16543	Q9P0K7
Q6AI39	Q6ZU52
Q8N163	Q9BUF5
O00327	P81133
O00487	Q13564
Q9NPB9	Q9NRJ3
Q9UHD2	Q9Y616
O14777	P33992
O14936	P21579
O43175	Q3ZCQ8
O43395	Q9Y608
O43426	P18433
O60404	Q9P2N4
O60603	P15509
O60674	Q14315
O75925	P19338
O75947	O95168
O77932	Q9HAU5
O94910	Q8WUG5
P00533	P26010
P02776	P19876
P04626	Q15149
P04637	P08473
P05141	Q15006
P05230	Q13875
P06241	Q13233
P06493	P60510
P07332	Q13464
P08243	Q16822
P09493	Q13976
P09497	P19338
P09912	Q02556
P10914	P38646
P11712	Q15784
P14778	Q9Y6K9
P14921	Q99683
P15172	Q9Y2Y9
P17302	Q14192
P19338	Q9NTJ3
P19838	Q8N3C0
P20749	P25490
P20823	Q01196
P24310	Q8WX93
P25205	Q96RU7
P25713	P42262
P26358	Q07666
P28324	Q9H1I8
P28370	Q9P0V9
P30048	P40425
P30050	Q9H8S9
P31689	P62424
P34931	Q9C0K7
P34932	P42229
P41732	Q9Y6Y1
P42229	P43403
P42262	Q9H254
P42684	Q12866
P42685	Q15643
P43115	Q9UGM5
P45984	Q15208
P46937	Q5TCQ9
P48023	Q13191
P49757	Q15648
P52333	P63244
P52747	Q92793
P53007	Q92538
P53396	P63104
P56945	Q8WU20
P60709	P78368
P61247	Q15233
P61764	Q9ULW5
P62899	Q00610
P62987	Q07021
P78356	Q96SL4
P78527	Q05397
P98077	Q9H3Y6
Q00534	Q16254
Q00610	Q8IUC6
Q04912	Q8WV28
Q05655	Q14449
Q08881	Q9NZM3
Q12841	Q9NRA1
Q13501	Q9UNM6
Q13555	Q96RR4
Q14195	Q9HCB6
Q14677	Q9Y5Z0
Q15691	Q8NEB9
Q567U6	Q9NTJ3
Q5T6F0	Q8N5D0
Q8IXH7	Q9BYJ9
O00255	P10914
O00294	Q15036
Q8WYA1	Q96KS0
O00602	O75636
O14513	Q9UMN6
O14744	P68366
O14745	Q8WX93
O14920	Q13263
O15055	P53041
O15111	Q12852
O15143	P35080
O15144	P17535
O15212	Q99615
O15397	Q13546
O43156	Q9GZN1
O43175	P04350
O43242	Q12933
O43736	P10909
O60671	P55769
O60674	Q13547
O60890	Q8IW93
O75052	P29353
O75061	Q99759
O75122	Q14156
O75164	P16104
O75592	P14635
O75593	Q9H3D4
O75626	Q04864
O76021	Q13895
O94856	P46439
O95067	P10600
O95628	Q8TDB6
O95863	P38936
P01100	Q9UNL4
P01732	P29016
P02458	Q6X4U4
P02778	Q09472
P05062	Q9UDX4
P05204	P62937
P06400	P39748
P07437	Q05193
P07900	P27797
P07948	Q92529
P08247	Q9NVZ3
P08588	P23467
P09693	Q96F15
P09769	P33151
P09871	P35749
P09874	Q9UDY8
P10276	Q9Y2Y4
P10599	Q04917
P10644	Q9UKG1
P10721	P46527
P10809	Q8WUI4
P11308	P28482
P11473	Q13535
P11802	P43403
P13637	Q9NY72
P15036	P63165
P15153	P52735
P15514	Q14451
P15884	Q99969
P15927	P53350
P16220	Q9UK53
P17275	P22415
P19174	P42681
P19525	Q96QC0
P19544	Q9UM63
P20160	Q05315
P20963	P42081
P21333	P35221
P21730	Q03405
P21860	P37840
P23511	Q9H160
P25705	Q71U36
P26045	Q04323
P27635	P67809
P30291	Q9NYL2
P30531	P61764
P33176	Q15836
P35070	P48745
P35125	Q96GV9
