Q12962	Q9UHV7
P17844	Q96Q15
O00231	Q9H211
P18054	Q02928
O60503	P10644
O14745	O95837
P50914	Q86X02
P09972	P37837
P36537	Q8IWW8
O00462	P11831
O43677	Q9Y375
P16870	P50607
Q15361	Q9NY12
O43143	Q96CJ1
Q15427	Q9BUP3
P11142	Q13485
P11142	Q7Z3K3
O60711	Q9Y664
Q8WYP3	Q9H4M9
P22059	Q86VZ5
Q4FZB7	Q7Z589
P24385	Q13316
P62277	P78344
P20073	Q14139
Q14139	Q9NYB0
P54725	Q14139
P26196	Q15366
P22681	P42702
P12319	P22681
Q9BZB8	Q9H422
O00193	Q9UDW1
P61421	P62277
P14920	P30531
Q15185	Q96TA2
P30048	Q9NZD1
P36941	Q9Y6Y9
P08493	Q13950
P62875	Q13889
Q14232	Q92974
P61923	Q8WV19
Q13601	Q9BU89
P46087	Q8IUF8
P16471	P29350
P22083	Q92185
P78345	Q13242
O95059	Q13242
O43172	P84103
P62487	P84103
Q9H0U6	Q9Y312
P07199	Q9BYV9
O00487	O75496
P20594	Q9Y233
Q13895	Q9BSC4
P49802	Q96KP1
Q16363	Q9UQP3
P12931	Q16363
P56597	Q86UN6
O60925	Q9GZZ1
P09486	P48745
O75940	Q9HAZ1
P08648	P35443
O15379	Q9ULM6
Q9HB40	Q9NRR4
P62487	Q9NRR4
P0DML2	Q9UIQ6
P0DML3	Q9UIQ6
Q9UI47	Q9Y666
P55036	Q92878
O14776	Q9Y333
O95070	Q969X5
P47902	Q99784
P38432	Q9NTJ3
P52294	P61978
Q9H8V3	Q9HC77
O14610	P04899
O00303	P83731
P51114	P62913
P52298	P62495
O95219	Q8WYP3
Q04637	Q5XLA6
P24534	Q96TA2
P13612	P62834
O60503	P54750
O95837	P25103
P28330	P50542
Q9C035	Q9NW38
P35462	Q9Y3R4
Q8NFU5	Q9BRC7
P49441	Q9BRC7
O43815	Q9UQ16
P14868	Q7L2H7
P18827	P35442
Q07889	Q7Z5H3
Q07889	Q9UNA1
Q07889	Q9H0H5
P42331	Q07889
O43295	Q07889
P15313	Q9H2U2
O00512	O43318
P20151	Q15392
P35268	P49411
O14828	Q9BY64
P41091	Q92974
P05198	Q92974
Q92974	Q99613
P17096	Q9Y6Y0
P08684	P47712
P24462	P47712
P19367	Q01459
P05129	Q9UNK4
P10632	Q9UNK4
P24462	Q9UNK4
P16050	Q9UNK4
P05771	Q9UNK4
P30041	Q53H76
P16949	P22612
O14497	Q9HAJ7
O43280	Q86VL8
O14950	P62140
P52434	Q9Y5Q9
Q15025	Q9UKF6
Q53GS7	Q6IS14
P61106	Q9UP83
P40429	P61916
Q4LDG9	Q86UN6
O75093	P17081
O95800	P30048
P09913	P62829
P09913	P51116
P09913	Q15477
P15104	P17174
Q5FWF5	Q8N0S6
Q8N0S6	Q9NQS7
O60832	P17987
O95837	P36575
A6H8Y1	Q9H2F5
O14788	Q9Y5Y4
P14678	P62495
P50461	Q96JY6
O95347	P38432
Q15633	Q9HB40
O43791	P49761
O43795	Q96FJ2
Q9H596	Q9NYW2
Q8NI77	Q9H081
Q8N729	Q9NP64
P06756	P42336
O43766	P82650
Q9NRX2	Q9Y399
P53621	Q96P48
O60832	P46777
P22626	Q92620
O60508	P22626
O14638	Q9H0P0
P23919	Q9H0P0
O94827	Q9UI46
O14578	Q96JC1
P41252	Q13162
Q16512	Q9Y4B6
P61088	Q16621
O43313	P27469
P43235	Q9UKV8
Q04828	Q9UKV8
Q96KK3	Q9Y691
O95837	P19174
P62306	Q13247
O95630	Q9UL26
O95793	Q9Y3S1
O14662	Q8IWJ2
P51809	Q99747
O15550	P55808
O60506	P09234
A0A0B4J2D5	Q9HAV4
P0DPI2	Q9HAV4
P34897	Q14749
Q12830	Q96JB1
O14994	P43307
O75818	P62913
Q8NC51	Q96J94
P62487	Q9BZI7
P48436	Q13496
O60566	Q9BW27
Q01432	Q8TCD5
P35247	P62316
P62316	Q15008
P62316	Q969Q0
P14678	P55036
P08579	P62487
Q14439	Q9UJA3
O95977	P19086
O43390	P62487
P49721	Q9H211
P60896	Q86UP2
P55795	Q92620
O60508	P55795
P27348	P61224
Q13330	Q92630
O14957	P03905
P50990	P68366
P30084	P78417
O00291	P07288
P19086	Q9H228
P10606	P18848
P18848	Q70SY1
O43166	P15153
O95243	Q14202
O43920	P25786
O60563	Q96GJ1
Q8IWW6	Q9Y6Q5
O15182	Q92949
Q12873	Q9UBL3
O75122	Q5FBB7
Q15555	Q5FBB7
Q9H0E7	Q9Y6X3
P14314	P29966
Q13042	Q70YC5
P28066	Q13042
Q13042	Q9UNM6
Q15008	Q9UK45
O95139	O95299
O00305	Q9BXT2
O00268	Q96L91
O43633	P05186
O75821	Q8NC51
O75461	Q9NQX6
Q9BQB6	Q9Y312
Q3SXZ7	Q71U36
Q14498	Q99633
O43307	Q8N264
O95644	Q13316
P14902	Q16678
P62879	Q01518
P23258	P61981
Q9BT67	Q9UN37
Q6Q0C0	Q96F44
P67870	Q9UD71
P04049	Q9UHC7
P04049	Q9NQU5
P23469	P40189
P27449	Q02846
P23396	P52758
P62753	Q9UKK6
O60882	P02741
Q13636	Q15849
P14859	Q6WCQ1
P06865	Q13231
P0DP23	Q8TEB7
P0DP24	Q8TEB7
P0DP25	Q8TEB7
O75586	Q5SXM2
Q9H081	Q9NVJ2
O43504	O75306
Q8WWQ2	Q9BXR6
Q6IA86	Q9H0Y0
P51687	P62072
P18077	Q9HC07
P08572	P26010
P26436	P48060
P01133	P04083
P20823	Q96PC5
Q9H9C1	Q9Y222
Q8IWW8	Q9BY64
O60242	Q03252
P21589	P23919
O14757	Q9UBD5
Q9UBD5	Q9UHV2
Q14674	Q9BVA0
P09651	P62487
O60508	P09651
P43354	Q05215
Q9BXF6	Q9NQS7
Q14746	Q8TAC9
Q969Q0	Q9H1K1
P08758	P33947
B0I1T2	Q96FJ0
P11215	Q8WWW0
P60510	Q5BJF6
Q96CW1	Q9NY64
Q05932	Q92820
Q58A45	Q92688
Q8IU60	Q92688
Q6ZN04	Q92688
O15116	Q9BPX5
O75935	P09132
Q15306	Q7Z6J4
P50990	Q13885
Q04206	Q12947
Q14980	Q9Y2U8
Q15771	Q9UP83
Q7Z7L9	Q9NS37
Q9NY99	Q9UKI9
P06730	Q5XLA6
P60842	Q5XLA6
P10636	Q5XLA6
O96000	Q9Y375
O75438	Q9Y375
P27987	Q00722
Q00722	Q15735
Q00722	Q99653
O60266	Q14123
Q86XI2	Q9BU64
Q9BU64	Q9NQS7
P61163	Q92750
O94827	P61163
P52732	Q969S2
Q12798	Q53EZ4
P28066	P31939
O60763	Q6Y288
Q02224	Q14203
P62306	Q9NX01
P51687	Q9H300
P26010	P56539
P55061	Q969Q0
A3KN83	P46531
P37108	P68104
P09493	Q96G61
A0A0B4J2D5	Q96RK4
P0DPI2	Q96RK4
P82650	Q7L5Y6
Q8IXI1	Q9UNA1
P42331	Q8IXI1
O15372	P15880
P06730	P15880
Q92769	Q9NWA0
O15372	Q9UNS2
Q8N4N8	Q8TDX7
Q6A555	Q8IXA5
P48730	Q16584
Q8WTS6	Q9UIS9
P83876	Q15287
P08887	P15498
P02489	P12110
P31749	P55268
O00303	P40429
O15116	Q8NC51
O75569	Q8NC51
O00622	P10515
P62241	Q9Y678
Q5SXM2	Q99661
P30085	Q9Y5B8
Q9BW19	Q9BZD4
P50990	Q9UHV9
Q8IUF8	Q9H9L3
P51858	P78417
P51858	Q9BVN2
Q15047	Q96L91
Q12772	Q7Z3K3
Q7Z7E8	Q9UMX2
Q14164	Q96MN2
O60841	Q13625
Q02930	Q8TEY5
P49458	Q9BSU3
Q96BM9	Q9H081
